#Q2     ExpName		GEGM     GEGM_err     GEn     GEn_err
0.447	Madey(2003) 	0.146    0.020	  0.0550  0.0062
1.132	Madey(2003) 	0.251    0.025	  0.0394  0.0031
1.450	Madey(2003) 	0.363    0.038	  0.0411  0.0037
0.142	Geis(2008)  	0.0505   0.0103	  0.0340  0.0054 
0.203	Geis(2008)  	0.0505   0.0123	  0.0407  0.0058
0.291	Geis(2008)  	0.0695   0.0173	  0.0502  0.0071  
0.415	Geis(2008)  	0.1022   0.0234	  0.0437  0.0077
1.72    Riordan(2010) 	0.273    0.05	  0.0236  0.0043
2.48    Riordan(2010)   0.412    0.084	  0.0208  0.0043
3.41	Riordan(2010)	0.496    0.113	  0.0147  0.0034
1.58    Schlimme(2013)  0.250    0.075    0.0240  0.0059
end #this line in necessary to read the file properly
