Run_number: 2632 | Aphy: -4.59325 | errAphy: 0
Run_number: 2635 | Aphy: -0.00659405 | errAphy: 0
Run_number: 2637 | Aphy: -1.5814 | errAphy: 2.57133
Run_number: 2638 | Aphy: -2.88509 | errAphy: 1.71623
Run_number: 2646 | Aphy: -0.850503 | errAphy: 0.599336
Run_number: 2647 | Aphy: 0.80359 | errAphy: 0.978868
Run_number: 2648 | Aphy: -0.00703892 | errAphy: 3.46207
Run_number: 2649 | Aphy: -4.90641 | errAphy: 0
Run_number: 2650 | Aphy: 0.622359 | errAphy: 0.997401
Run_number: 2651 | Aphy: -0.172327 | errAphy: 0.62956
Run_number: 2659 | Aphy: -0.597471 | errAphy: 0.632125
Run_number: 2660 | Aphy: -4.82987 | errAphy: 0
Run_number: 2661 | Aphy: 0.53306 | errAphy: 0.569259
Run_number: 2662 | Aphy: -1.76882 | errAphy: 0.913144
Run_number: 2667 | Aphy: 0.421162 | errAphy: 0.511499
Run_number: 2668 | Aphy: -0.40529 | errAphy: 0.804788
Run_number: 2669 | Aphy: 1.19983 | errAphy: 0.571529
Run_number: 2670 | Aphy: -0.257607 | errAphy: 0.552543
Run_number: 2671 | Aphy: 0.0761254 | errAphy: 0.63883
Run_number: 2674 | Aphy: 0.60919 | errAphy: 0.706033
Run_number: 2676 | Aphy: -0.23367 | errAphy: 0.608353
Run_number: 2677 | Aphy: 0.882182 | errAphy: 1.02532
Run_number: 2678 | Aphy: -1.63643 | errAphy: 2.6608
Run_number: 2679 | Aphy: 1.11723 | errAphy: 0.536723
Run_number: 2680 | Aphy: 0.263023 | errAphy: 0.571893
Run_number: 2681 | Aphy: -0.145497 | errAphy: 0.579264
Run_number: 2683 | Aphy: 1.60747 | errAphy: 0.731192
Run_number: 2684 | Aphy: 1.24952 | errAphy: 0.636972
Run_number: 2685 | Aphy: -1.62386 | errAphy: 1.86702
Run_number: 2687 | Aphy: 0.471666 | errAphy: 0.573356
Run_number: 2688 | Aphy: 0.663699 | errAphy: 0.632373
Run_number: 2689 | Aphy: 0.182759 | errAphy: 0.554628
Run_number: 2690 | Aphy: 0.214662 | errAphy: 0.734449
Run_number: 2691 | Aphy: -1.16117 | errAphy: 0.639759
Run_number: 2692 | Aphy: 0.201034 | errAphy: 0.503857
Run_number: 2693 | Aphy: -0.74413 | errAphy: 0.565988
Run_number: 2694 | Aphy: 0.0464515 | errAphy: 0.509786
Run_number: 2695 | Aphy: 0.299029 | errAphy: 0.54283
Run_number: 2696 | Aphy: -0.809278 | errAphy: 0.61281
Run_number: 2697 | Aphy: 0.636941 | errAphy: 0.580248
Run_number: 2698 | Aphy: -0.00686052 | errAphy: 0.554737
Run_number: 2699 | Aphy: -0.0068297 | errAphy: 0.506411
Run_number: 2700 | Aphy: 0.045189 | errAphy: 0.495931
Run_number: 2701 | Aphy: 0.787108 | errAphy: 0.492153
Run_number: 2702 | Aphy: 0.985627 | errAphy: 0.449602
Run_number: 2703 | Aphy: 0.382462 | errAphy: 0.548463
Run_number: 2704 | Aphy: 0.727403 | errAphy: 0.526612
Run_number: 2705 | Aphy: 0.522557 | errAphy: 0.549839
Run_number: 2706 | Aphy: 0.145952 | errAphy: 0.484997
Run_number: 2707 | Aphy: 0.15861 | errAphy: 0.617961
Run_number: 2709 | Aphy: -1.35628 | errAphy: 0.638852
Run_number: 2710 | Aphy: -0.427759 | errAphy: 1.39085
Run_number: 2711 | Aphy: 0.586611 | errAphy: 0.475424
Run_number: 2712 | Aphy: -0.0642587 | errAphy: 0.517968
Run_number: 2713 | Aphy: 1.06992 | errAphy: 1.25902
Run_number: 2714 | Aphy: 0.126427 | errAphy: 0.556675
Run_number: 2715 | Aphy: 0.703221 | errAphy: 0.598791
Run_number: 2716 | Aphy: 0.7767 | errAphy: 0.485645
Run_number: 2717 | Aphy: -0.166949 | errAphy: 0.497993
Run_number: 2718 | Aphy: -0.105563 | errAphy: 0.47924
Run_number: 2719 | Aphy: 0.861459 | errAphy: 0.478573
Run_number: 2720 | Aphy: -0.197626 | errAphy: 0.543355
Run_number: 2721 | Aphy: 0.26031 | errAphy: 0.497238
Run_number: 2722 | Aphy: 0.509396 | errAphy: 0.543988
Run_number: 2723 | Aphy: 0.369493 | errAphy: 0.537537
Run_number: 2724 | Aphy: -0.00666215 | errAphy: 0.538696
Run_number: 2725 | Aphy: 0.293833 | errAphy: 0.526236
Run_number: 2726 | Aphy: 0.781246 | errAphy: 0.454264
Run_number: 2727 | Aphy: 0.368256 | errAphy: 0.491963
Run_number: 2728 | Aphy: 0.922292 | errAphy: 0.535346
Run_number: 2729 | Aphy: 0.118164 | errAphy: 0.528488
Run_number: 2730 | Aphy: -0.463836 | errAphy: 1.06642
Run_number: 2763 | Aphy: 0.281331 | errAphy: 0.59348
Run_number: 2764 | Aphy: 0.264919 | errAphy: 0.658574
Run_number: 2765 | Aphy: 1.31911 | errAphy: 0.722169
Run_number: 2766 | Aphy: 1.1827 | errAphy: 0.553964
Run_number: 2767 | Aphy: 0.205747 | errAphy: 0.497764
Run_number: 2768 | Aphy: 0.364796 | errAphy: 0.538182
Run_number: 2769 | Aphy: 0.827866 | errAphy: 0.743202
Run_number: 2770 | Aphy: 2.88714 | errAphy: 0.940649
Run_number: 2959 | Aphy: -2.08685 | errAphy: 1.104
Run_number: 2964 | Aphy: 0.850276 | errAphy: 1.70684
Run_number: 2966 | Aphy: 0.486744 | errAphy: 0.873386
Run_number: 2967 | Aphy: 0.366621 | errAphy: 1.0593
Run_number: 2968 | Aphy: 1.66687 | errAphy: 0.595449
Run_number: 2970 | Aphy: -2.73748 | errAphy: 1.36482
Run_number: 2971 | Aphy: 5.396 | errAphy: 0
Run_number: 2973 | Aphy: -0.490567 | errAphy: 1.59506
Run_number: 2974 | Aphy: 0.524636 | errAphy: 1.18427
Run_number: 2976 | Aphy: -5.33866 | errAphy: 0
Run_number: 2981 | Aphy: 5.32868 | errAphy: 0
Run_number: 2983 | Aphy: -0.00768949 | errAphy: 0.668577
Run_number: 2984 | Aphy: 0.155087 | errAphy: 0.934854
Run_number: 2985 | Aphy: 0.888755 | errAphy: 0.88395
Run_number: 2986 | Aphy: -0.00773967 | errAphy: 2.69176
Run_number: 2988 | Aphy: -5.37764 | errAphy: 0
Run_number: 2989 | Aphy: 0.538913 | errAphy: 0.975751
Run_number: 2990 | Aphy: -1.31905 | errAphy: 1.79586
Run_number: 2995 | Aphy: 0.231294 | errAphy: 0.791353
Run_number: 2996 | Aphy: -9.67914 | errAphy: 0
Run_number: 2997 | Aphy: -0.0127673 | errAphy: 1.74163
Run_number: 2998 | Aphy: 1.01545 | errAphy: 1.30611
Run_number: 2999 | Aphy: 1.5396 | errAphy: 1.43682
Run_number: 3000 | Aphy: -0.645074 | errAphy: 2.27641
Run_number: 3001 | Aphy: -0.922677 | errAphy: 2.71575
Run_number: 3003 | Aphy: -1.64407 | errAphy: 2.52881
Run_number: 3004 | Aphy: -1.2902 | errAphy: 1.18206
Run_number: 3005 | Aphy: -0.00974508 | errAphy: 1.23757
Run_number: 3006 | Aphy: -0.915807 | errAphy: 2.37425
Run_number: 3007 | Aphy: -0.290936 | errAphy: 0.914073
Run_number: 3008 | Aphy: 1.70072 | errAphy: 1.347
Run_number: 3009 | Aphy: -0.381933 | errAphy: 1.44477
Run_number: 3011 | Aphy: 0.281659 | errAphy: 1.26045
Run_number: 3013 | Aphy: -0.908572 | errAphy: 1.53841
Run_number: 3014 | Aphy: 1.60526 | errAphy: 1.14688
Run_number: 3016 | Aphy: -1.53576 | errAphy: 1.36979
Run_number: 3017 | Aphy: -1.17995 | errAphy: 1.21239
Run_number: 3018 | Aphy: -2.10369 | errAphy: 1.51881
Run_number: 3019 | Aphy: 3.92302 | errAphy: 1.22557
Run_number: 3020 | Aphy: -0.00753156 | errAphy: 1.23479
Run_number: 3021 | Aphy: -0.479473 | errAphy: 1.10237
Run_number: 3022 | Aphy: 1.70801 | errAphy: 2.80126
Run_number: 3024 | Aphy: -1.28485 | errAphy: 1.74929
Run_number: 3025 | Aphy: -0.304987 | errAphy: 1.22537
Run_number: 3026 | Aphy: 1.24004 | errAphy: 1.20761
Run_number: 3027 | Aphy: 0.272672 | errAphy: 0.838448
Run_number: 3028 | Aphy: 1.0036 | errAphy: 0.837077
Run_number: 3029 | Aphy: -4.14798 | errAphy: 0.877336
Run_number: 3030 | Aphy: -0.160113 | errAphy: 0.901495
Run_number: 3035 | Aphy: -0.00757736 | errAphy: 0.777112
Run_number: 3036 | Aphy: -0.984388 | errAphy: 0.997567
Run_number: 3037 | Aphy: -0.00758377 | errAphy: 1.86502
Run_number: 3038 | Aphy: 0.114134 | errAphy: 0.818388
Run_number: 3039 | Aphy: -0.778959 | errAphy: 2.01947
Run_number: 3043 | Aphy: -0.710889 | errAphy: 0.954444
Run_number: 3045 | Aphy: 0.779653 | errAphy: 0.820392
Run_number: 3046 | Aphy: -0.256808 | errAphy: 1.14106
Run_number: 3047 | Aphy: -5.24412 | errAphy: 0
Run_number: 3048 | Aphy: -0.129603 | errAphy: 0.800164
Run_number: 3049 | Aphy: -0.137227 | errAphy: 0.829524
Run_number: 3050 | Aphy: -0.115754 | errAphy: 0.756793
Run_number: 3051 | Aphy: -0.869537 | errAphy: 0.796658
Run_number: 3052 | Aphy: -1.15806 | errAphy: 1.07708
Run_number: 3054 | Aphy: -3.5372 | errAphy: 1.13917
Run_number: 3055 | Aphy: 1.06038 | errAphy: 1.65463
Run_number: 3058 | Aphy: -0.905865 | errAphy: 1.08458
Run_number: 3059 | Aphy: 2.45655 | errAphy: 1.20581
Run_number: 3061 | Aphy: -0.00748376 | errAphy: 1.30138
Run_number: 3062 | Aphy: 0.23671 | errAphy: 0.790009
Run_number: 3063 | Aphy: 0.145452 | errAphy: 0.619973
Run_number: 3064 | Aphy: -0.419144 | errAphy: 1.00577
Run_number: 3065 | Aphy: -0.00709729 | errAphy: 1.10388
Run_number: 3068 | Aphy: -1.03665 | errAphy: 1.00845
Run_number: 3075 | Aphy: 0.262274 | errAphy: 1.1737
Run_number: 3076 | Aphy: -1.55925 | errAphy: 1.01281
Run_number: 3077 | Aphy: -0.423584 | errAphy: 0.71872
Run_number: 3079 | Aphy: -0.499227 | errAphy: 0.774258
Run_number: 3080 | Aphy: -1.41559 | errAphy: 1.26261
Run_number: 3082 | Aphy: 0.421555 | errAphy: 0.481473
Run_number: 3089 | Aphy: -0.130094 | errAphy: 0.450729
Run_number: 3090 | Aphy: -0.239499 | errAphy: 0.538025
Run_number: 3091 | Aphy: -0.116843 | errAphy: 0.52548
Run_number: 3092 | Aphy: -0.225238 | errAphy: 0.470976
Run_number: 3093 | Aphy: -0.138169 | errAphy: 0.870327
Run_number: 3108 | Aphy: -0.366013 | errAphy: 0.71417
Run_number: 3109 | Aphy: 0.224977 | errAphy: 0.570274
Run_number: 3110 | Aphy: 0.403609 | errAphy: 0.611698
Run_number: 3111 | Aphy: -1.01649 | errAphy: 1.0301
Run_number: 3112 | Aphy: -0.252147 | errAphy: 0.572614
Run_number: 3113 | Aphy: -0.0869722 | errAphy: 0.649278
Run_number: 3114 | Aphy: 1.11282 | errAphy: 0.543464
Run_number: 3115 | Aphy: -0.518679 | errAphy: 0.513783
Run_number: 3116 | Aphy: 0.289163 | errAphy: 0.619426
Run_number: 3117 | Aphy: 0.619702 | errAphy: 0.63217
Run_number: 3118 | Aphy: -0.144529 | errAphy: 0.597147
Run_number: 3119 | Aphy: -0.0857463 | errAphy: 0.640127
Run_number: 3120 | Aphy: -0.73991 | errAphy: 0.61538
Run_number: 3121 | Aphy: 1.10033 | errAphy: 0.789374
Run_number: 3122 | Aphy: 0.379104 | errAphy: 0.58206
Run_number: 3123 | Aphy: 0.10466 | errAphy: 0.544001
Run_number: 3124 | Aphy: 1.67373 | errAphy: 0.728244
Run_number: 3126 | Aphy: 0.890379 | errAphy: 0.57227
Run_number: 3127 | Aphy: -0.00754564 | errAphy: 0.927824
Run_number: 3134 | Aphy: 0.449722 | errAphy: 0.513643
Run_number: 3135 | Aphy: 0.189398 | errAphy: 0.506441
Run_number: 3136 | Aphy: 0.604348 | errAphy: 0.511351
Run_number: 3138 | Aphy: 0.434709 | errAphy: 0.614244
Run_number: 3139 | Aphy: 0.459687 | errAphy: 1.09085
Run_number: 3140 | Aphy: 1.70208 | errAphy: 0.805845
Run_number: 3141 | Aphy: -0.563275 | errAphy: 0.636483
Run_number: 3149 | Aphy: -1.72872 | errAphy: 2.81087
Run_number: 3150 | Aphy: -1.48344 | errAphy: 1.32313
Run_number: 3151 | Aphy: 0.629493 | errAphy: 0.681783
