Run_number: 2632 | Aphy: -0.000616781 | errAphy: 0
Run_number: 2635 | Aphy: -8.85448e-07 | errAphy: 0
Run_number: 2637 | Aphy: -0.00021235 | errAphy: 0.000345278
Run_number: 2638 | Aphy: -0.00038741 | errAphy: 0.000230454
Run_number: 2646 | Aphy: -0.000114205 | errAphy: 8.04787e-05
Run_number: 2647 | Aphy: 0.000107906 | errAphy: 0.000131442
Run_number: 2648 | Aphy: -9.45185e-07 | errAphy: 0.000464885
Run_number: 2649 | Aphy: -0.000658831 | errAphy: 0
Run_number: 2650 | Aphy: 8.35701e-05 | errAphy: 0.000133931
Run_number: 2651 | Aphy: -2.314e-05 | errAphy: 8.45371e-05
Run_number: 2659 | Aphy: -8.02282e-05 | errAphy: 8.48816e-05
Run_number: 2660 | Aphy: -0.000648554 | errAphy: 0
Run_number: 2661 | Aphy: 7.15792e-05 | errAphy: 7.644e-05
Run_number: 2662 | Aphy: -0.000237517 | errAphy: 0.000122617
Run_number: 2667 | Aphy: 5.65536e-05 | errAphy: 6.86839e-05
Run_number: 2668 | Aphy: -5.44223e-05 | errAphy: 0.000108067
Run_number: 2669 | Aphy: 0.000161113 | errAphy: 7.67448e-05
Run_number: 2670 | Aphy: -3.45914e-05 | errAphy: 7.41954e-05
Run_number: 2671 | Aphy: 1.02221e-05 | errAphy: 8.5782e-05
Run_number: 2674 | Aphy: 8.18019e-05 | errAphy: 9.48059e-05
Run_number: 2676 | Aphy: -3.13771e-05 | errAphy: 8.16894e-05
Run_number: 2677 | Aphy: 0.000118459 | errAphy: 0.000137679
Run_number: 2678 | Aphy: -0.000219739 | errAphy: 0.000357292
Run_number: 2679 | Aphy: 0.000150021 | errAphy: 7.2071e-05
Run_number: 2680 | Aphy: 3.53187e-05 | errAphy: 7.67937e-05
Run_number: 2681 | Aphy: -1.95374e-05 | errAphy: 7.77834e-05
Run_number: 2683 | Aphy: 0.00021585 | errAphy: 9.81842e-05
Run_number: 2684 | Aphy: 0.000167786 | errAphy: 8.55324e-05
Run_number: 2685 | Aphy: -0.000218051 | errAphy: 0.000250702
Run_number: 2687 | Aphy: 6.33351e-05 | errAphy: 7.699e-05
Run_number: 2688 | Aphy: 8.91213e-05 | errAphy: 8.49149e-05
Run_number: 2689 | Aphy: 2.45408e-05 | errAphy: 7.44753e-05
Run_number: 2690 | Aphy: 2.88248e-05 | errAphy: 9.86216e-05
Run_number: 2691 | Aphy: -0.000155922 | errAphy: 8.59067e-05
Run_number: 2692 | Aphy: 2.69948e-05 | errAphy: 6.76578e-05
Run_number: 2693 | Aphy: -9.99215e-05 | errAphy: 7.60007e-05
Run_number: 2694 | Aphy: 6.2375e-06 | errAphy: 6.84539e-05
Run_number: 2695 | Aphy: 4.01535e-05 | errAphy: 7.2891e-05
Run_number: 2696 | Aphy: -0.00010867 | errAphy: 8.2288e-05
Run_number: 2697 | Aphy: 8.55282e-05 | errAphy: 7.79155e-05
Run_number: 2698 | Aphy: -9.21229e-07 | errAphy: 7.44899e-05
Run_number: 2699 | Aphy: -9.1709e-07 | errAphy: 6.80007e-05
Run_number: 2700 | Aphy: 6.06797e-06 | errAphy: 6.65935e-05
Run_number: 2701 | Aphy: 0.000105693 | errAphy: 6.60861e-05
Run_number: 2702 | Aphy: 0.00013235 | errAphy: 6.03724e-05
Run_number: 2703 | Aphy: 5.13569e-05 | errAphy: 7.36475e-05
Run_number: 2704 | Aphy: 9.76755e-05 | errAphy: 7.07133e-05
Run_number: 2705 | Aphy: 7.01688e-05 | errAphy: 7.38322e-05
Run_number: 2706 | Aphy: 1.95984e-05 | errAphy: 6.51253e-05
Run_number: 2707 | Aphy: 2.12982e-05 | errAphy: 8.29796e-05
Run_number: 2709 | Aphy: -0.000182121 | errAphy: 8.57849e-05
Run_number: 2710 | Aphy: -5.74394e-05 | errAphy: 0.000186763
Run_number: 2711 | Aphy: 7.877e-05 | errAphy: 6.38398e-05
Run_number: 2712 | Aphy: -8.62864e-06 | errAphy: 6.95526e-05
Run_number: 2713 | Aphy: 0.000143668 | errAphy: 0.000169061
Run_number: 2714 | Aphy: 1.69765e-05 | errAphy: 7.47502e-05
Run_number: 2715 | Aphy: 9.44283e-05 | errAphy: 8.04055e-05
