dataset,panel,paper,Q2,value,stat_err,sys_err,total_err
previous_measurement,ratio,Warren et el.,0.5,0.15407139257255467,0.008721022221088,0.008721022221088,0.012333387902819782
previous_measurement,GEn,Warren et el.,0.5,0.053,0.003,0.003,0.004242640687119285
previous_measurement,ratio,Warren et el.,1.0,0.25270937319517656,0.028078819243908506,0.022463055395126805,0.03595843361183329
previous_measurement,GEn,Warren et el.,1.0,0.045,0.005,0.004,0.006403124237432849
previous_measurement,ratio,Passchier et el.,0.21,0.11428142713434633,0.025973051621442346,0.006926147099051293,0.02688067938441671
previous_measurement,GEn,Passchier et el.,0.21,0.066,0.015,0.004,0.015524174696260024
previous_measurement,ratio,Geis et el.,0.142,0.051,0.007,0.003,0.007615773105863909
previous_measurement,GEn,Geis et el.,0.142,0.03507,0.005,0.00215,0.005442655601817921
previous_measurement,ratio,Geis et el.,0.203,0.07,0.008,0.004,0.008944271909999158
previous_measurement,GEn,Geis et el.,0.203,0.04203,0.00508,0.00236,0.005601428389259297
previous_measurement,ratio,Geis et el.,0.291,0.102,0.013,0.005,0.01392838827718412
previous_measurement,GEn,Geis et el.,0.291,0.05142,0.00639,0.00231,0.006794718537216976
previous_measurement,ratio,Geis et el.,0.415,0.117,0.018,0.005,0.018681541692269404
previous_measurement,GEn,Geis et el.,0.415,0.04664,0.00725,0.00207,0.007539721480267027
previous_measurement,ratio,Zhu et el.,0.495,0.13361014727780873,0.017768534266651592,0.009836152897610702,0.020309375022642802
previous_measurement,GEn,Zhu et el.,0.495,0.04632,0.00616,0.00341,0.007040859322554314
previous_measurement,ratio,Meyerhoff et el.,0.31,0.07380267087109664,0.025303772870090273,0.010543238695870948,0.02741242060926446
previous_measurement,GEn,Meyerhoff et el.,0.31,0.035,0.012,0.005,0.013000000000000001
previous_measurement,ratio,Rohe et el.,0.67,0.19367627289654368,0.04096998080503809,0.018622718547744586,0.04500383287314203
previous_measurement,GEn,Rohe et el.,0.67,0.052,0.011,0.005,0.012083045973594572
previous_measurement,ratio,Bermuth et el.,0.67,0.15643083580105452,0.03724543709548917,0.007449087419097835,0.03798304210843837
previous_measurement,GEn,Bermuth et el.,0.67,0.042,0.01,0.002,0.01019803902718557
previous_measurement,ratio,Riordan et el.,1.72,0.273,0.02,0.03,0.03605551275463989
previous_measurement,GEn,Riordan et el.,1.72,0.0236,0.0017,0.0026,0.0031064449134018133
previous_measurement,ratio,Riordan et el.,2.48,0.412,0.048,0.036,0.06
previous_measurement,GEn,Riordan et el.,2.48,0.0208,0.0024,0.0019,0.0030610455730027933
previous_measurement,ratio,Riordan et el.,3.41,0.496,0.067,0.046,0.08127115109311545
