width,A,Aerr,Nplus,Nminus
0.05,-0.0176093,0.0143911,2371,2456
0.1,-0.0124268,0.0101334,4808,4929
0.15,-0.0163844,0.00831347,7114,7351
0.2,-0.0135575,0.00724838,9386,9644
0.25,-0.0122842,0.00649672,11699,11990
0.3,-0.011722,0.0059686,13869,14198
0.35,-0.0149806,0.00555134,15978,16464
0.4,-0.0142108,0.00521212,18140,18663
0.45,-0.0132373,0.00493244,20276,20820
0.5,-0.0123386,0.0046936,22413,22973
0.55,-0.012648,0.00449458,24434,25060
0.6,-0.00941444,0.0043175,26568,27073
0.65,-0.00889695,0.00415623,28685,29200
0.7,-0.00994318,0.00401745,30668,31284
0.75,-0.00814926,0.00388821,32801,33340
0.8,-0.00816743,0.00376545,34974,35550
