width,A,Aerr,Nplus,Nminus
0.05,-0.000868694,0.00817451,7476,7489
0.1,0.00359193,0.00579388,14948,14841
0.15,0.00477225,0.00473333,22423,22210
0.2,0.00310971,0.00409989,29838,29653
0.25,-0.000230387,0.00368133,36886,36903
0.3,-0.000384824,0.00336428,44159,44193
0.35,-0.00263255,0.00312252,51146,51416
0.4,-0.00125343,0.00293004,58167,58313
0.45,-0.001679,0.00276887,65108,65327
0.5,-0.0022358,0.00263504,71849,72171
0.55,-0.00222138,0.00251928,78605,78955
0.6,-0.00205188,0.0024178,85356,85707
0.65,-0.00284212,0.0023267,92098,92623
0.7,-0.00421604,0.00224701,98609,99444
0.75,-0.00407029,0.00217424,105336,106197
0.8,-0.00314477,0.00210754,112214,112922
