width,A,Aerr,Nplus,Nminus
0.05,-0.00350643,0.00913703,5968,6010
0.1,-0.00486129,0.00647353,11873,11989
0.15,-0.00511719,0.00531705,17595,17776
0.2,-0.00234808,0.00464132,23156,23265
0.25,-0.00172955,0.00420101,28282,28380
0.3,-0.00484312,0.0038782,33082,33404
0.35,-0.00634211,0.00362731,37759,38241
0.4,-0.00797497,0.00342954,42169,42847
0.45,-0.00679836,0.00326937,46458,47094
0.5,-0.00576944,0.00313502,50578,51165
0.55,-0.00513589,0.00302297,54432,54994
0.6,-0.00500972,0.00292633,58094,58679
0.65,-0.00513699,0.00284197,61586,62222
0.7,-0.00614192,0.0027673,64888,65690
0.75,-0.0058401,0.00270183,68092,68892
0.8,-0.00560612,0.00264385,71128,71930
