width,A,Aerr,Nplus,Nminus
0.05,0.0038835,0.0311586,517,513
0.1,0.0411647,0.0223865,1037,955
0.15,0.0417808,0.0184897,1521,1399
0.2,0.0433633,0.0162454,1973,1809
0.25,0.0399473,0.0148034,2369,2187
0.3,0.0395415,0.0138103,2721,2514
0.35,0.0402318,0.013046,3051,2815
0.4,0.0371522,0.0124593,3336,3097
0.45,0.0309517,0.0120206,3564,3350
0.5,0.0295986,0.0116205,3809,3590
0.55,0.0285198,0.0113553,3985,3764
0.6,0.0274529,0.0110912,4173,3950
0.65,0.0244479,0.0108644,4337,4130
0.7,0.0232505,0.0106729,4489,4285
0.75,0.0203902,0.0104963,4629,4444
0.8,0.0240616,0.0103382,4788,4563
