x,A,Aerr,Nplus,Nminus
1.45,0.03314196684,0.004112965655,30503,28546
1.455,0.0332385264,0.004100126857,30697,28722
1.46,0.03314159588,0.004086921024,30893,28911
1.465,0.03305688976,0.004074517468,31079,29090
1.47,0.03329202809,0.004062485186,31270,29255
1.475,0.03332895083,0.004051683386,31438,29410
1.48,0.03356977086,0.004040444273,31620,29566
1.485,0.03354811485,0.004026422002,31840,29773
1.49,0.03416334501,0.004014820901,32042,29925
1.495,0.03387192529,0.004003377529,32217,30106
1.5,0.03344929942,0.003992590614,32379,30283
1.505,0.03281574648,0.003980401971,32559,30490
1.51,0.0320738345,0.003969933679,32709,30676
1.515,0.03201016295,0.003958219063,32901,30860
1.52,0.0313631257,0.003948189049,33049,31039
1.525,0.03144537007,0.00393673931,33244,31217
1.53,0.03133779987,0.003927108285,33404,31374
1.535,0.03163099223,0.003916565813,33593,31533
1.54,0.03139506474,0.00390575502,33772,31716
1.545,0.03086682044,0.003893708951,33965,31931
1.55,0.03090201286,0.003882584781,34161,32113
