x,A,Aerr,Nplus,Nminus
1.45,-0.02857142857,0.1194740661,34,36
1.455,-0.02857142857,0.1194740661,34,36
1.46,-0.01408450704,0.1186663939,35,36
1.465,0,0.1178511302,36,36
1.47,0,0.1178511302,36,36
1.475,0,0.1178511302,36,36
1.48,0.01369863014,0.1170301652,37,36
1.485,0.01369863014,0.1170301652,37,36
1.49,0.01369863014,0.1170301652,37,36
1.495,0.01369863014,0.1170301652,37,36
1.5,0.01369863014,0.1170301652,37,36
1.505,0.02702702703,0.1162051739,38,36
1.51,0.02702702703,0.1162051739,38,36
1.515,0.01333333333,0.1154597894,38,37
1.52,0,0.1147078669,38,38
1.525,0,0.1147078669,38,38
1.53,0,0.1147078669,38,38
1.535,0,0.1147078669,38,38
1.54,0,0.1147078669,38,38
1.545,0,0.1147078669,38,38
1.55,0,0.1147078669,38,38
