x,A,Aerr,Nplus,Nminus
-1.05,0.01369863014,0.1170301652,37,36
-1.045,0.01369863014,0.1170301652,37,36
-1.04,0.01369863014,0.1170301652,37,36
-1.035,0.01369863014,0.1170301652,37,36
-1.03,0.01369863014,0.1170301652,37,36
-1.025,0.01369863014,0.1170301652,37,36
-1.02,0.01369863014,0.1170301652,37,36
-1.015,0.01369863014,0.1170301652,37,36
-1.01,0.01369863014,0.1170301652,37,36
-1.005,0.01369863014,0.1170301652,37,36
-1,0.01369863014,0.1170301652,37,36
-0.995,0.01369863014,0.1170301652,37,36
-0.99,0.01369863014,0.1170301652,37,36
-0.985,0.01369863014,0.1170301652,37,36
-0.98,0,0.1178511302,36,36
-0.975,0,0.1178511302,36,36
-0.97,0,0.1178511302,36,36
-0.965,0,0.1178511302,36,36
-0.96,0,0.1178511302,36,36
-0.955,0,0.1178511302,36,36
-0.95,0,0.1178511302,36,36
