x,A,Aerr,Nplus,Nminus
0.2,0.03448551449,0.004467242855,25888,24162
0.22,0.03356955635,0.004403829129,26617,24888
0.24,0.03340134512,0.004344086382,27350,25582
0.26,0.03449292453,0.004289963327,28072,26200
0.28,0.03391324686,0.004239153295,28734,26849
0.3,0.03443058463,0.004191980102,29398,27441
0.32,0.03357598912,0.004146110139,30029,28078
0.34,0.03397714632,0.004102960696,30675,28659
0.36,0.03374836715,0.004064034807,31259,29218
0.38,0.03374547109,0.004028488058,31813,29736
0.4,0.03344929942,0.003992590614,32379,30283
0.42,0.03278251181,0.003959299919,32906,30817
0.44,0.03223412643,0.003929879021,33384,31299
0.46,0.03150002286,0.003901841509,33843,31776
0.48,0.03144446115,0.003875042114,34311,32219
0.5,0.03123841717,0.003848577516,34778,32671
0.52,0.03094896495,0.003824392708,35210,33096
0.54,0.03001374123,0.003801502817,35605,33530
0.56,0.02976556577,0.003780319927,35997,33916
0.58,0.02957943727,0.003759480727,36391,34300
0.6,0.0288240891,0.003739070886,36764,34704
