x,A,Aerr,Nplus,Nminus
0.2,0.03225806452,0.1269340327,32,30
0.22,0.01587301587,0.1259722851,32,31
0.24,0.01587301587,0.1259722851,32,31
0.26,0,0.125,32,32
0.28,-0.0303030303,0.1230349622,32,34
0.3,-0.0303030303,0.1230349622,32,34
0.32,-0.01492537313,0.122155836,33,34
0.34,0.02857142857,0.1194740661,36,34
0.36,0.01369863014,0.1170301652,37,36
0.38,0.01369863014,0.1170301652,37,36
0.4,0.01369863014,0.1170301652,37,36
0.42,0.01369863014,0.1170301652,37,36
0.44,0.01369863014,0.1170301652,37,36
0.46,0.01369863014,0.1170301652,37,36
0.48,0.02702702703,0.1162051739,38,36
0.5,0.01333333333,0.1154597894,38,37
0.52,0.01333333333,0.1154597894,38,37
0.54,0,0.1132277034,39,39
0.56,0,0.1132277034,39,39
0.58,-0.025,0.1117684549,39,41
0.6,-0.0243902439,0.1103986742,40,42
