x,A,Aerr,Nplus,Nminus
-5,0.01062654732,0.006171197794,13267,12988
-4.8,0.01062654732,0.006171197794,13267,12988
-4.6,0.01062654732,0.006171197794,13267,12988
-4.4,0.01062654732,0.006171197794,13267,12988
-4.2,0.01062654732,0.006171197794,13267,12988
-4,0.01062654732,0.006171197794,13267,12988
-3.8,0.01062654732,0.006171197794,13267,12988
-3.6,0.01062654732,0.006171197794,13267,12988
-3.4,0.01062654732,0.006171197794,13267,12988
-3.2,0.01062654732,0.006171197794,13267,12988
-3,0.01062654732,0.006171197794,13267,12988
-2.8,0.009996851385,0.006273256677,12831,12577
-2.6,0.008556105948,0.006398070725,12318,12109
-2.4,0.01077586207,0.006564940452,11725,11475
-2.2,0.01091603748,0.006743743003,11113,10873
-2,0.01233497157,0.006940904229,10505,10249
-1.8,0.01340179718,0.007165100097,9868,9607
-1.6,0.01291961131,0.007429858568,9173,8939
-1.4,0.01198670781,0.007702701579,8527,8325
-1.2,0.01361592807,0.008013374364,7891,7679
-1,0.01329415057,0.008364021017,7241,7051
