x,A,Aerr,Nplus,Nminus
-0.6,0.02083333333,0.1020399213,49,47
-0.58,0.01052631579,0.102592151,48,47
-0.56,0.01052631579,0.102592151,48,47
-0.54,0.01052631579,0.102592151,48,47
-0.52,0.01075268817,0.1036891747,47,46
-0.5,0.03448275862,0.1071474942,45,42
-0.48,0.0487804878,0.1103000599,43,39
-0.46,0.075,0.1114885084,43,37
-0.44,0.07692307692,0.1128922132,42,36
-0.42,0.07692307692,0.1128922132,42,36
-0.4,0.01369863014,0.1170301652,37,36
-0.38,0,0.1178511302,36,36
-0.36,0.01408450704,0.1186663939,36,35
-0.34,0.01408450704,0.1186663939,36,35
-0.32,0.02857142857,0.1194740661,36,34
-0.3,0.04347826087,0.120272013,36,33
-0.28,0.0447761194,0.1220469141,35,32
-0.26,0.0447761194,0.1220469141,35,32
-0.24,0.06060606061,0.1228652197,35,31
-0.22,0.07936507937,0.1255907428,34,29
-0.2,0.08196721311,0.1276060392,33,28
