x,A,Aerr,Nplus,Nminus
0.2,0.04778705555,0.00625398504,13364,12145
0.22,0.04788283503,0.006152644343,13809,12547
0.24,0.0469492212,0.00606149754,14216,12941
0.26,0.04722689677,0.005977057657,14624,13305
0.28,0.04673875131,0.005899446597,15005,13665
0.3,0.04596214081,0.005828731197,15361,14011
0.32,0.04582945324,0.005760911012,15723,14345
0.34,0.04572396274,0.005700775209,16055,14651
0.36,0.04481890867,0.005638284164,16400,14993
0.38,0.04518590325,0.005586293422,16712,15267
0.4,0.04625984252,0.005540040884,17008,15504
0.42,0.04526475038,0.005495015214,17273,15777
0.44,0.04475924052,0.005449817628,17553,16049
0.46,0.04559840581,0.0054077682,17840,16284
0.48,0.04464234083,0.005371760464,18065,16521
0.5,0.04455911281,0.005334051458,18320,16757
0.52,0.04408078191,0.005302065898,18534,16969
0.54,0.04413892909,0.005270306051,18759,17173
0.56,0.04378197019,0.00523913366,18977,17385
0.58,0.04296949411,0.005211800089,19163,17584
0.6,0.04365400162,0.005186093193,19365,17745
