x,A,Aerr,Nplus,Nminus
0.2,0.06666666667,0.1821680136,16,14
0.22,0.03225806452,0.1795118306,16,15
0.24,0.03225806452,0.1795118306,16,15
0.26,0.03225806452,0.1795118306,16,15
0.28,0.03225806452,0.1795118306,16,15
0.3,0,0.1767766953,16,16
0.32,0,0.1767766953,16,16
0.34,0,0.1767766953,16,16
0.36,-0.05882352941,0.1712016177,16,18
0.38,-0.05882352941,0.1712016177,16,18
0.4,-0.05555555556,0.1664092663,17,19
0.42,-0.02702702703,0.1643389329,18,19
0.44,0,0.158113883,20,20
0.46,-0.0243902439,0.1561273023,20,21
0.48,-0.0243902439,0.1561273023,20,21
0.5,-0.0243902439,0.1561273023,20,21
0.52,-0.0243902439,0.1561273023,20,21
0.54,-0.0243902439,0.1561273023,20,21
0.56,-0.0243902439,0.1561273023,20,21
0.58,-0.0243902439,0.1561273023,20,21
0.6,-0.0243902439,0.1561273023,20,21
