x,A,Aerr,Nplus,Nminus
-0.6,0.05,0.157916117,21,19
-0.58,0.05,0.157916117,21,19
-0.56,0.05,0.157916117,21,19
-0.54,0.02564102564,0.160075506,20,19
-0.52,0.02564102564,0.160075506,20,19
-0.5,0,0.1622214211,19,19
-0.48,0,0.1622214211,19,19
-0.46,-0.02702702703,0.1643389329,18,19
-0.44,-0.05555555556,0.1664092663,17,19
-0.42,-0.05555555556,0.1664092663,17,19
-0.4,-0.05555555556,0.1664092663,17,19
-0.38,-0.05555555556,0.1664092663,17,19
-0.36,-0.05555555556,0.1664092663,17,19
-0.34,-0.08571428571,0.1684087766,16,19
-0.32,-0.08571428571,0.1684087766,16,19
-0.3,-0.05882352941,0.1712016177,16,18
-0.28,-0.09090909091,0.1733568344,15,18
-0.26,-0.0625,0.1764310905,15,17
-0.24,-0.03225806452,0.1795118306,15,16
-0.22,-0.06666666667,0.1821680136,14,16
-0.2,-0.03448275862,0.1855849038,14,15
