x,A,Aerr,Nplus,Nminus
0,0.01062654732,0.006171197794,13267,12988
0.00525,0.01062654732,0.006171197794,13267,12988
0.0105,0.01062654732,0.006171197794,13267,12988
0.01575,0.01062654732,0.006171197794,13267,12988
0.021,0.01062654732,0.006171197794,13267,12988
0.02625,0.01126609442,0.006189926113,13195,12901
0.0315,0.01062395941,0.006295805372,12747,12479
0.03675,0.00992884329,0.006431648468,12206,11966
0.042,0.009685230024,0.006575224573,11676,11452
0.04725,0.01012669724,0.006738437614,11122,10899
0.0525,0.007079984692,0.006916309455,10526,10378
0.05775,0.006933549269,0.007113888926,9948,9811
0.063,0.005829188727,0.007312795531,9404,9295
0.06825,0.004752744144,0.007521901978,8879,8795
0.0735,0.005077961646,0.007729112808,8412,8327
0.07875,0.001899455489,0.00795706947,7912,7882
0.084,0.003357958361,0.008195023487,7470,7420
0.08925,0.006470881035,0.008432413968,7077,6986
0.0945,0.01313405797,0.00868735119,6711,6537
0.09975,0.0105381707,0.008968562739,6281,6150
0.105,0.009476223294,0.009281150174,5859,5749
