x,A,Aerr,Nplus,Nminus
0,0.09604519774,0.07481711487,97,80
0.015,0.09604519774,0.07481711487,97,80
0.03,0.119047619,0.07660301438,94,74
0.045,0.07042253521,0.08370978818,76,66
0.06,0.08620689655,0.09250202099,63,53
0.075,0.0752688172,0.1034010152,50,43
0.09,0.03797468354,0.1124276377,41,38
0.105,0.04347826087,0.120272013,36,33
0.12,0,0.133630621,28,28
0.135,-0.04347826087,0.1473025311,22,24
0.15,-0.09090909091,0.1501314225,20,24
0.165,-0.1282051282,0.1588067238,17,22
0.18,-0.2,0.1656157342,14,21
0.195,-0.2666666667,0.1759629591,11,19
0.21,-0.2413793103,0.1802044843,11,18
0.225,-0.2142857143,0.1845923726,11,17
0.24,-0.2307692308,0.1908226686,10,16
0.255,-0.1428571429,0.2159796989,9,12
0.27,-0.2,0.2529822128,6,9
0.285,-0.2857142857,0.2561204163,5,9
0.3,-0.2857142857,0.2561204163,5,9
