x,A,Aerr,Nplus,Nminus
121,0.1836734694,0.1404267589,29,20
121.2,0.09433962264,0.1367479458,29,24
121.4,0.07407407407,0.135708909,29,25
121.6,0.08474576271,0.1297205703,32,27
121.8,0.06666666667,0.1288122377,32,28
122,0.06451612903,0.1267355431,33,29
122.2,0.06060606061,0.1228652197,35,31
122.4,0.06060606061,0.1228652197,35,31
122.6,0.02941176471,0.1212153497,35,33
122.8,0.01408450704,0.1186663939,36,35
123,0.01369863014,0.1170301652,37,36
123.2,0.01333333333,0.1154597894,38,37
123.4,0.02564102564,0.1131904758,40,38
123.6,0.02564102564,0.1131904758,40,38
123.8,0,0.1118033989,40,40
124,0.01204819277,0.1097562931,42,41
124.2,0.02325581395,0.1078036095,44,42
124.4,0.01098901099,0.104822154,46,45
124.6,0.02127659574,0.1031187761,48,46
124.8,0.02083333333,0.1020399213,49,47
125,0.02040816327,0.1009942162,50,48
