x,A,Aerr,Nplus,Nminus
-130,0.01062654732,0.006171197794,13267,12988
-122,0.01062654732,0.006171197794,13267,12988
-114,0.01062654732,0.006171197794,13267,12988
-106,0.01062654732,0.006171197794,13267,12988
-98,0.01062654732,0.006171197794,13267,12988
-90,0.01062654732,0.006171197794,13267,12988
-82,0.01062654732,0.006171197794,13267,12988
-74,0.01062654732,0.006171197794,13267,12988
-66,0.01062654732,0.006171197794,13267,12988
-58,0.01062654732,0.006171197794,13267,12988
-50,0.01062654732,0.006171197794,13267,12988
-42,0.01062654732,0.006171197794,13267,12988
-34,0.01062654732,0.006171197794,13267,12988
-26,0.01066504152,0.006171312792,13267,12987
-18,0.01079205278,0.006174951065,13253,12970
-10,0.01097136741,0.006182488131,13223,12936
-2,0.01088372806,0.006190189541,13189,12905
6,0.01092139671,0.006200889883,13144,12860
14,0.01042390549,0.006213120183,13086,12816
22,0.01097622464,0.006227405025,13033,12750
30,0.01088440682,0.006245605578,12956,12677
