x,A,Aerr,Nplus,Nminus
115,-0.1238095238,0.09683914998,46,59
115.2,-0.1153846154,0.09740312695,46,58
115.4,-0.1176470588,0.09832714352,45,57
115.6,-0.09090909091,0.100087615,45,54
115.8,-0.0752688172,0.1034010152,43,50
116,-0.03448275862,0.1071474942,42,45
116.2,-0.04651162791,0.107716071,41,45
116.4,-0.03614457831,0.1096925369,40,43
116.6,0,0.1118033989,40,40
116.8,0.01298701299,0.1139509656,39,38
117,0.01369863014,0.1170301652,37,36
117.2,0.02857142857,0.1194740661,36,34
117.4,0.04347826087,0.120272013,36,33
117.6,0.02941176471,0.1212153497,35,33
117.8,0.07692307692,0.1236672235,35,30
118,0.06451612903,0.1267355431,33,29
118.2,0.03448275862,0.131228344,30,28
118.4,0.03448275862,0.131228344,30,28
118.6,0,0.1386750491,26,26
118.8,0,0.1443375673,24,24
119,0.06976744186,0.1521269745,23,20
