width,A,Aerr,Nplus,Nminus
1,0.2,0.438178046,3,2
5.958333333,0.1578947368,0.2265379313,11,8
10.91666667,0.1428571429,0.1870439059,16,12
15.875,0.0303030303,0.1739977121,17,16
20.83333333,-0.0243902439,0.1561273023,20,21
25.79166667,-0.08,0.1409680815,23,27
30.75,-0.07692307692,0.1128922132,36,42
35.70833333,-0.04935064935,0.05090261936,183,202
40.66666667,-0.01268882175,0.02457910337,817,838
45.625,-0.01044634378,0.01540749804,2084,2128
50.58333333,-0.002784776555,0.01151552773,3760,3781
55.54166667,-0.002784776555,0.01151552773,3760,3781
60.5,-0.002784776555,0.01151552773,3760,3781
65.45833333,-0.002784776555,0.01151552773,3760,3781
70.41666667,-0.002784776555,0.01151552773,3760,3781
75.375,-0.002784776555,0.01151552773,3760,3781
80.33333333,-0.002784776555,0.01151552773,3760,3781
85.29166667,-0.002784776555,0.01151552773,3760,3781
90.25,-0.002784776555,0.01151552773,3760,3781
95.20833333,-0.002784776555,0.01151552773,3760,3781
100.1666667,-0.002784776555,0.01151552773,3760,3781
105.125,-0.002784776555,0.01151552773,3760,3781
110.0833333,-0.002784776555,0.01151552773,3760,3781
115.0416667,-0.002784776555,0.01151552773,3760,3781
120,-0.002784776555,0.01151552773,3760,3781
