Run_number: 2033 | Aexp: 6.52174 | errAexp: 10.4035
Run_number: 2035 | Aexp: -1.51515 | errAexp: 8.70288
Run_number: 2042 | Aexp: 1.64609 | errAexp: 3.20707
Run_number: 2046 | Aexp: 1.02041 | errAexp: 7.14249
Run_number: 2131 | Aexp: -12.3967 | errAexp: 9.02078
Run_number: 2141 | Aexp: -4.78589 | errAexp: 5.01311
Run_number: 2143 | Aexp: 3.75 | errAexp: 7.90013
Run_number: 2146 | Aexp: -8.44444 | errAexp: 4.69721
Run_number: 2164 | Aexp: -3.08665 | errAexp: 1.92751
Run_number: 2165 | Aexp: -3.85965 | errAexp: 3.41738
Run_number: 2168 | Aexp: -3.48837 | errAexp: 1.79612
Run_number: 2169 | Aexp: 3.0303 | errAexp: 17.3998
Run_number: 2170 | Aexp: -3.92006 | errAexp: 1.9589
Run_number: 2171 | Aexp: -0.458015 | errAexp: 3.90728
Run_number: 2172 | Aexp: -3.53274 | errAexp: 2.16897
Run_number: 2173 | Aexp: -2.04082 | errAexp: 2.85655
Run_number: 2174 | Aexp: -7.57764 | errAexp: 2.48506
Run_number: 2175 | Aexp: -3.20248 | errAexp: 2.27156
Run_number: 2176 | Aexp: -2.38532 | errAexp: 4.28231
Run_number: 2199 | Aexp: -3.49442 | errAexp: 2.72504
Run_number: 2200 | Aexp: -0.617284 | errAexp: 2.268
Run_number: 2201 | Aexp: 2.30088 | errAexp: 4.20592
Run_number: 2203 | Aexp: -0.909091 | errAexp: 2.38356
Run_number: 2204 | Aexp: -1.98238 | errAexp: 2.34616
Run_number: 2206 | Aexp: -6.27558 | errAexp: 2.60661
Run_number: 2208 | Aexp: -2.74964 | errAexp: 3.80274
Run_number: 2209 | Aexp: -1.71211 | errAexp: 2.5178
Run_number: 2210 | Aexp: 3.26609 | errAexp: 2.19042
Run_number: 2211 | Aexp: 1.03093 | errAexp: 10.1529
Run_number: 2212 | Aexp: 5.58299 | errAexp: 1.94579
Run_number: 2213 | Aexp: 7.68496 | errAexp: 2.17832
Run_number: 2214 | Aexp: 6.06654 | errAexp: 2.2078
Run_number: 2215 | Aexp: 6.35294 | errAexp: 3.42304
Run_number: 2216 | Aexp: 2.1124 | errAexp: 1.99596
Run_number: 2217 | Aexp: 2.35192 | errAexp: 2.08638
Run_number: 2218 | Aexp: -7.14286 | errAexp: 9.42498
Run_number: 2219 | Aexp: 5.61875 | errAexp: 1.8537
Run_number: 2220 | Aexp: 10.1149 | errAexp: 3.37293
Run_number: 2221 | Aexp: 7.29847 | errAexp: 2.32758
Run_number: 2222 | Aexp: 0.585366 | errAexp: 2.20859
Run_number: 2223 | Aexp: 5.60399 | errAexp: 2.4914
Run_number: 2224 | Aexp: 3.55987 | errAexp: 2.1488
Run_number: 2225 | Aexp: 6.30473 | errAexp: 2.95326
Run_number: 2226 | Aexp: 3.68239 | errAexp: 2.39707
Run_number: 2227 | Aexp: -6.09756 | errAexp: 7.79416
Run_number: 2228 | Aexp: 4.12096 | errAexp: 1.72037
Run_number: 2229 | Aexp: 4.85934 | errAexp: 1.78588
Run_number: 2230 | Aexp: 1.55131 | errAexp: 2.44237
Run_number: 2231 | Aexp: 4.34311 | errAexp: 2.3278
Run_number: 2232 | Aexp: -3.45539 | errAexp: 2.26961
Run_number: 2233 | Aexp: -4.54297 | errAexp: 2.33713
Run_number: 2234 | Aexp: -4.70829 | errAexp: 2.25973
Run_number: 2235 | Aexp: -6 | errAexp: 3.32733
Run_number: 2236 | Aexp: -4.90147 | errAexp: 2.2452
Run_number: 2237 | Aexp: -3.97169 | errAexp: 1.98145
Run_number: 2238 | Aexp: -10.5681 | errAexp: 2.45774
Run_number: 2239 | Aexp: -4.56389 | errAexp: 2.24954
Run_number: 2240 | Aexp: -3.48485 | errAexp: 2.75074
Run_number: 2241 | Aexp: -1.93776 | errAexp: 2.42276
Run_number: 2242 | Aexp: -6.01549 | errAexp: 2.43606
Run_number: 2243 | Aexp: -2.88066 | errAexp: 4.53421
Run_number: 2244 | Aexp: -6.77877 | errAexp: 2.28708
Run_number: 2245 | Aexp: -3.48567 | errAexp: 2.78146
Run_number: 2246 | Aexp: -3.02312 | errAexp: 2.43357
Run_number: 2247 | Aexp: -9.82143 | errAexp: 6.64923
Run_number: 2248 | Aexp: -3.16056 | errAexp: 3.55381
Run_number: 2250 | Aexp: 3.51008 | errAexp: 2.73113
Run_number: 2251 | Aexp: -9.375 | errAexp: 12.4449
Run_number: 2252 | Aexp: 4.22671 | errAexp: 2.18963
Run_number: 2253 | Aexp: 2.00114 | errAexp: 2.39066
Run_number: 2254 | Aexp: 0.690449 | errAexp: 2.39864
Run_number: 2255 | Aexp: 1.74738 | errAexp: 2.23405
Run_number: 2256 | Aexp: 2.67857 | errAexp: 2.22638
Run_number: 2257 | Aexp: -0.662252 | errAexp: 2.45361
Run_number: 2258 | Aexp: 1.2987 | errAexp: 2.19299
Run_number: 2259 | Aexp: 3.23575 | errAexp: 2.26511
Run_number: 2260 | Aexp: 0.761035 | errAexp: 3.90126
Run_number: 2275 | Aexp: -8.22281 | errAexp: 5.13282
Run_number: 2276 | Aexp: -1.80361 | errAexp: 3.16493
Run_number: 2302 | Aexp: 2.59067 | errAexp: 7.19574
Run_number: 2303 | Aexp: -1.46687 | errAexp: 2.2488
Run_number: 2304 | Aexp: -6.21517 | errAexp: 2.06634
Run_number: 2305 | Aexp: -7.83133 | errAexp: 2.73568
Run_number: 2306 | Aexp: 5.71429 | errAexp: 4.87153
Run_number: 2307 | Aexp: -6.42361 | errAexp: 2.94019
Run_number: 2309 | Aexp: -0.544218 | errAexp: 2.60816
Run_number: 2310 | Aexp: -5.72207 | errAexp: 5.2114
Run_number: 2313 | Aexp: -5.64784 | errAexp: 2.57358
Run_number: 2314 | Aexp: -3.48993 | errAexp: 2.58906
Run_number: 2316 | Aexp: -8.91473 | errAexp: 2.19236
Run_number: 2318 | Aexp: -0.995475 | errAexp: 2.12707
Run_number: 2319 | Aexp: -3.10117 | errAexp: 2.25366
Run_number: 2320 | Aexp: -5.38922 | errAexp: 5.4638
Run_number: 2321 | Aexp: -1.78359 | errAexp: 2.43791
Run_number: 2322 | Aexp: -0.840336 | errAexp: 2.44989
