Run_number: 2033 | Ap_exp: -0.75188 | errAexp: 6.13122
Run_number: 2035 | Ap_exp: 5.82524 | errAexp: 4.91828
Run_number: 2042 | Ap_exp: -0.551204 | errAexp: 1.70323
Run_number: 2046 | Ap_exp: 5.8296 | errAexp: 3.85965
Run_number: 2131 | Ap_exp: 2.08817 | errAexp: 4.81578
Run_number: 2141 | Ap_exp: -2.48175 | errAexp: 2.70088
Run_number: 2143 | Ap_exp: -3.77358 | errAexp: 4.34063
Run_number: 2146 | Ap_exp: -2.55134 | errAexp: 2.49374
Run_number: 2164 | Ap_exp: 1.70657 | errAexp: 1.08847
Run_number: 2165 | Ap_exp: 0.0337952 | errAexp: 1.83835
Run_number: 2168 | Ap_exp: 0.778322 | errAexp: 0.980221
Run_number: 2169 | Ap_exp: -9.56522 | errAexp: 9.28229
Run_number: 2170 | Ap_exp: 0.518852 | errAexp: 1.07377
Run_number: 2171 | Ap_exp: -0.369686 | errAexp: 2.14965
Run_number: 2172 | Ap_exp: 0.393007 | errAexp: 1.16412
Run_number: 2173 | Ap_exp: -1.14249 | errAexp: 1.46811
Run_number: 2174 | Ap_exp: -1.28921 | errAexp: 1.38704
Run_number: 2175 | Ap_exp: 0.308291 | errAexp: 1.2738
Run_number: 2176 | Ap_exp: -1.63447 | errAexp: 2.22522
Run_number: 2199 | Ap_exp: 0.595895 | errAexp: 1.48558
Run_number: 2200 | Ap_exp: -1.7786 | errAexp: 1.23806
Run_number: 2201 | Ap_exp: 1.24688 | errAexp: 2.2331
Run_number: 2203 | Ap_exp: -1.51822 | errAexp: 1.29866
Run_number: 2204 | Ap_exp: -1.25082 | errAexp: 1.28279
Run_number: 2206 | Ap_exp: -0.575511 | errAexp: 1.40871
Run_number: 2208 | Ap_exp: 1.93382 | errAexp: 2.07262
Run_number: 2209 | Ap_exp: 2.69488 | errAexp: 1.34437
Run_number: 2210 | Ap_exp: 0.231548 | errAexp: 1.20298
Run_number: 2211 | Ap_exp: 2.19436 | errAexp: 5.59758
Run_number: 2212 | Ap_exp: 0.835776 | errAexp: 1.0418
Run_number: 2213 | Ap_exp: -2.12705 | errAexp: 1.19856
Run_number: 2214 | Ap_exp: 0.447912 | errAexp: 1.20202
Run_number: 2215 | Ap_exp: -0.868357 | errAexp: 1.86364
Run_number: 2216 | Ap_exp: 0.0492126 | errAexp: 1.1092
Run_number: 2217 | Ap_exp: 3.26245 | errAexp: 1.14866
Run_number: 2218 | Ap_exp: 2.45399 | errAexp: 5.53682
Run_number: 2219 | Ap_exp: 0.804346 | errAexp: 1.02203
Run_number: 2220 | Ap_exp: -0.332447 | errAexp: 1.8233
Run_number: 2221 | Ap_exp: 1.13529 | errAexp: 1.25562
Run_number: 2222 | Ap_exp: 0.662252 | errAexp: 1.2131
Run_number: 2223 | Ap_exp: -1.96007 | errAexp: 1.34692
Run_number: 2224 | Ap_exp: 0.0854701 | errAexp: 1.19352
Run_number: 2225 | Ap_exp: -1.12474 | errAexp: 1.59872
Run_number: 2226 | Ap_exp: -1.01078 | errAexp: 1.29787
Run_number: 2227 | Ap_exp: -8.30325 | errAexp: 4.23392
Run_number: 2228 | Ap_exp: 0.657007 | errAexp: 0.948668
Run_number: 2229 | Ap_exp: -0.329266 | errAexp: 0.984083
Run_number: 2230 | Ap_exp: 0.730943 | errAexp: 1.31918
Run_number: 2231 | Ap_exp: 1.15994 | errAexp: 1.27808
Run_number: 2232 | Ap_exp: 0.0443853 | errAexp: 1.21635
Run_number: 2233 | Ap_exp: -0.79045 | errAexp: 1.27006
Run_number: 2234 | Ap_exp: 0.0769586 | errAexp: 1.24063
Run_number: 2235 | Ap_exp: -3.93535 | errAexp: 1.87304
Run_number: 2236 | Ap_exp: -0.83583 | errAexp: 1.25576
Run_number: 2237 | Ap_exp: -0.312951 | errAexp: 1.09711
Run_number: 2238 | Ap_exp: 0.496983 | errAexp: 1.33225
Run_number: 2239 | Ap_exp: -1.28093 | errAexp: 1.20639
Run_number: 2240 | Ap_exp: -0.383142 | errAexp: 1.50125
Run_number: 2241 | Ap_exp: 0.72863 | errAexp: 1.33306
Run_number: 2242 | Ap_exp: 0.52687 | errAexp: 1.32521
Run_number: 2243 | Ap_exp: -0.884956 | errAexp: 2.42884
Run_number: 2244 | Ap_exp: 0.294163 | errAexp: 1.24427
Run_number: 2245 | Ap_exp: -2.41274 | errAexp: 1.53007
