Run_number: 3510 | pol_beam: 86.185
Run_number: 3511 | pol_beam: 86.185
Run_number: 3512 | pol_beam: 86.185
Run_number: 3514 | pol_beam: 86.185
Run_number: 3515 | pol_beam: 86.185
Run_number: 3517 | pol_beam: 86.185
Run_number: 3518 | pol_beam: 86.185
Run_number: 3519 | pol_beam: 86.185
Run_number: 3520 | pol_beam: 86.185
Run_number: 3521 | pol_beam: 86.185
Run_number: 3523 | pol_beam: 86.185
Run_number: 3524 | pol_beam: 86.185
Run_number: 3525 | pol_beam: 86.185
Run_number: 3526 | pol_beam: 86.185
Run_number: 3552 | pol_beam: 86.185
Run_number: 3553 | pol_beam: 86.185
Run_number: 3554 | pol_beam: 86.185
Run_number: 3555 | pol_beam: 86.185
Run_number: 3556 | pol_beam: 86.185
Run_number: 3557 | pol_beam: 86.185
Run_number: 3558 | pol_beam: 86.185
Run_number: 3559 | pol_beam: 86.185
Run_number: 3560 | pol_beam: 86.185
Run_number: 3561 | pol_beam: 86.185
Run_number: 3562 | pol_beam: 86.185
Run_number: 3563 | pol_beam: 86.185
Run_number: 3578 | pol_beam: 86.185
Run_number: 3579 | pol_beam: 86.185
Run_number: 3580 | pol_beam: 86.185
Run_number: 3581 | pol_beam: 86.185
Run_number: 3582 | pol_beam: 86.185
Run_number: 3583 | pol_beam: 86.185
Run_number: 3588 | pol_beam: 86.185
Run_number: 3589 | pol_beam: 86.185
Run_number: 3590 | pol_beam: 86.185
Run_number: 3591 | pol_beam: 86.185
Run_number: 3592 | pol_beam: 86.185
Run_number: 3593 | pol_beam: 86.185
Run_number: 3594 | pol_beam: 86.185
Run_number: 3595 | pol_beam: 86.185
Run_number: 3596 | pol_beam: 86.185
Run_number: 3671 | pol_beam: 86.185
Run_number: 3672 | pol_beam: 86.185
Run_number: 3673 | pol_beam: 86.185
Run_number: 3694 | pol_beam: 86.185
Run_number: 3695 | pol_beam: 86.185
Run_number: 3696 | pol_beam: 86.185
Run_number: 3697 | pol_beam: 86.185
Run_number: 3698 | pol_beam: 86.185
Run_number: 3701 | pol_beam: 86.185
Run_number: 3702 | pol_beam: 86.185
Run_number: 3703 | pol_beam: 86.185
Run_number: 3704 | pol_beam: 86.185
Run_number: 3705 | pol_beam: 86.185
Run_number: 3706 | pol_beam: 86.185
Run_number: 3708 | pol_beam: 86.185
Run_number: 3709 | pol_beam: 86.185
Run_number: 3710 | pol_beam: 86.185
Run_number: 3711 | pol_beam: 86.185
Run_number: 3712 | pol_beam: 86.185
Run_number: 3713 | pol_beam: 86.185
Run_number: 3714 | pol_beam: 86.185
Run_number: 3715 | pol_beam: 86.185
Run_number: 3716 | pol_beam: 86.185
Run_number: 3717 | pol_beam: 86.185
Run_number: 3718 | pol_beam: 86.185
Run_number: 3719 | pol_beam: 86.185
Run_number: 3720 | pol_beam: 86.185
Run_number: 3721 | pol_beam: 86.185
Run_number: 3722 | pol_beam: 86.185
Run_number: 3723 | pol_beam: 86.185
Run_number: 3729 | pol_beam: 86.185
Run_number: 3730 | pol_beam: 86.185
Run_number: 3731 | pol_beam: 86.185
Run_number: 3732 | pol_beam: 86.185
Run_number: 3733 | pol_beam: 86.185
Run_number: 3734 | pol_beam: 86.185
Run_number: 3737 | pol_beam: 86.185
Run_number: 3738 | pol_beam: 86.185
Run_number: 3739 | pol_beam: 86.185
Run_number: 3740 | pol_beam: 86.185
Run_number: 3741 | pol_beam: 86.185
Run_number: 3742 | pol_beam: 86.185
Run_number: 3747 | pol_beam: 86.185
Run_number: 3748 | pol_beam: 86.185
Run_number: 3749 | pol_beam: 86.185
Run_number: 3750 | pol_beam: 86.185
Run_number: 3752 | pol_beam: 86.185
Run_number: 3753 | pol_beam: 86.185
Run_number: 3754 | pol_beam: 86.185
Run_number: 3755 | pol_beam: 86.185
Run_number: 3756 | pol_beam: 86.185
Run_number: 3758 | pol_beam: 86.185
Run_number: 3759 | pol_beam: 86.185
Run_number: 3761 | pol_beam: 86.185
Run_number: 3762 | pol_beam: 86.185
Run_number: 3763 | pol_beam: 86.185
Run_number: 3764 | pol_beam: 86.185
Run_number: 3765 | pol_beam: 86.185
Run_number: 3766 | pol_beam: 86.185
Run_number: 3767 | pol_beam: 86.185
Run_number: 3782 | pol_beam: 86.185
Run_number: 3783 | pol_beam: 86.185
Run_number: 3784 | pol_beam: 86.185
Run_number: 3786 | pol_beam: 86.185
Run_number: 3787 | pol_beam: 86.185
Run_number: 3788 | pol_beam: 86.185
Run_number: 3789 | pol_beam: 86.185
Run_number: 3790 | pol_beam: 86.185
Run_number: 3791 | pol_beam: 86.185
Run_number: 3792 | pol_beam: 86.185
Run_number: 3795 | pol_beam: 86.185
Run_number: 3796 | pol_beam: 86.185
Run_number: 3810 | pol_beam: 86.185
Run_number: 3811 | pol_beam: 86.185
Run_number: 3812 | pol_beam: 86.185
Run_number: 3813 | pol_beam: 86.185
Run_number: 3815 | pol_beam: 86.185
Run_number: 3822 | pol_beam: 86.185
Run_number: 3823 | pol_beam: 86.185
Run_number: 3824 | pol_beam: 86.185
Run_number: 3825 | pol_beam: 86.185
