Run_number: 3510 | Aphy: 8.27932 | errAphy: 0
Run_number: 3511 | Aphy: -1.68666 | errAphy: 3.63868
Run_number: 3512 | Aphy: 4.58683 | errAphy: 2.3012
Run_number: 3514 | Aphy: 2.04942 | errAphy: 2.84165
Run_number: 3515 | Aphy: 4.12422 | errAphy: 3.59404
Run_number: 3517 | Aphy: 0.225638 | errAphy: 1.44383
Run_number: 3518 | Aphy: 2.34456 | errAphy: 2.12485
Run_number: 3519 | Aphy: 1.15898 | errAphy: 1.38747
Run_number: 3520 | Aphy: 0.566429 | errAphy: 1.56288
Run_number: 3521 | Aphy: -0.779437 | errAphy: 2.48921
Run_number: 3523 | Aphy: 2.15511 | errAphy: 1.83424
Run_number: 3524 | Aphy: 0.49202 | errAphy: 1.46168
Run_number: 3525 | Aphy: -1.06098 | errAphy: 1.45253
Run_number: 3526 | Aphy: 0.590891 | errAphy: 2.2137
Run_number: 3552 | Aphy: 0.25028 | errAphy: 1.48057
Run_number: 3553 | Aphy: -0.426311 | errAphy: 1.29522
Run_number: 3554 | Aphy: 4.21204 | errAphy: 2.59549
Run_number: 3555 | Aphy: 1.08484 | errAphy: 1.76142
Run_number: 3556 | Aphy: -0.0266475 | errAphy: 1.67986
Run_number: 3557 | Aphy: 2.50678 | errAphy: 1.41197
Run_number: 3558 | Aphy: 2.70687 | errAphy: 1.27699
Run_number: 3559 | Aphy: 0.348344 | errAphy: 1.79764
Run_number: 3560 | Aphy: 0.512697 | errAphy: 1.5231
Run_number: 3561 | Aphy: -0.434242 | errAphy: 1.8658
Run_number: 3562 | Aphy: 0.216083 | errAphy: 1.43398
Run_number: 3563 | Aphy: -0.0264892 | errAphy: 6.02083
Run_number: 3578 | Aphy: 1.04171 | errAphy: 2.11985
Run_number: 3579 | Aphy: 0.303496 | errAphy: 1.18969
Run_number: 3580 | Aphy: -0.0268108 | errAphy: 1.57345
Run_number: 3581 | Aphy: -0.0267247 | errAphy: 1.5186
Run_number: 3582 | Aphy: -0.0265097 | errAphy: 2.13034
Run_number: 3583 | Aphy: 8.37662 | errAphy: 0
Run_number: 3588 | Aphy: 1.08307 | errAphy: 1.75855
Run_number: 3589 | Aphy: -0.720716 | errAphy: 1.22244
Run_number: 3590 | Aphy: 0.392436 | errAphy: 1.35898
Run_number: 3591 | Aphy: 0.834832 | errAphy: 1.22552
Run_number: 3592 | Aphy: -0.611954 | errAphy: 1.59762
Run_number: 3593 | Aphy: -1.04395 | errAphy: 1.3244
Run_number: 3594 | Aphy: 0.431934 | errAphy: 1.41299
Run_number: 3595 | Aphy: -0.262164 | errAphy: 1.42955
Run_number: 3596 | Aphy: -5.29456 | errAphy: 2.4054
Run_number: 3671 | Aphy: 1.55209 | errAphy: 1.99427
Run_number: 3672 | Aphy: 4.48297 | errAphy: 1.29851
Run_number: 3673 | Aphy: 0.15973 | errAphy: 1.17195
Run_number: 3694 | Aphy: -2.25491 | errAphy: 1.7586
Run_number: 3695 | Aphy: -0.392463 | errAphy: 1.68628
Run_number: 3696 | Aphy: 3.8409 | errAphy: 3.34715
Run_number: 3697 | Aphy: 1.90323 | errAphy: 1.52359
Run_number: 3698 | Aphy: 5.4498 | errAphy: 2.02704
Run_number: 3701 | Aphy: -0.4739 | errAphy: 1.85258
Run_number: 3702 | Aphy: -0.867748 | errAphy: 0.96572
Run_number: 3703 | Aphy: -2.10548 | errAphy: 1.13526
Run_number: 3704 | Aphy: -0.0249593 | errAphy: 1.09179
Run_number: 3705 | Aphy: -2.52438 | errAphy: 1.42163
Run_number: 3706 | Aphy: 7.97797 | errAphy: 0
Run_number: 3708 | Aphy: -0.0247876 | errAphy: 3.25284
Run_number: 3709 | Aphy: 0.553224 | errAphy: 1.22991
Run_number: 3710 | Aphy: 2.32355 | errAphy: 1.18045
Run_number: 3711 | Aphy: -0.0248988 | errAphy: 1.46123
Run_number: 3712 | Aphy: -0.983281 | errAphy: 1.38675
Run_number: 3713 | Aphy: -0.0252132 | errAphy: 1.47969
Run_number: 3714 | Aphy: 1.19706 | errAphy: 1.38794
Run_number: 3715 | Aphy: 0.273593 | errAphy: 1.09667
Run_number: 3716 | Aphy: -0.920538 | errAphy: 1.33489
Run_number: 3717 | Aphy: 1.57211 | errAphy: 1.16625
Run_number: 3718 | Aphy: -0.0246272 | errAphy: 1.68775
Run_number: 3719 | Aphy: 0.188404 | errAphy: 1.29462
Run_number: 3720 | Aphy: 3.34589 | errAphy: 2.68556
Run_number: 3721 | Aphy: 7.68458 | errAphy: 0
Run_number: 3722 | Aphy: 1.63728 | errAphy: 1.55513
Run_number: 3723 | Aphy: -0.024335 | errAphy: 1.95558
Run_number: 3729 | Aphy: -1.3369 | errAphy: 1.18339
Run_number: 3730 | Aphy: 0.836568 | errAphy: 2.56601
Run_number: 3731 | Aphy: -1.14809 | errAphy: 1.47117
Run_number: 3732 | Aphy: 1.06747 | errAphy: 1.19639
Run_number: 3733 | Aphy: 3.1043 | errAphy: 1.53449
Run_number: 3734 | Aphy: 1.56948 | errAphy: 1.16429
Run_number: 3737 | Aphy: 0.443253 | errAphy: 1.92629
Run_number: 3738 | Aphy: 3.1629 | errAphy: 1.63321
Run_number: 3739 | Aphy: 0.37435 | errAphy: 1.26076
Run_number: 3740 | Aphy: -0.691076 | errAphy: 1.14989
Run_number: 3741 | Aphy: -0.990173 | errAphy: 1.22727
Run_number: 3742 | Aphy: -0.0244531 | errAphy: 2.26907
Run_number: 3747 | Aphy: -0.0239023 | errAphy: 5.43286
Run_number: 3748 | Aphy: -0.58801 | errAphy: 1.20062
Run_number: 3749 | Aphy: 4.34637 | errAphy: 1.33005
Run_number: 3750 | Aphy: -0.0242728 | errAphy: 1.95058
Run_number: 3752 | Aphy: 2.59727 | errAphy: 1.35387
Run_number: 3753 | Aphy: -0.0245695 | errAphy: 2.27986
Run_number: 3754 | Aphy: -0.0247488 | errAphy: 2.2965
Run_number: 3755 | Aphy: 0.591388 | errAphy: 1.56664
Run_number: 3756 | Aphy: 0.982651 | errAphy: 1.1545
Run_number: 3758 | Aphy: -0.926008 | errAphy: 1.55055
Run_number: 3759 | Aphy: -0.565976 | errAphy: 1.47759
Run_number: 3761 | Aphy: -0.0252406 | errAphy: 2.02835
Run_number: 3762 | Aphy: -0.763281 | errAphy: 1.40736
Run_number: 3763 | Aphy: 0.286545 | errAphy: 1.12324
Run_number: 3764 | Aphy: -0.286394 | errAphy: 1.45356
Run_number: 3765 | Aphy: 1.36738 | errAphy: 1.04461
Run_number: 3766 | Aphy: -0.204145 | errAphy: 1.20097
Run_number: 3767 | Aphy: 0.213111 | errAphy: 1.31251
Run_number: 3782 | Aphy: -1.85082 | errAphy: 2.50319
Run_number: 3783 | Aphy: -7.3357 | errAphy: 0
Run_number: 3784 | Aphy: -1.13278 | errAphy: 1.26056
Run_number: 3786 | Aphy: 3.66206 | errAphy: 2.25658
Run_number: 3787 | Aphy: -0.0231131 | errAphy: 2.62674
Run_number: 3788 | Aphy: 1.14098 | errAphy: 1.46681
Run_number: 3789 | Aphy: -0.289849 | errAphy: 1.43086
Run_number: 3790 | Aphy: 2.08941 | errAphy: 2.248
Run_number: 3791 | Aphy: 1.37824 | errAphy: 1.61686
Run_number: 3792 | Aphy: 7.66728 | errAphy: 0
Run_number: 3795 | Aphy: 9.42306 | errAphy: 0
Run_number: 3796 | Aphy: -7.34729 | errAphy: 0
Run_number: 3810 | Aphy: -1.49739 | errAphy: 1.31879
Run_number: 3811 | Aphy: 0.548235 | errAphy: 1.45232
Run_number: 3812 | Aphy: 1.47173 | errAphy: 1.89102
Run_number: 3813 | Aphy: -2.0308 | errAphy: 2.13566
Run_number: 3815 | Aphy: 2.44432 | errAphy: 4.02917
Run_number: 3822 | Aphy: -0.843256 | errAphy: 2.44563
Run_number: 3823 | Aphy: -0.0229344 | errAphy: 1.50482
Run_number: 3824 | Aphy: -1.49558 | errAphy: 1.44291
Run_number: 3825 | Aphy: 0.216883 | errAphy: 1.33574
Run_number: 3826 | Aphy: -0.85957 | errAphy: 1.24648
Run_number: 3827 | Aphy: 0.338611 | errAphy: 1.17259
Run_number: 3828 | Aphy: -2.12132 | errAphy: 1.28799
Run_number: 3829 | Aphy: -0.0239314 | errAphy: 1.57024
Run_number: 3830 | Aphy: -0.693066 | errAphy: 1.13026
Run_number: 3832 | Aphy: 1.59649 | errAphy: 1.22065
Run_number: 3833 | Aphy: 1.83363 | errAphy: 1.38679
Run_number: 3835 | Aphy: -0.288654 | errAphy: 1.42497
Run_number: 3836 | Aphy: 0.183287 | errAphy: 1.25946
Run_number: 3837 | Aphy: 1.20975 | errAphy: 1.35563
Run_number: 3838 | Aphy: 0.239743 | errAphy: 1.41824
Run_number: 3839 | Aphy: 2.65963 | errAphy: 1.17552
Run_number: 3840 | Aphy: -0.0237456 | errAphy: 1.34931
Run_number: 3841 | Aphy: 1.17978 | errAphy: 1.7267
Run_number: 3842 | Aphy: -0.446632 | errAphy: 1.26688
Run_number: 3843 | Aphy: -1.85893 | errAphy: 1.37015
Run_number: 3844 | Aphy: 1.48943 | errAphy: 1.35323
Run_number: 3846 | Aphy: 1.34486 | errAphy: 1.5777
Run_number: 3847 | Aphy: -0.0233059 | errAphy: 1.24859
Run_number: 3848 | Aphy: -2.51497 | errAphy: 1.53792
Run_number: 3849 | Aphy: -0.207715 | errAphy: 1.17922
Run_number: 3850 | Aphy: -0.210003 | errAphy: 1.19221
Run_number: 3851 | Aphy: -1.92777 | errAphy: 1.12564
Run_number: 3852 | Aphy: -0.378739 | errAphy: 1.19747
Run_number: 3853 | Aphy: -0.523764 | errAphy: 1.44781
Run_number: 3854 | Aphy: -0.835895 | errAphy: 1.54125
Run_number: 3855 | Aphy: -0.374484 | errAphy: 1.84867
Run_number: 3856 | Aphy: -0.399642 | errAphy: 1.39503
Run_number: 3857 | Aphy: 1.44801 | errAphy: 2.94665
Run_number: 3858 | Aphy: 0.371311 | errAphy: 2.28684
Run_number: 3859 | Aphy: 0.266129 | errAphy: 2.07534
Run_number: 3860 | Aphy: 4.66524 | errAphy: 3.7162
Run_number: 3861 | Aphy: 1.45213 | errAphy: 1.99969
Run_number: 3864 | Aphy: 2.06753 | errAphy: 1.50027
Run_number: 3866 | Aphy: 3.00661 | errAphy: 1.42669
Run_number: 3868 | Aphy: -0.543543 | errAphy: 1.41902
Run_number: 3869 | Aphy: -0.186704 | errAphy: 1.09837
Run_number: 3878 | Aphy: -0.993489 | errAphy: 1.53795
Run_number: 3880 | Aphy: 1.4729 | errAphy: 1.15893
Run_number: 3881 | Aphy: -0.525362 | errAphy: 1.93967
Run_number: 3882 | Aphy: -0.023579 | errAphy: 1.48642
Run_number: 3883 | Aphy: 2.37672 | errAphy: 1.22562
Run_number: 3884 | Aphy: -0.722101 | errAphy: 1.33143
Run_number: 3885 | Aphy: 1.18343 | errAphy: 1.37214
Run_number: 3889 | Aphy: -1.85716 | errAphy: 1.41946
Run_number: 3890 | Aphy: -0.528556 | errAphy: 1.12668
Run_number: 3923 | Aphy: -0.46713 | errAphy: 1.82612
Run_number: 3924 | Aphy: -0.0234323 | errAphy: 3.76606
Run_number: 3926 | Aphy: 1.50682 | errAphy: 1.06045
Run_number: 3927 | Aphy: 0.262368 | errAphy: 1.4873
Run_number: 3928 | Aphy: 0.529272 | errAphy: 1.46035
Run_number: 3929 | Aphy: 1.31447 | errAphy: 1.42014
Run_number: 3930 | Aphy: -0.0242107 | errAphy: 1.83431
Run_number: 3931 | Aphy: 0.608027 | errAphy: 1.2778
Run_number: 3932 | Aphy: 0.156951 | errAphy: 1.18781
Run_number: 3933 | Aphy: 1.87876 | errAphy: 1.1253
Run_number: 3934 | Aphy: -0.292415 | errAphy: 1.44353
Run_number: 3935 | Aphy: -1.81816 | errAphy: 1.48344
Run_number: 3936 | Aphy: -2.18502 | errAphy: 1.24547
Run_number: 3937 | Aphy: -1.1918 | errAphy: 1.21681
Run_number: 3938 | Aphy: -0.543369 | errAphy: 2.00616
Run_number: 3939 | Aphy: -1.75589 | errAphy: 1.79077
Run_number: 3940 | Aphy: -0.457382 | errAphy: 1.29738
Run_number: 3941 | Aphy: 0.546431 | errAphy: 1.21481
Run_number: 3942 | Aphy: -0.0242767 | errAphy: 1.37949
Run_number: 3944 | Aphy: -0.0242882 | errAphy: 1.74576
Run_number: 3945 | Aphy: -3.92857 | errAphy: 3.3812
Run_number: 3946 | Aphy: -0.183731 | errAphy: 1.11576
Run_number: 3947 | Aphy: -0.675599 | errAphy: 1.58977
Run_number: 3948 | Aphy: -0.20622 | errAphy: 1.1924
Run_number: 3951 | Aphy: -7.84584 | errAphy: 0
Run_number: 3952 | Aphy: 0.199215 | errAphy: 1.32205
Run_number: 3954 | Aphy: -0.0243467 | errAphy: 1.23741
Run_number: 3955 | Aphy: 1.60892 | errAphy: 1.1636
Run_number: 3956 | Aphy: -0.0242039 | errAphy: 1.14712
Run_number: 3957 | Aphy: 1.34483 | errAphy: 1.0692
Run_number: 3959 | Aphy: -0.195305 | errAphy: 1.14897
Run_number: 3960 | Aphy: 0.978799 | errAphy: 1.58925
Run_number: 3961 | Aphy: 1.50913 | errAphy: 1.26943
Run_number: 3962 | Aphy: -2.11068 | errAphy: 2.21967
Run_number: 3963 | Aphy: 1.39459 | errAphy: 1.44857
Run_number: 3964 | Aphy: 0.633179 | errAphy: 1.29091
Run_number: 3965 | Aphy: 4.23621 | errAphy: 2.12529
Run_number: 3966 | Aphy: -0.474323 | errAphy: 1.31114
Run_number: 3967 | Aphy: -0.708954 | errAphy: 2.26412
Run_number: 3968 | Aphy: 2.18537 | errAphy: 1.57013
Run_number: 3970 | Aphy: 1.18072 | errAphy: 1.11257
Run_number: 3972 | Aphy: -1.87758 | errAphy: 1.13565
Run_number: 3973 | Aphy: -1.57082 | errAphy: 1.04875
Run_number: 3974 | Aphy: 1.83711 | errAphy: 1.47066
Run_number: 3975 | Aphy: -1.33838 | errAphy: 1.25808
Run_number: 3976 | Aphy: -2.15143 | errAphy: 1.90781
Run_number: 3977 | Aphy: -1.14589 | errAphy: 1.27515
Run_number: 3978 | Aphy: 0.541132 | errAphy: 2.02728
Run_number: 3980 | Aphy: 4.84967 | errAphy: 2.22394
Run_number: 3981 | Aphy: -7.30734 | errAphy: 0
Run_number: 3983 | Aphy: -0.0226438 | errAphy: 1.48576
Run_number: 3985 | Aphy: -2.27059 | errAphy: 1.36323
Run_number: 3986 | Aphy: 0.476943 | errAphy: 1.9333
Run_number: 3996 | Aphy: -2.0193 | errAphy: 1.67849
Run_number: 3998 | Aphy: -0.73146 | errAphy: 2.33599
Run_number: 4023 | Aphy: 1.53268 | errAphy: 3.41098
Run_number: 4024 | Aphy: 2.57367 | errAphy: 4.24238
Run_number: 4025 | Aphy: 1.92776 | errAphy: 1.89006
Run_number: 4027 | Aphy: 4.66676 | errAphy: 1.97793
Run_number: 4028 | Aphy: -0.261711 | errAphy: 1.36282
Run_number: 4029 | Aphy: 3.03185 | errAphy: 1.49868
Run_number: 4030 | Aphy: -0.336028 | errAphy: 1.55765
Run_number: 4031 | Aphy: -0.43322 | errAphy: 1.25901
Run_number: 4032 | Aphy: 2.55603 | errAphy: 1.59248
Run_number: 4034 | Aphy: 2.18474 | errAphy: 1.98001
Run_number: 4035 | Aphy: -1.12681 | errAphy: 2.04198
Run_number: 4036 | Aphy: -1.12593 | errAphy: 2.88555
Run_number: 4037 | Aphy: -4.42556 | errAphy: 1.68944
Run_number: 4038 | Aphy: 1.25791 | errAphy: 2.18916
Run_number: 4043 | Aphy: 0.427976 | errAphy: 1.8599
Run_number: 4044 | Aphy: -2.78586 | errAphy: 1.43156
Run_number: 4046 | Aphy: -1.5253 | errAphy: 2.3268
Run_number: 4048 | Aphy: -1.53738 | errAphy: 3.31664
Run_number: 4051 | Aphy: -0.453869 | errAphy: 1.28741
Run_number: 4052 | Aphy: -0.0245413 | errAphy: 1.97216
Run_number: 4053 | Aphy: -0.255178 | errAphy: 1.36086
Run_number: 4054 | Aphy: 0.892531 | errAphy: 1.19456
Run_number: 4055 | Aphy: -1.14101 | errAphy: 2.92419
Run_number: 4056 | Aphy: -0.0240757 | errAphy: 2.44727
Run_number: 4057 | Aphy: -0.386724 | errAphy: 1.66163
Run_number: 4058 | Aphy: -0.601673 | errAphy: 1.46997
Run_number: 4059 | Aphy: 0.526281 | errAphy: 1.17001
Run_number: 4060 | Aphy: 0.477077 | errAphy: 1.36743
Run_number: 4061 | Aphy: -0.0233366 | errAphy: 1.67736
Run_number: 4062 | Aphy: -0.380077 | errAphy: 1.63306
Run_number: 4063 | Aphy: -0.0230602 | errAphy: 1.65749
Run_number: 4064 | Aphy: -2.76601 | errAphy: 1.69538
Run_number: 4065 | Aphy: -1.63499 | errAphy: 1.66747
Run_number: 4066 | Aphy: -3.11022 | errAphy: 1.73979
Run_number: 4067 | Aphy: -1.46501 | errAphy: 2.23483
Run_number: 4068 | Aphy: -0.351435 | errAphy: 1.08979
Run_number: 4069 | Aphy: -0.827871 | errAphy: 2.40101
Run_number: 4070 | Aphy: 2.39545 | errAphy: 3.94861
Run_number: 4071 | Aphy: -0.895946 | errAphy: 1.44499
Run_number: 4072 | Aphy: -0.290379 | errAphy: 1.39098
Run_number: 4073 | Aphy: -0.0224602 | errAphy: 3.60983
Run_number: 4074 | Aphy: -0.470914 | errAphy: 1.26631
Run_number: 4075 | Aphy: 3.58866 | errAphy: 1.39858
Run_number: 4076 | Aphy: -0.475696 | errAphy: 1.27917
Run_number: 4077 | Aphy: -0.200427 | errAphy: 1.13785
Run_number: 4078 | Aphy: 0.617344 | errAphy: 1.08148
Run_number: 4079 | Aphy: 1.0375 | errAphy: 1.96384
Run_number: 4080 | Aphy: -1.27144 | errAphy: 1.50728
Run_number: 4081 | Aphy: -3.77919 | errAphy: 2.29996
Run_number: 4082 | Aphy: -1.26571 | errAphy: 2.122
Run_number: 4083 | Aphy: -1.32575 | errAphy: 1.76239
Run_number: 4084 | Aphy: -1.56728 | errAphy: 1.33078
Run_number: 4085 | Aphy: -0.540384 | errAphy: 1.36655
Run_number: 4086 | Aphy: 4.35703 | errAphy: 1.84666
Run_number: 4087 | Aphy: -1.24105 | errAphy: 2.08065
Run_number: 4088 | Aphy: -1.47578 | errAphy: 1.83814
Run_number: 4089 | Aphy: 1.16758 | errAphy: 2.03195
Run_number: 4091 | Aphy: 1.39764 | errAphy: 2.19943
Run_number: 4092 | Aphy: 0.762542 | errAphy: 2.33895
Run_number: 4093 | Aphy: -0.0218816 | errAphy: 2.87149
Run_number: 4094 | Aphy: -0.0220851 | errAphy: 3.54955
Run_number: 4095 | Aphy: 5.34212 | errAphy: 1.18273
Run_number: 4096 | Aphy: -0.824495 | errAphy: 2.39122
Run_number: 4097 | Aphy: -1.05944 | errAphy: 1.91989
Run_number: 4098 | Aphy: 1.89059 | errAphy: 1.6091
Run_number: 4099 | Aphy: 1.59677 | errAphy: 1.67473
Run_number: 4100 | Aphy: 2.41525 | errAphy: 1.40759
Run_number: 4101 | Aphy: 1.6001 | errAphy: 1.67823
Run_number: 4102 | Aphy: -0.339307 | errAphy: 1.51716
Run_number: 4103 | Aphy: 5.01275 | errAphy: 1.45566
Run_number: 4104 | Aphy: -1.75428 | errAphy: 1.54145
Run_number: 4105 | Aphy: -0.683775 | errAphy: 1.54411
Run_number: 4106 | Aphy: -2.44915 | errAphy: 2.28774
Run_number: 4107 | Aphy: -2.60933 | errAphy: 2.11081
Run_number: 4114 | Aphy: 1.91125 | errAphy: 1.53002
Run_number: 4115 | Aphy: -0.539181 | errAphy: 1.99069
Run_number: 4116 | Aphy: -3.88511 | errAphy: 2.36442
Run_number: 4117 | Aphy: -0.930318 | errAphy: 1.31205
Run_number: 4118 | Aphy: 1.75067 | errAphy: 2.07523
Run_number: 4119 | Aphy: 0.282992 | errAphy: 1.53306
Run_number: 4120 | Aphy: 0.826171 | errAphy: 1.26706
Run_number: 4121 | Aphy: 2.72327 | errAphy: 1.42379
Run_number: 4122 | Aphy: -3.73221 | errAphy: 3.2122
Run_number: 4155 | Aphy: -0.0230118 | errAphy: 3.69848
Run_number: 4156 | Aphy: -1.85659 | errAphy: 2.511
Run_number: 4159 | Aphy: -1.4782 | errAphy: 3.18897
Run_number: 4160 | Aphy: 3.61233 | errAphy: 3.14796
Run_number: 4164 | Aphy: -1.85404 | errAphy: 2.50755
Run_number: 4165 | Aphy: -1.87495 | errAphy: 2.53584
Run_number: 4167 | Aphy: 2.4683 | errAphy: 2.34906
Run_number: 4168 | Aphy: 2.1277 | errAphy: 1.92831
Run_number: 4169 | Aphy: 1.05252 | errAphy: 2.81749
Run_number: 4170 | Aphy: 0.813764 | errAphy: 2.49606
Run_number: 4171 | Aphy: -2.53604 | errAphy: 2.05152
Run_number: 4172 | Aphy: 3.4039 | errAphy: 2.02501
Run_number: 4173 | Aphy: -0.966395 | errAphy: 1.87106
Run_number: 4174 | Aphy: -0.0234684 | errAphy: 5.33423
Run_number: 4175 | Aphy: -0.861694 | errAphy: 2.4991
Run_number: 4176 | Aphy: 0.47949 | errAphy: 1.94362
Run_number: 4178 | Aphy: -0.0234715 | errAphy: 3.77236
Run_number: 4179 | Aphy: -0.966605 | errAphy: 1.87147
Run_number: 4180 | Aphy: 1.05444 | errAphy: 1.99591
Run_number: 4181 | Aphy: -1.53261 | errAphy: 1.90892
Run_number: 4182 | Aphy: -2.17947 | errAphy: 1.93268
Run_number: 4186 | Aphy: -7.57003 | errAphy: 0
Run_number: 4187 | Aphy: 1.86323 | errAphy: 2.58349
Run_number: 4188 | Aphy: -0.0234999 | errAphy: 2.67069
Run_number: 4190 | Aphy: -4.74891 | errAphy: 2.8171
Run_number: 4192 | Aphy: 3.79272 | errAphy: 3.30516
Run_number: 4194 | Aphy: -0.0233733 | errAphy: 1.41986
Run_number: 4195 | Aphy: -0.699801 | errAphy: 1.58031
Run_number: 4196 | Aphy: 1.66943 | errAphy: 1.39932
Run_number: 4197 | Aphy: -1.73089 | errAphy: 1.41224
Run_number: 4198 | Aphy: -1.31092 | errAphy: 0.884418
Run_number: 4199 | Aphy: 0.774248 | errAphy: 1.2227
Run_number: 4200 | Aphy: 0.876784 | errAphy: 1.48936
Run_number: 4201 | Aphy: -1.22028 | errAphy: 1.31568
Run_number: 4202 | Aphy: 7.36004 | errAphy: 0
Run_number: 4203 | Aphy: 2.82096 | errAphy: 1.09296
Run_number: 4204 | Aphy: 1.62252 | errAphy: 1.70174
Run_number: 4214 | Aphy: -1.50534 | errAphy: 1.32579
Run_number: 4215 | Aphy: -0.0230594 | errAphy: 3.70613
Run_number: 4216 | Aphy: -1.08214 | errAphy: 2.77333
Run_number: 4217 | Aphy: -0.0230705 | errAphy: 3.70792
Run_number: 4218 | Aphy: -7.43956 | errAphy: 0
Run_number: 4219 | Aphy: -0.0233357 | errAphy: 1.87527
Run_number: 4220 | Aphy: -1.79849 | errAphy: 1.93997
Run_number: 4223 | Aphy: 2.59927 | errAphy: 1.80238
Run_number: 4224 | Aphy: -0.696166 | errAphy: 1.70083
Run_number: 4230 | Aphy: 4.246 | errAphy: 3.70017
Run_number: 4231 | Aphy: -0.876179 | errAphy: 1.1606
Run_number: 4233 | Aphy: 1.23151 | errAphy: 1.38002
Run_number: 4234 | Aphy: 0.337625 | errAphy: 1.65346
Run_number: 4236 | Aphy: -0.463786 | errAphy: 1.81304
Run_number: 4251 | Aphy: 0.0928513 | errAphy: 0.938225
Run_number: 4252 | Aphy: -0.439114 | errAphy: 1.02542
Run_number: 4253 | Aphy: 0.378731 | errAphy: 1.23894
Run_number: 4254 | Aphy: 0.0934285 | errAphy: 0.944057
Run_number: 4256 | Aphy: -1.1441 | errAphy: 0.961718
Run_number: 4257 | Aphy: -0.17932 | errAphy: 1.08898
Run_number: 4258 | Aphy: -2.5823 | errAphy: 1.39263
Run_number: 4260 | Aphy: 5.10889 | errAphy: 2.34281
