Run_number: 2033 | pol_He3: -1
Run_number: 2035 | pol_He3: -1
Run_number: 2042 | pol_He3: -1
Run_number: 2046 | pol_He3: -1
Run_number: 2131 | pol_He3: 36.1754
Run_number: 2141 | pol_He3: 36.3336
Run_number: 2143 | pol_He3: 36.1894
Run_number: 2146 | pol_He3: 36.2704
Run_number: 2164 | pol_He3: 31.1964
Run_number: 2165 | pol_He3: 31.4811
Run_number: 2168 | pol_He3: 32.1592
Run_number: 2169 | pol_He3: 32.2066
Run_number: 2170 | pol_He3: 32.7355
Run_number: 2171 | pol_He3: 33.0474
Run_number: 2172 | pol_He3: 34.0441
Run_number: 2173 | pol_He3: 34.6069
Run_number: 2174 | pol_He3: 35.0612
Run_number: 2175 | pol_He3: 35.5358
Run_number: 2176 | pol_He3: 41.4233
Run_number: 2199 | pol_He3: 41.2643
Run_number: 2200 | pol_He3: 41.0981
Run_number: 2201 | pol_He3: 40.9765
Run_number: 2203 | pol_He3: 40.4508
Run_number: 2204 | pol_He3: 39.9251
Run_number: 2206 | pol_He3: 39.3077
Run_number: 2208 | pol_He3: 39.659
Run_number: 2209 | pol_He3: 40.0382
Run_number: 2210 | pol_He3: 40.6075
Run_number: 2211 | pol_He3: 40.6866
Run_number: 2212 | pol_He3: 41.2658
Run_number: 2213 | pol_He3: 40.5898
Run_number: 2214 | pol_He3: 39.8649
Run_number: 2215 | pol_He3: 39.5086
Run_number: 2216 | pol_He3: 38.4398
Run_number: 2217 | pol_He3: 37.5926
Run_number: 2218 | pol_He3: 37.541
Run_number: 2219 | pol_He3: 37.7779
Run_number: 2220 | pol_He3: 39.7852
Run_number: 2221 | pol_He3: 40.8446
Run_number: 2222 | pol_He3: 41.8907
Run_number: 2223 | pol_He3: 42.8446
Run_number: 2224 | pol_He3: 43.8616
Run_number: 2225 | pol_He3: 43.2936
Run_number: 2226 | pol_He3: 42.6862
Run_number: 2227 | pol_He3: 42.0394
Run_number: 2228 | pol_He3: 41.2081
Run_number: 2229 | pol_He3: 43.1097
Run_number: 2230 | pol_He3: 44.3312
Run_number: 2231 | pol_He3: 43.9371
Run_number: 2232 | pol_He3: 43.3782
Run_number: 2233 | pol_He3: 40.5938
Run_number: 2234 | pol_He3: 37.6761
Run_number: 2235 | pol_He3: 39.1216
Run_number: 2236 | pol_He3: 41.2438
Run_number: 2237 | pol_He3: 38.4588
Run_number: 2238 | pol_He3: 35.8529
Run_number: 2239 | pol_He3: 36.5771
Run_number: 2240 | pol_He3: 37.299
Run_number: 2241 | pol_He3: 38.7765
Run_number: 2242 | pol_He3: 40.2541
Run_number: 2243 | pol_He3: 41.4022
Run_number: 2244 | pol_He3: 41.8314
Run_number: 2245 | pol_He3: 42.2606
Run_number: 2246 | pol_He3: 42.5625
Run_number: 2247 | pol_He3: 40.9805
Run_number: 2248 | pol_He3: 38.0032
Run_number: 2250 | pol_He3: 37.0493
Run_number: 2251 | pol_He3: 36.8307
Run_number: 2252 | pol_He3: 35.3799
Run_number: 2253 | pol_He3: 37.8216
Run_number: 2254 | pol_He3: 39.9546
Run_number: 2255 | pol_He3: 42.1467
Run_number: 2256 | pol_He3: 41.4725
Run_number: 2257 | pol_He3: 39.0447
Run_number: 2258 | pol_He3: 39.6908
Run_number: 2259 | pol_He3: 40.3067
Run_number: 2260 | pol_He3: 45.5495
Run_number: 2275 | pol_He3: 44.7388
Run_number: 2276 | pol_He3: 22.3324
Run_number: 2302 | pol_He3: 26.2109
Run_number: 2303 | pol_He3: 28.8274
Run_number: 2304 | pol_He3: 33.3858
Run_number: 2305 | pol_He3: 25.9977
Run_number: 2306 | pol_He3: 23.9777
Run_number: 2307 | pol_He3: 27.7632
Run_number: 2309 | pol_He3: 29.8347
Run_number: 2310 | pol_He3: 27.975
Run_number: 2313 | pol_He3: 29.6555
Run_number: 2314 | pol_He3: 31.2142
Run_number: 2316 | pol_He3: 33.6704
Run_number: 2318 | pol_He3: 34.1595
Run_number: 2319 | pol_He3: 34.872
Run_number: 2320 | pol_He3: 35.2182
Run_number: 2321 | pol_He3: 35.7335
Run_number: 2322 | pol_He3: 36.2004
