cointime_bin_low_edge, Asymmetry, Error
0,0,0
0,0,0
0,0,0
0,-100,0
0,-100,0
0,0,0
0,-100,0
0,6.66667,25.7624
0,1.20482,10.9756
0,-0.452489,6.72666
0,-2.45614,5.9217
0,-1.40845,4.48517
0,4.15184,3.44121
0,7.57576,3.2803
0,4.73637,2.98605
0,-0.441306,2.97085
0,0.744417,2.87591
0,1.81488,3.01188
0,-3.65854,2.94943
0,1.17096,2.7938
0,-1.68712,2.76885
0,0.0800641,2.82956
0,2.14592,2.92912
0,0.333333,2.88674
0,-0.45045,1.79372
0,3.80694,0.323966
0,3.12558,0.683699
0,-1.91865,1.95854
0,-6.40327,2.60462
0,0.708104,2.80489
0,-0.165563,2.87717
0,5.33446,2.90574
0,3.9929,2.9764
0,0.177305,2.97745
0,3.26797,3.05403
0,1.70778,3.07976
0,1.27576,3.1324
0,1.09409,3.30751
0,0,3.31497
0,2.36025,3.52356
0,3.64742,3.89581
0,5.33049,4.61101
0,-2.52708,6.0065
0,6.45161,7.31708
0,-10.1266,7.91468
0,-4.82759,8.29487
0,1.0101,10.0499
0,4,11.5378
0,-18.6441,12.7906
0,-29.0323,17.1869
0,21.7391,20.3528
