Run_number: 2033 | Aexp: -0.155556 | errAexp: 0.147257 | pol_He3: -1 | pol_beam: 84.089
Run_number: 2035 | Aexp: 0.0681818 | errAexp: 0.106352 | pol_He3: -1 | pol_beam: 84.089
Run_number: 2042 | Aexp: -0.0218069 | errAexp: 0.0394575 | pol_He3: -1 | pol_beam: 84.089
Run_number: 2046 | Aexp: 0.023622 | errAexp: 0.0887109 | pol_He3: 35.8811 | pol_beam: 84.089
Run_number: 2131 | Aexp: 0.111111 | errAexp: 0.110423 | pol_He3: 36.5397 | pol_beam: 84.089
Run_number: 2141 | Aexp: 0.0810811 | errAexp: 0.0619324 | pol_He3: 36.3336 | pol_beam: 84.089
Run_number: 2143 | Aexp: 0.0175439 | errAexp: 0.0936442 | pol_He3: 35.9566 | pol_beam: 84.089
Run_number: 2146 | Aexp: 0.0608108 | errAexp: 0.0580163 | pol_He3: 30.6607 | pol_beam: 84.089
Run_number: 2164 | Aexp: 0.0196759 | errAexp: 0.0240516 | pol_He3: 31.1964 | pol_beam: 84.089
Run_number: 2165 | Aexp: 0.0427046 | errAexp: 0.042144 | pol_He3: 31.4811 | pol_beam: 84.089
Run_number: 2168 | Aexp: 0.0742972 | errAexp: 0.0223436 | pol_He3: 32.1592 | pol_beam: 84.089
Run_number: 2169 | Aexp: 0 | errAexp: 0.213201 | pol_He3: 32.2066 | pol_beam: 84.089
Run_number: 2170 | Aexp: 0.0613236 | errAexp: 0.0245943 | pol_He3: 32.7355 | pol_beam: 84.089
Run_number: 2171 | Aexp: 0.0457831 | errAexp: 0.0490366 | pol_He3: 33.0474 | pol_beam: 84.089
Run_number: 2172 | Aexp: 0.0193826 | errAexp: 0.0267882 | pol_He3: 34.0441 | pol_beam: 84.089
Run_number: 2173 | Aexp: 0.00773196 | errAexp: 0.0358968 | pol_He3: 34.6069 | pol_beam: 84.089
Run_number: 2174 | Aexp: 0.0981535 | errAexp: 0.0310235 | pol_He3: 35.0612 | pol_beam: 84.089
Run_number: 2175 | Aexp: 0.0298147 | errAexp: 0.028374 | pol_He3: 35.5358 | pol_beam: 84.089
Run_number: 2176 | Aexp: 0.0463215 | errAexp: 0.0521435 | pol_He3: 41.4233 | pol_beam: 84.089
Run_number: 2199 | Aexp: 0.0452489 | errAexp: 0.0335992 | pol_He3: 41.2643 | pol_beam: 84.089
Run_number: 2200 | Aexp: 0.0110865 | errAexp: 0.0271847 | pol_He3: 41.0981 | pol_beam: 84.089
Run_number: 2201 | Aexp: -0.0338164 | errAexp: 0.0491192 | pol_He3: 40.9765 | pol_beam: 84.089
Run_number: 2203 | Aexp: 0.00897959 | errAexp: 0.0285703 | pol_He3: 40.4508 | pol_beam: 84.089
Run_number: 2204 | Aexp: 0.0109705 | errAexp: 0.0290479 | pol_He3: 39.9251 | pol_beam: 84.089
Run_number: 2206 | Aexp: 0.0764526 | errAexp: 0.0318341 | pol_He3: 39.3077 | pol_beam: 84.089
Run_number: 2208 | Aexp: 0.0630252 | errAexp: 0.0457438 | pol_He3: 39.659 | pol_beam: 84.089
Run_number: 2209 | Aexp: 0.0314233 | errAexp: 0.0303859 | pol_He3: 40.0382 | pol_beam: 84.089
Run_number: 2210 | Aexp: 0.0409189 | errAexp: 0.0267708 | pol_He3: 40.6075 | pol_beam: 84.089
Run_number: 2211 | Aexp: -0.0588235 | errAexp: 0.121058 | pol_He3: 40.6866 | pol_beam: 84.089
Run_number: 2212 | Aexp: 0.0373984 | errAexp: 0.0232647 | pol_He3: 41.2658 | pol_beam: 84.089
Run_number: 2213 | Aexp: 0.0525568 | errAexp: 0.0266133 | pol_He3: 40.5898 | pol_beam: 84.089
Run_number: 2214 | Aexp: 0.0506512 | errAexp: 0.0268651 | pol_He3: 39.8649 | pol_beam: 84.089
Run_number: 2215 | Aexp: 0.0507881 | errAexp: 0.0417947 | pol_He3: 39.5086 | pol_beam: 84.089
Run_number: 2216 | Aexp: 0.0341932 | errAexp: 0.0244781 | pol_He3: 38.4268 | pol_beam: 84.089
Run_number: 2217 | Aexp: 0.00832799 | errAexp: 0.0253095 | pol_He3: 37.5926 | pol_beam: 84.089
Run_number: 2218 | Aexp: -0.160494 | errAexp: 0.109671 | pol_He3: 37.541 | pol_beam: 84.089
Run_number: 2219 | Aexp: 0.0677703 | errAexp: 0.0226926 | pol_He3: 37.7779 | pol_beam: 84.089
Run_number: 2220 | Aexp: 0.153061 | errAexp: 0.0407534 | pol_He3: 39.7852 | pol_beam: 84.089
Run_number: 2221 | Aexp: 0.0574351 | errAexp: 0.0280033 | pol_He3: 40.8446 | pol_beam: 84.089
Run_number: 2222 | Aexp: 0.00583942 | errAexp: 0.0270167 | pol_He3: 41.8907 | pol_beam: 84.089
Run_number: 2223 | Aexp: 0.0914341 | errAexp: 0.0308936 | pol_He3: 42.8446 | pol_beam: 84.089
Run_number: 2224 | Aexp: 0.0443081 | errAexp: 0.026083 | pol_He3: 43.8616 | pol_beam: 84.089
Run_number: 2225 | Aexp: 0.0677507 | errAexp: 0.0367259 | pol_He3: 43.2936 | pol_beam: 84.089
Run_number: 2226 | Aexp: 0.0372881 | errAexp: 0.0290909 | pol_He3: 42.6862 | pol_beam: 84.089
Run_number: 2227 | Aexp: -0.0545455 | errAexp: 0.0952043 | pol_He3: 42.0394 | pol_beam: 84.089
Run_number: 2228 | Aexp: 0.045475 | errAexp: 0.0211971 | pol_He3: 41.2081 | pol_beam: 84.089
Run_number: 2229 | Aexp: 0.0332068 | errAexp: 0.0217683 | pol_He3: 43.1097 | pol_beam: 84.089
Run_number: 2230 | Aexp: -0.00537634 | errAexp: 0.0299338 | pol_He3: 44.3312 | pol_beam: 84.089
Run_number: 2231 | Aexp: 0.0666667 | errAexp: 0.0284499 | pol_He3: 43.9371 | pol_beam: 84.089
Run_number: 2232 | Aexp: 0.0247191 | errAexp: 0.0273607 | pol_He3: 43.3782 | pol_beam: 84.089
Run_number: 2233 | Aexp: 0.0433361 | errAexp: 0.0285679 | pol_He3: 40.5938 | pol_beam: 84.089
Run_number: 2234 | Aexp: 0.0647059 | errAexp: 0.0270595 | pol_He3: 37.6761 | pol_beam: 84.089
Run_number: 2235 | Aexp: 0.04 | errAexp: 0.0407922 | pol_He3: 39.1216 | pol_beam: 84.089
Run_number: 2236 | Aexp: 0.0567164 | errAexp: 0.0272739 | pol_He3: 41.2438 | pol_beam: 84.089
