Run_number: 2033 | Ap_exp: 0.025974 | errAexp: 0.0805551
Run_number: 2035 | Ap_exp: -0.04 | errAexp: 0.0554256
Run_number: 2042 | Ap_exp: 0.00714286 | errAexp: 0.0188977
Run_number: 2046 | Ap_exp: -0.0622568 | errAexp: 0.0440225
Run_number: 2131 | Ap_exp: -0.0538244 | errAexp: 0.0531475
Run_number: 2141 | Ap_exp: 0.0229133 | errAexp: 0.028599
Run_number: 2143 | Ap_exp: 0.0492505 | errAexp: 0.0462183
Run_number: 2146 | Ap_exp: 0.0237239 | errAexp: 0.0268049
Run_number: 2164 | Ap_exp: -0.00308729 | errAexp: 0.0118461
Run_number: 2165 | Ap_exp: 0.0128514 | errAexp: 0.0200385
Run_number: 2168 | Ap_exp: -0.00204221 | errAexp: 0.0106515
Run_number: 2169 | Ap_exp: 0.0927835 | errAexp: 0.101097
Run_number: 2170 | Ap_exp: 0.00726979 | errAexp: 0.0116025
Run_number: 2171 | Ap_exp: 0.00440529 | errAexp: 0.0234659
Run_number: 2172 | Ap_exp: -0.000804246 | errAexp: 0.0126826
Run_number: 2173 | Ap_exp: 0.00101266 | errAexp: 0.0159111
Run_number: 2174 | Ap_exp: 0.0265527 | errAexp: 0.0149955
Run_number: 2175 | Ap_exp: 0.0099551 | errAexp: 0.0139706
Run_number: 2176 | Ap_exp: 0.0123312 | errAexp: 0.0242303
Run_number: 2199 | Ap_exp: -0.0113695 | errAexp: 0.0160737
Run_number: 2200 | Ap_exp: 0.00666433 | errAexp: 0.0132427
Run_number: 2201 | Ap_exp: -0.00291545 | errAexp: 0.0241472
Run_number: 2203 | Ap_exp: 0.00665623 | errAexp: 0.0139915
Run_number: 2204 | Ap_exp: 0.0105022 | errAexp: 0.0138177
Run_number: 2206 | Ap_exp: 0.000453515 | errAexp: 0.0150585
Run_number: 2208 | Ap_exp: -0.0187008 | errAexp: 0.02218
Run_number: 2209 | Ap_exp: -0.0205761 | errAexp: 0.0143413
Run_number: 2210 | Ap_exp: -0.00434637 | errAexp: 0.0129292
Run_number: 2211 | Ap_exp: -0.0151515 | errAexp: 0.0615387
Run_number: 2212 | Ap_exp: 0.00426921 | errAexp: 0.0112055
