Run_number: 2131 | Aphy: 0.464316 | errAphy: 0.312324
Run_number: 2141 | Aphy: 0.210892 | errAphy: 0.172756
Run_number: 2143 | Aphy: -0.154588 | errAphy: 0.274662
Run_number: 2146 | Aphy: 0.25805 | errAphy: 0.160542
Run_number: 2164 | Aphy: 0.139895 | errAphy: 0.0780823
Run_number: 2165 | Aphy: 0.203125 | errAphy: 0.136156
Run_number: 2168 | Aphy: 0.151613 | errAphy: 0.0702964
Run_number: 2169 | Aphy: -0.116555 | errAphy: 0.669251
Run_number: 2170 | Aphy: 0.151609 | errAphy: 0.075683
Run_number: 2171 | Aphy: 0.0705039 | errAphy: 0.148377
Run_number: 2172 | Aphy: 0.135288 | errAphy: 0.0799018
Run_number: 2173 | Aphy: 0.0210384 | errAphy: 0.10372
Run_number: 2174 | Aphy: 0.251726 | errAphy: 0.0888857
Run_number: 2175 | Aphy: 0.120458 | errAphy: 0.0797164
Run_number: 2176 | Aphy: 0.0906213 | errAphy: 0.130085
Run_number: 2199 | Aphy: 0.113886 | errAphy: 0.0826312
Run_number: 2200 | Aphy: 0.0207653 | errAphy: 0.0693859
Run_number: 2201 | Aphy: -0.0718474 | errAphy: 0.129222
Run_number: 2203 | Aphy: 0.0391703 | errAphy: 0.0738352
Run_number: 2204 | Aphy: 0.0875487 | errAphy: 0.0736783
Run_number: 2206 | Aphy: 0.183559 | errAphy: 0.0833426
Run_number: 2208 | Aphy: 0.10076 | errAphy: 0.119545
Run_number: 2209 | Aphy: 0.0767433 | errAphy: 0.0790226
Run_number: 2210 | Aphy: 0.112429 | errAphy: 0.0675781
Run_number: 2211 | Aphy: 0.0961469 | errAphy: 0.31222
Run_number: 2212 | Aphy: 0.17808 | errAphy: 0.0588142
Run_number: 2213 | Aphy: 0.223019 | errAphy: 0.0674065
Run_number: 2214 | Aphy: 0.198874 | errAphy: 0.0693413
Run_number: 2215 | Aphy: 0.223149 | errAphy: 0.108622
Run_number: 2216 | Aphy: 0.092452 | errAphy: 0.0652132
Run_number: 2217 | Aphy: 0.0518819 | errAphy: 0.0698819
Run_number: 2218 | Aphy: -0.126914 | errAphy: 0.32333
Run_number: 2219 | Aphy: 0.171234 | errAphy: 0.0617191
Run_number: 2220 | Aphy: 0.306978 | errAphy: 0.106152
Run_number: 2221 | Aphy: 0.204445 | errAphy: 0.0714222
Run_number: 2222 | Aphy: 0.00738179 | errAphy: 0.0660741
Run_number: 2223 | Aphy: 0.185578 | errAphy: 0.0730993
Run_number: 2224 | Aphy: 0.0958063 | errAphy: 0.061698
Run_number: 2225 | Aphy: 0.155506 | errAphy: 0.0859883
Run_number: 2226 | Aphy: 0.0993612 | errAphy: 0.0704677
Run_number: 2227 | Aphy: -0.218273 | errAphy: 0.230877
Run_number: 2228 | Aphy: 0.12172 | errAphy: 0.0526069
Run_number: 2229 | Aphy: 0.136114 | errAphy: 0.0520582
Run_number: 2230 | Aphy: 0.0408927 | errAphy: 0.0689941
Run_number: 2231 | Aphy: 0.117934 | errAphy: 0.0665254
Run_number: 2232 | Aphy: 0.101936 | errAphy: 0.0658733
Run_number: 2233 | Aphy: 0.148568 | errAphy: 0.072103
Run_number: 2234 | Aphy: 0.148354 | errAphy: 0.0752349
Run_number: 2235 | Aphy: 0.190924 | errAphy: 0.106607
