Run_number: 2033 | Aexp: -0.0786517 | errAexp: 0.105671 | pol_He3: -1 | pol_beam: 84.089
Run_number: 2035 | Aexp: 0.0381679 | errAexp: 0.0873067 | pol_He3: -1 | pol_beam: 84.089
Run_number: 2042 | Aexp: -0.0209205 | errAexp: 0.0323352 | pol_He3: -1 | pol_beam: 84.089
Run_number: 2046 | Aexp: -0.0212766 | errAexp: 0.072916 | pol_He3: -1 | pol_beam: 84.089
Run_number: 2131 | Aexp: 0.135593 | errAexp: 0.0912073 | pol_He3: 36.1754 | pol_beam: 84.089
Run_number: 2141 | Aexp: 0.0618557 | errAexp: 0.0506701 | pol_He3: 36.3336 | pol_beam: 84.089
Run_number: 2143 | Aexp: -0.0451613 | errAexp: 0.08024 | pol_He3: 36.1894 | pol_beam: 84.089
Run_number: 2146 | Aexp: 0.0755556 | errAexp: 0.0470057 | pol_He3: 36.2704 | pol_beam: 84.089
Run_number: 2164 | Aexp: 0.0352304 | errAexp: 0.0196638 | pol_He3: 31.1964 | pol_beam: 84.089
Run_number: 2165 | Aexp: 0.0516206 | errAexp: 0.0346018 | pol_He3: 31.4811 | pol_beam: 84.089
Run_number: 2168 | Aexp: 0.0393596 | errAexp: 0.0182494 | pol_He3: 32.1592 | pol_beam: 84.089
Run_number: 2169 | Aexp: -0.030303 | errAexp: 0.173998 | pol_He3: 32.2066 | pol_beam: 84.089
Run_number: 2170 | Aexp: 0.0400641 | errAexp: 0.0199999 | pol_He3: 32.7355 | pol_beam: 84.089
Run_number: 2171 | Aexp: 0.0188088 | errAexp: 0.0395834 | pol_He3: 33.0474 | pol_beam: 84.089
Run_number: 2172 | Aexp: 0.0371801 | errAexp: 0.0219588 | pol_He3: 34.0441 | pol_beam: 84.089
Run_number: 2173 | Aexp: 0.00587741 | errAexp: 0.0289759 | pol_He3: 34.6069 | pol_beam: 84.089
Run_number: 2174 | Aexp: 0.0712468 | errAexp: 0.0251576 | pol_He3: 35.0612 | pol_beam: 84.089
Run_number: 2175 | Aexp: 0.034555 | errAexp: 0.0228678 | pol_He3: 35.5358 | pol_beam: 84.089
Run_number: 2176 | Aexp: 0.030303 | errAexp: 0.0434994 | pol_He3: 41.4233 | pol_beam: 84.089
Run_number: 2199 | Aexp: 0.0379363 | errAexp: 0.0275251 | pol_He3: 41.2643 | pol_beam: 84.089
Run_number: 2200 | Aexp: 0.00688924 | errAexp: 0.0230199 | pol_He3: 41.0981 | pol_beam: 84.089
