Run_number: 2033 | Aexp: -0.121951 | errAexp: 0.155008 | pol_He3: -1 | pol_beam: 84.089
Run_number: 2035 | Aexp: 0 | errAexp: 0.107833 | pol_He3: -1 | pol_beam: 84.089
Run_number: 2042 | Aexp: -0.014218 | errAexp: 0.0397424 | pol_He3: -1 | pol_beam: 84.089
Run_number: 2046 | Aexp: -0.023622 | errAexp: 0.0887109 | pol_He3: 35.8811 | pol_beam: 84.089
Run_number: 2131 | Aexp: 0.1 | errAexp: 0.111243 | pol_He3: 36.5397 | pol_beam: 84.089
Run_number: 2141 | Aexp: 0.0465116 | errAexp: 0.0621899 | pol_He3: 36.3336 | pol_beam: 84.089
Run_number: 2143 | Aexp: -0.00854701 | errAexp: 0.0924467 | pol_He3: 35.9566 | pol_beam: 84.089
Run_number: 2146 | Aexp: 0.111888 | errAexp: 0.0587599 | pol_He3: 30.6607 | pol_beam: 84.089
Run_number: 2164 | Aexp: 0.0382831 | errAexp: 0.0240665 | pol_He3: 31.1964 | pol_beam: 84.089
Run_number: 2165 | Aexp: 0.040146 | errAexp: 0.0426834 | pol_He3: 31.4811 | pol_beam: 84.089
Run_number: 2168 | Aexp: 0.0837538 | errAexp: 0.0223831 | pol_He3: 32.1592 | pol_beam: 84.089
Run_number: 2169 | Aexp: 0.0434783 | errAexp: 0.208317 | pol_He3: 32.2066 | pol_beam: 84.089
Run_number: 2170 | Aexp: 0.0679731 | errAexp: 0.0246889 | pol_He3: 32.7355 | pol_beam: 84.089
Run_number: 2171 | Aexp: 0.0462287 | errAexp: 0.0492736 | pol_He3: 33.0474 | pol_beam: 84.089
Run_number: 2172 | Aexp: 0.0319767 | errAexp: 0.0269444 | pol_He3: 34.0441 | pol_beam: 84.089
Run_number: 2173 | Aexp: 0.00255754 | errAexp: 0.0357598 | pol_He3: 34.6069 | pol_beam: 84.089
Run_number: 2174 | Aexp: 0.125245 | errAexp: 0.0310343 | pol_He3: 35.0612 | pol_beam: 84.089
Run_number: 2175 | Aexp: 0.0140612 | errAexp: 0.028757 | pol_He3: 35.5358 | pol_beam: 84.089
Run_number: 2176 | Aexp: 0.0160428 | errAexp: 0.0517021 | pol_He3: 41.4233 | pol_beam: 84.089
