Run_number: 2033 | Ap_exp: 0.0135135 | errAexp: 0.082192
Run_number: 2035 | Ap_exp: -0.0124224 | errAexp: 0.0557235
Run_number: 2042 | Ap_exp: -0.00292612 | errAexp: 0.0191249
Run_number: 2046 | Ap_exp: -0.0912698 | errAexp: 0.0443576
Run_number: 2131 | Ap_exp: -0.0317003 | errAexp: 0.0536558
Run_number: 2141 | Ap_exp: 0.0173697 | errAexp: 0.0287555
Run_number: 2143 | Ap_exp: 0.0570175 | errAexp: 0.0467531
Run_number: 2146 | Ap_exp: 0.028065 | errAexp: 0.0271656
Run_number: 2164 | Ap_exp: -0.0150911 | errAexp: 0.0119305
Run_number: 2165 | Ap_exp: 0.0152452 | errAexp: 0.0202962
Run_number: 2168 | Ap_exp: 0.00148656 | errAexp: 0.0106935
Run_number: 2169 | Ap_exp: 0.0833333 | errAexp: 0.101707
Run_number: 2170 | Ap_exp: 0.00477164 | errAexp: 0.011676
Run_number: 2171 | Ap_exp: 0.0116861 | errAexp: 0.0235883
Run_number: 2172 | Ap_exp: -0.00690562 | errAexp: 0.0128223
Run_number: 2173 | Ap_exp: -0.00899512 | errAexp: 0.0160307
Run_number: 2174 | Ap_exp: 0.0224745 | errAexp: 0.0150632
Run_number: 2175 | Ap_exp: 0.0206869 | errAexp: 0.0141689
Run_number: 2176 | Ap_exp: -0.00179319 | errAexp: 0.0244485
Run_number: 2199 | Ap_exp: 0 | errAexp: 0.0161543
Run_number: 2200 | Ap_exp: 0.00355366 | errAexp: 0.0133297
Run_number: 2201 | Ap_exp: 0.0135854 | errAexp: 0.0243014
Run_number: 2203 | Ap_exp: 0.0105852 | errAexp: 0.0141315
Run_number: 2204 | Ap_exp: 0.0101943 | errAexp: 0.0138681
Run_number: 2206 | Ap_exp: 0.0034634 | errAexp: 0.0151951
Run_number: 2208 | Ap_exp: -0.0245339 | errAexp: 0.0221446
Run_number: 2209 | Ap_exp: -0.0231684 | errAexp: 0.0144434
Run_number: 2210 | Ap_exp: -0.000502765 | errAexp: 0.0129456
Run_number: 2211 | Ap_exp: -0.0498084 | errAexp: 0.0618216
Run_number: 2212 | Ap_exp: 0.00025355 | errAexp: 0.0112594
Run_number: 2213 | Ap_exp: -0.00818987 | errAexp: 0.0129278
Run_number: 2214 | Ap_exp: -0.020132 | errAexp: 0.0130041
Run_number: 2215 | Ap_exp: -0.023126 | errAexp: 0.0199627
Run_number: 2216 | Ap_exp: 0.00214255 | errAexp: 0.0119514
Run_number: 2217 | Ap_exp: 0.0236149 | errAexp: 0.0123001
Run_number: 2218 | Ap_exp: -0.0405405 | errAexp: 0.058076
Run_number: 2219 | Ap_exp: 0.00669507 | errAexp: 0.0110328
Run_number: 2220 | Ap_exp: -0.00309837 | errAexp: 0.0196798
Run_number: 2221 | Ap_exp: 0.00934579 | errAexp: 0.0135364
Run_number: 2222 | Ap_exp: 0.00827301 | errAexp: 0.0131279
Run_number: 2223 | Ap_exp: -0.00063762 | errAexp: 0.0145787
Run_number: 2224 | Ap_exp: 0 | errAexp: 0.0127869
Run_number: 2225 | Ap_exp: 0.024934 | errAexp: 0.0171219
Run_number: 2226 | Ap_exp: -0.00930233 | errAexp: 0.0139205
Run_number: 2227 | Ap_exp: -0.0395257 | errAexp: 0.0444207
Run_number: 2228 | Ap_exp: 0.0048087 | errAexp: 0.0102242
Run_number: 2229 | Ap_exp: 0.00336927 | errAexp: 0.0105975
Run_number: 2230 | Ap_exp: -0.00304692 | errAexp: 0.0142522
Run_number: 2231 | Ap_exp: -0.000759301 | errAexp: 0.0137777
Run_number: 2232 | Ap_exp: 0.000523286 | errAexp: 0.0132071
Run_number: 2233 | Ap_exp: -0.00112486 | errAexp: 0.0136922
Run_number: 2234 | Ap_exp: 0.00894775 | errAexp: 0.0133769
Run_number: 2235 | Ap_exp: 0.021536 | errAexp: 0.0201532
Run_number: 2236 | Ap_exp: -0.0116831 | errAexp: 0.0135101
Run_number: 2237 | Ap_exp: -0.00168871 | errAexp: 0.0118628
Run_number: 2238 | Ap_exp: -0.0211891 | errAexp: 0.0143397
Run_number: 2239 | Ap_exp: 0.00620493 | errAexp: 0.0129497
Run_number: 2240 | Ap_exp: -0.0115001 | errAexp: 0.0159851
Run_number: 2241 | Ap_exp: 0.0073922 | errAexp: 0.0143293
Run_number: 2242 | Ap_exp: 0.00850446 | errAexp: 0.0144018
Run_number: 2243 | Ap_exp: 0.000687285 | errAexp: 0.0262161
Run_number: 2244 | Ap_exp: -0.00679785 | errAexp: 0.0133747
Run_number: 2245 | Ap_exp: 0.00715072 | errAexp: 0.0165835
Run_number: 2246 | Ap_exp: -0.0211882 | errAexp: 0.0144095
Run_number: 2247 | Ap_exp: 0.0699088 | errAexp: 0.0388887
Run_number: 2248 | Ap_exp: -0.00965759 | errAexp: 0.0209509
Run_number: 2250 | Ap_exp: -0.00362882 | errAexp: 0.0160996
Run_number: 2251 | Ap_exp: -0.014218 | errAexp: 0.0688359
Run_number: 2252 | Ap_exp: 0.00895422 | errAexp: 0.0129975
Run_number: 2253 | Ap_exp: 0.0278453 | errAexp: 0.0136651
Run_number: 2254 | Ap_exp: 0.00798362 | errAexp: 0.0143072
Run_number: 2255 | Ap_exp: 0.0102691 | errAexp: 0.0133055
Run_number: 2256 | Ap_exp: -0.00695741 | errAexp: 0.0130263
Run_number: 2257 | Ap_exp: 0.0131716 | errAexp: 0.0144581
Run_number: 2258 | Ap_exp: 0.0036452 | errAexp: 0.0131749
Run_number: 2259 | Ap_exp: -0.00473269 | errAexp: 0.0132394
Run_number: 2260 | Ap_exp: 0.0170293 | errAexp: 0.0217463
Run_number: 2275 | Ap_exp: -0.0322581 | errAexp: 0.030343
Run_number: 2276 | Ap_exp: -0.00034188 | errAexp: 0.01849
Run_number: 2302 | Ap_exp: 0.0818713 | errAexp: 0.0538923
Run_number: 2303 | Ap_exp: 0.00494875 | errAexp: 0.0132942
Run_number: 2304 | Ap_exp: -0.00817601 | errAexp: 0.012192
Run_number: 2305 | Ap_exp: -0.00256542 | errAexp: 0.0160169
Run_number: 2306 | Ap_exp: 0.0254433 | errAexp: 0.0277581
