Run_number: 2628 | pol_He3: 43.3397
Run_number: 2630 | pol_He3: 43.7824
Run_number: 2632 | pol_He3: 47.4418
Run_number: 2635 | pol_He3: 46.3966
Run_number: 2637 | pol_He3: 46.0641
Run_number: 2638 | pol_He3: 45.3616
Run_number: 2646 | pol_He3: 45.0396
Run_number: 2647 | pol_He3: 44.7415
Run_number: 2648 | pol_He3: 44.4434
Run_number: 2649 | pol_He3: 44.4138
Run_number: 2650 | pol_He3: 45.1022
Run_number: 2651 | pol_He3: 45.3573
Run_number: 2659 | pol_He3: 45.25
Run_number: 2660 | pol_He3: 45.1176
Run_number: 2661 | pol_He3: 44.7695
Run_number: 2662 | pol_He3: 44.4638
Run_number: 2667 | pol_He3: 44.1845
Run_number: 2668 | pol_He3: 44.3041
Run_number: 2669 | pol_He3: 44.4219
Run_number: 2670 | pol_He3: 44.5321
Run_number: 2671 | pol_He3: 44.3387
Run_number: 2674 | pol_He3: 44.1358
Run_number: 2676 | pol_He3: 44.3184
Run_number: 2677 | pol_He3: 44.4927
Run_number: 2678 | pol_He3: 44.5152
Run_number: 2679 | pol_He3: 44.6662
Run_number: 2680 | pol_He3: 44.7718
Run_number: 2681 | pol_He3: 44.8802
Run_number: 2683 | pol_He3: 44.928
Run_number: 2684 | pol_He3: 44.8985
Run_number: 2685 | pol_He3: 44.8598
Run_number: 2687 | pol_He3: 44.8212
Run_number: 2688 | pol_He3: 44.7505
Run_number: 2689 | pol_He3: 44.6766
Run_number: 2690 | pol_He3: 44.6191
Run_number: 2691 | pol_He3: 44.5631
Run_number: 2692 | pol_He3: 44.5035
Run_number: 2693 | pol_He3: 44.4839
Run_number: 2694 | pol_He3: 44.7427
Run_number: 2695 | pol_He3: 45.0099
Run_number: 2696 | pol_He3: 45.2001
Run_number: 2697 | pol_He3: 45.3996
Run_number: 2698 | pol_He3: 45.5991
Run_number: 2699 | pol_He3: 45.8049
Run_number: 2700 | pol_He3: 45.9927
Run_number: 2701 | pol_He3: 46.1959
Run_number: 2702 | pol_He3: 46.3844
Run_number: 2703 | pol_He3: 46.594
Run_number: 2704 | pol_He3: 46.8035
Run_number: 2705 | pol_He3: 46.9915
Run_number: 2706 | pol_He3: 47.0071
Run_number: 2707 | pol_He3: 47.0245
Run_number: 2709 | pol_He3: 47.0253
Run_number: 2710 | pol_He3: 46.9764
Run_number: 2711 | pol_He3: 46.8213
Run_number: 2712 | pol_He3: 46.6746
Run_number: 2713 | pol_He3: 46.6413
Run_number: 2714 | pol_He3: 46.7013
Run_number: 2715 | pol_He3: 46.7566
Run_number: 2716 | pol_He3: 46.8149
Run_number: 2717 | pol_He3: 46.8182
Run_number: 2718 | pol_He3: 46.8213
Run_number: 2719 | pol_He3: 46.8247
Run_number: 2720 | pol_He3: 46.8322
Run_number: 2721 | pol_He3: 46.8398
Run_number: 2722 | pol_He3: 46.8493
Run_number: 2723 | pol_He3: 46.9031
Run_number: 2724 | pol_He3: 46.9569
Run_number: 2725 | pol_He3: 47.0234
Run_number: 2726 | pol_He3: 47.4277
Run_number: 2727 | pol_He3: 47.8122
Run_number: 2728 | pol_He3: 48.2352
Run_number: 2729 | pol_He3: 48.5054
Run_number: 2730 | pol_He3: 43.3226
Run_number: 2763 | pol_He3: 44.3859
Run_number: 2764 | pol_He3: 45.3124
Run_number: 2765 | pol_He3: 46.2899
Run_number: 2766 | pol_He3: 46.4181
Run_number: 2767 | pol_He3: 46.5525
Run_number: 2768 | pol_He3: 46.2343
Run_number: 2769 | pol_He3: 32.4776
Run_number: 2770 | pol_He3: 36.3603
