Run_number: 2628 | Ap_exp: 1 | errAexp: 0
Run_number: 2630 | Ap_exp: -nan | errAexp: -nan
Run_number: 2632 | Ap_exp: -0.2 | errAexp: 0.438178
Run_number: 2635 | Ap_exp: 0.5 | errAexp: 0.433013
Run_number: 2637 | Ap_exp: -0.368421 | errAexp: 0.213278
Run_number: 2638 | Ap_exp: -0.0588235 | errAexp: 0.242116
Run_number: 2646 | Ap_exp: 0.00729927 | errAexp: 0.0854335
Run_number: 2647 | Ap_exp: 0.215686 | errAexp: 0.0966842
Run_number: 2648 | Ap_exp: 0 | errAexp: 0.316228
Run_number: 2649 | Ap_exp: 0.166667 | errAexp: 0.284638
Run_number: 2650 | Ap_exp: -0.012987 | errAexp: 0.113951
Run_number: 2651 | Ap_exp: 0.0564516 | errAexp: 0.0633988
Run_number: 2659 | Ap_exp: 0.0797546 | errAexp: 0.0780765
Run_number: 2660 | Ap_exp: -0.176471 | errAexp: 0.238729
Run_number: 2661 | Ap_exp: -0.0729167 | errAexp: 0.0719767
Run_number: 2662 | Ap_exp: 0.0769231 | errAexp: 0.112892
Run_number: 2667 | Ap_exp: -0.0643777 | errAexp: 0.0653763
Run_number: 2668 | Ap_exp: -0.0962963 | errAexp: 0.0856663
Run_number: 2669 | Ap_exp: -0.0598291 | errAexp: 0.0652549
Run_number: 2670 | Ap_exp: -0.0204082 | errAexp: 0.0714137
Run_number: 2671 | Ap_exp: 0.0748299 | errAexp: 0.0822474
Run_number: 2674 | Ap_exp: 0.0217391 | errAexp: 0.0737036
Run_number: 2676 | Ap_exp: 0.141026 | errAexp: 0.0792639
Run_number: 2677 | Ap_exp: 0.162162 | errAexp: 0.114709
Run_number: 2678 | Ap_exp: 0.4 | errAexp: 0.289828
Run_number: 2679 | Ap_exp: -0.0653266 | errAexp: 0.0707367
Run_number: 2680 | Ap_exp: 0.0172414 | errAexp: 0.0656435
Run_number: 2681 | Ap_exp: -0.0508475 | errAexp: 0.0750674
Run_number: 2683 | Ap_exp: 0 | errAexp: 0.0898027
Run_number: 2684 | Ap_exp: -0.0246914 | errAexp: 0.0785435
Run_number: 2685 | Ap_exp: -0.294118 | errAexp: 0.163913
Run_number: 2687 | Ap_exp: -0.00502513 | errAexp: 0.0708872
Run_number: 2688 | Ap_exp: -0.0571429 | errAexp: 0.0843773
Run_number: 2689 | Ap_exp: -0.0366972 | errAexp: 0.0676829
Run_number: 2690 | Ap_exp: -0.057971 | errAexp: 0.0849825
Run_number: 2691 | Ap_exp: -0.158974 | errAexp: 0.0707008
Run_number: 2692 | Ap_exp: 0.00421941 | errAexp: 0.0649564
