Run_number: 2613 | pol_beam: 86.488
Run_number: 2614 | pol_beam: 86.488
Run_number: 2615 | pol_beam: 86.488
Run_number: 2616 | pol_beam: 86.488
Run_number: 2617 | pol_beam: 86.488
Run_number: 2618 | pol_beam: 86.488
Run_number: 2619 | pol_beam: 86.488
Run_number: 2620 | pol_beam: 86.488
Run_number: 2621 | pol_beam: 86.488
Run_number: 2622 | pol_beam: 86.488
Run_number: 2623 | pol_beam: 86.488
Run_number: 2624 | pol_beam: 86.488
Run_number: 2625 | pol_beam: 86.488
Run_number: 2626 | pol_beam: 86.488
Run_number: 2627 | pol_beam: 86.488
Run_number: 2628 | pol_beam: 86.488
Run_number: 2629 | pol_beam: 86.488
Run_number: 2630 | pol_beam: 86.488
Run_number: 2631 | pol_beam: 86.488
Run_number: 2632 | pol_beam: 86.488
Run_number: 2633 | pol_beam: 86.488
Run_number: 2634 | pol_beam: 86.488
Run_number: 2635 | pol_beam: 86.488
Run_number: 2637 | pol_beam: 86.488
Run_number: 2638 | pol_beam: 86.488
Run_number: 2646 | pol_beam: 86.488
Run_number: 2647 | pol_beam: 86.488
Run_number: 2648 | pol_beam: 86.488
Run_number: 2649 | pol_beam: 86.488
Run_number: 2650 | pol_beam: 86.488
Run_number: 2651 | pol_beam: 86.488
Run_number: 2659 | pol_beam: 86.488
Run_number: 2660 | pol_beam: 86.488
Run_number: 2661 | pol_beam: 86.488
Run_number: 2662 | pol_beam: 86.488
Run_number: 2667 | pol_beam: 86.488
Run_number: 2668 | pol_beam: 86.488
Run_number: 2669 | pol_beam: 86.488
Run_number: 2670 | pol_beam: 86.488
Run_number: 2671 | pol_beam: 86.488
Run_number: 2674 | pol_beam: 86.488
Run_number: 2676 | pol_beam: 86.488
Run_number: 2677 | pol_beam: 86.488
Run_number: 2678 | pol_beam: 86.488
Run_number: 2679 | pol_beam: 86.488
Run_number: 2680 | pol_beam: 86.488
Run_number: 2681 | pol_beam: 86.488
