Run_number: 2613 | Ap_exp: -0.101449 | errAexp: 0.0846865
Run_number: 2614 | Ap_exp: 0.243243 | errAexp: 0.112756
Run_number: 2615 | Ap_exp: -0.0677966 | errAexp: 0.0918457
Run_number: 2616 | Ap_exp: -0.0377358 | errAexp: 0.0970594
Run_number: 2617 | Ap_exp: 0.15625 | errAexp: 0.0873027
Run_number: 2618 | Ap_exp: 0.0186335 | errAexp: 0.0787974
Run_number: 2619 | Ap_exp: -0.104762 | errAexp: 0.097053
Run_number: 2620 | Ap_exp: 0.037594 | errAexp: 0.0866497
Run_number: 2621 | Ap_exp: 0.107438 | errAexp: 0.0903829
Run_number: 2622 | Ap_exp: -0.244898 | errAexp: 0.0979392
Run_number: 2623 | Ap_exp: 0.241379 | errAexp: 0.127424
Run_number: 2624 | Ap_exp: -0.135593 | errAexp: 0.0912073
Run_number: 2625 | Ap_exp: 0.0441176 | errAexp: 0.0856658
Run_number: 2626 | Ap_exp: -0.0534351 | errAexp: 0.0872456
Run_number: 2627 | Ap_exp: -0.0454545 | errAexp: 0.0869489
Run_number: 2628 | Ap_exp: 0.146341 | errAexp: 0.109243
Run_number: 2629 | Ap_exp: 0.0299401 | errAexp: 0.0773476
Run_number: 2630 | Ap_exp: -0.272727 | errAexp: 0.290081
Run_number: 2631 | Ap_exp: 0.103448 | errAexp: 0.0825999
Run_number: 2632 | Ap_exp: -0.0461538 | errAexp: 0.123903
Run_number: 2633 | Ap_exp: 0.00826446 | errAexp: 0.090906
Run_number: 2634 | Ap_exp: -0.116279 | errAexp: 0.151464
Run_number: 2635 | Ap_exp: -0.018018 | errAexp: 0.0671047
Run_number: 2637 | Ap_exp: 0.0333333 | errAexp: 0.0912364
Run_number: 2638 | Ap_exp: 0.0810811 | errAexp: 0.0946033
Run_number: 2646 | Ap_exp: -0.047619 | errAexp: 0.0974793
Run_number: 2647 | Ap_exp: 0.203008 | errAexp: 0.0849054
Run_number: 2648 | Ap_exp: 0.02 | errAexp: 0.09998
Run_number: 2649 | Ap_exp: 0.142857 | errAexp: 0.26452
Run_number: 2650 | Ap_exp: -0.0540541 | errAexp: 0.0820793
Run_number: 2651 | Ap_exp: 0.193548 | errAexp: 0.0881045
Run_number: 2659 | Ap_exp: -0.0420168 | errAexp: 0.0915889
Run_number: 2660 | Ap_exp: 0.0526316 | errAexp: 0.0935288
Run_number: 2661 | Ap_exp: -0.145455 | errAexp: 0.0943322
Run_number: 2662 | Ap_exp: 0.0222222 | errAexp: 0.149034
Run_number: 2667 | Ap_exp: 0.0542636 | errAexp: 0.0879154
Run_number: 2668 | Ap_exp: 0.144928 | errAexp: 0.0842269
Run_number: 2669 | Ap_exp: 0.0526316 | errAexp: 0.0935288
Run_number: 2670 | Ap_exp: 0.0542636 | errAexp: 0.0879154
Run_number: 2671 | Ap_exp: -0.0454545 | errAexp: 0.0869489
Run_number: 2674 | Ap_exp: 0.0075188 | errAexp: 0.0867085
Run_number: 2676 | Ap_exp: -0.0215827 | errAexp: 0.0847991
Run_number: 2677 | Ap_exp: 0.0442478 | errAexp: 0.09398
Run_number: 2678 | Ap_exp: 0 | errAexp: 0.5
Run_number: 2679 | Ap_exp: -0.0983607 | errAexp: 0.0900967
Run_number: 2680 | Ap_exp: -0.0215827 | errAexp: 0.0847991
Run_number: 2681 | Ap_exp: -0.037037 | errAexp: 0.096159
Run_number: 2683 | Ap_exp: -0.0793651 | errAexp: 0.125591
Run_number: 2684 | Ap_exp: -0.115385 | errAexp: 0.0974031
Run_number: 2685 | Ap_exp: -0.037037 | errAexp: 0.096159
Run_number: 2687 | Ap_exp: -0.016129 | errAexp: 0.089791
Run_number: 2688 | Ap_exp: -0.0542636 | errAexp: 0.0879154
Run_number: 2689 | Ap_exp: 0.015873 | errAexp: 0.0890759
Run_number: 2690 | Ap_exp: -0.216216 | errAexp: 0.113498
Run_number: 2691 | Ap_exp: -0.078125 | errAexp: 0.0881182
Run_number: 2692 | Ap_exp: -0.0298507 | errAexp: 0.0863483
Run_number: 2693 | Ap_exp: 0.0238095 | errAexp: 0.109078
Run_number: 2694 | Ap_exp: 0.0967742 | errAexp: 0.0799449
Run_number: 2695 | Ap_exp: -0.131579 | errAexp: 0.0804055
Run_number: 2696 | Ap_exp: 0.047619 | errAexp: 0.108985
Run_number: 2697 | Ap_exp: 0.0731707 | errAexp: 0.0899253
Run_number: 2698 | Ap_exp: -0.206107 | errAexp: 0.0854945
Run_number: 2699 | Ap_exp: 0.104 | errAexp: 0.0889577
Run_number: 2700 | Ap_exp: 0.125828 | errAexp: 0.0807321
Run_number: 2701 | Ap_exp: 0 | errAexp: 0.0890871
Run_number: 2702 | Ap_exp: -0.00763359 | errAexp: 0.0873679
Run_number: 2703 | Ap_exp: -0.015625 | errAexp: 0.0883776
Run_number: 2704 | Ap_exp: -0.0344828 | errAexp: 0.0927925
Run_number: 2705 | Ap_exp: -0.0656934 | errAexp: 0.0852512
Run_number: 2706 | Ap_exp: 0 | errAexp: 0.0851257
Run_number: 2707 | Ap_exp: -0.0117647 | errAexp: 0.108458
Run_number: 2709 | Ap_exp: -0.131579 | errAexp: 0.113711
Run_number: 2710 | Ap_exp: -0.103448 | errAexp: 0.184699
Run_number: 2711 | Ap_exp: -0.0758621 | errAexp: 0.0828062
Run_number: 2712 | Ap_exp: 0.0597015 | errAexp: 0.0862328
Run_number: 2713 | Ap_exp: 0.0625 | errAexp: 0.176431
Run_number: 2714 | Ap_exp: 0.025641 | errAexp: 0.0924196
Run_number: 2715 | Ap_exp: 0.126214 | errAexp: 0.097745
Run_number: 2716 | Ap_exp: 0.0675676 | errAexp: 0.0820116
Run_number: 2717 | Ap_exp: 0.00740741 | errAexp: 0.0860639
Run_number: 2718 | Ap_exp: -0.119403 | errAexp: 0.0857688
Run_number: 2719 | Ap_exp: -0.045045 | errAexp: 0.0948195
Run_number: 2720 | Ap_exp: 0.0377358 | errAexp: 0.0970594
Run_number: 2721 | Ap_exp: -0.0676692 | errAexp: 0.0865122
Run_number: 2722 | Ap_exp: 0.0852713 | errAexp: 0.0877244
Run_number: 2723 | Ap_exp: 0.030303 | errAexp: 0.0869989
Run_number: 2724 | Ap_exp: -0.0333333 | errAexp: 0.0912364
Run_number: 2725 | Ap_exp: -0.0198675 | errAexp: 0.0813628
Run_number: 2726 | Ap_exp: -0.0294118 | errAexp: 0.0857122
Run_number: 2727 | Ap_exp: -0.0983607 | errAexp: 0.0900967
Run_number: 2728 | Ap_exp: -0.0857143 | errAexp: 0.0972309
Run_number: 2729 | Ap_exp: 0.0731707 | errAexp: 0.0899253
Run_number: 2730 | Ap_exp: -0.105263 | errAexp: 0.16132
Run_number: 2763 | Ap_exp: -0.0825688 | errAexp: 0.0954556
Run_number: 2764 | Ap_exp: 0.181818 | errAexp: 0.093757
Run_number: 2765 | Ap_exp: 0.0909091 | errAexp: 0.100088
Run_number: 2766 | Ap_exp: 0.122449 | errAexp: 0.100255
Run_number: 2767 | Ap_exp: -0.0135135 | errAexp: 0.082192
Run_number: 2768 | Ap_exp: -0.0793651 | errAexp: 0.0888061
Run_number: 2769 | Ap_exp: -0.0526316 | errAexp: 0.0935288
Run_number: 2770 | Ap_exp: -0.037037 | errAexp: 0.135989
Run_number: 2959 | Ap_exp: 0.0930233 | errAexp: 0.107365
Run_number: 2964 | Ap_exp: 0.205479 | errAexp: 0.114544
Run_number: 2966 | Ap_exp: 0.0679612 | errAexp: 0.0983051
Run_number: 2967 | Ap_exp: 0.137255 | errAexp: 0.138703
Run_number: 2968 | Ap_exp: 0.0215827 | errAexp: 0.0847991
Run_number: 2970 | Ap_exp: -0.115385 | errAexp: 0.137749
Run_number: 2971 | Ap_exp: -0.333333 | errAexp: 0.31427
Run_number: 2973 | Ap_exp: -0.205882 | errAexp: 0.11867
Run_number: 2974 | Ap_exp: 0.111111 | errAexp: 0.104757
Run_number: 2976 | Ap_exp: 0 | errAexp: 0.288675
Run_number: 2981 | Ap_exp: 0 | errAexp: 0.5
Run_number: 2983 | Ap_exp: -0.12 | errAexp: 0.0992774
Run_number: 2984 | Ap_exp: 0.145631 | errAexp: 0.0689305
