Run_number: 2628 | Aphy: 8.29124 | errAphy: 0
Run_number: 2630 | Aphy: -0.0182889 | errAphy: 0
Run_number: 2632 | Aphy: -3.81223 | errAphy: 3.28702
Run_number: 2635 | Aphy: -0.0170839 | errAphy: 3.88102
Run_number: 2637 | Aphy: 1.78696 | errAphy: 2.10982
Run_number: 2638 | Aphy: -3.41996 | errAphy: 1.91709
Run_number: 2646 | Aphy: -1.93073 | errAphy: 0.608097
Run_number: 2647 | Aphy: 1.01832 | errAphy: 0.794261
Run_number: 2648 | Aphy: -2.71889 | errAphy: 2.20541
Run_number: 2649 | Aphy: -0.0178466 | errAphy: 2.86681
Run_number: 2650 | Aphy: 1.35125 | errAphy: 0.940244
Run_number: 2651 | Aphy: 0.795881 | errAphy: 0.55163
Run_number: 2659 | Aphy: -0.453612 | errAphy: 0.65768
Run_number: 2660 | Aphy: -3.43846 | errAphy: 2.72584
Run_number: 2661 | Aphy: 0.104795 | errAphy: 0.573056
Run_number: 2662 | Aphy: -1.05622 | errAphy: 0.909512
Run_number: 2667 | Aphy: -0.0179392 | errAphy: 0.519667
Run_number: 2668 | Aphy: -0.0178907 | errAphy: 0.71293
Run_number: 2669 | Aphy: 0.713124 | errAphy: 0.51689
Run_number: 2670 | Aphy: -0.0177991 | errAphy: 0.550253
Run_number: 2671 | Aphy: 0.569278 | errAphy: 0.628764
Run_number: 2674 | Aphy: 1.63181 | errAphy: 0.590721
Run_number: 2676 | Aphy: 0.326855 | errAphy: 0.632041
Run_number: 2677 | Aphy: 0.58623 | errAphy: 0.986108
Run_number: 2678 | Aphy: -0.0178059 | errAphy: 2.55832
Run_number: 2679 | Aphy: 0.0728474 | errAphy: 0.604291
Run_number: 2680 | Aphy: -0.084181 | errAphy: 0.517053
Run_number: 2681 | Aphy: -0.0906094 | errAphy: 0.540977
Run_number: 2683 | Aphy: 1.43977 | errAphy: 0.686055
Run_number: 2684 | Aphy: 0.490007 | errAphy: 0.63684
Run_number: 2685 | Aphy: -2.69365 | errAphy: 1.26147
Run_number: 2687 | Aphy: 0.835579 | errAphy: 0.53145
Run_number: 2688 | Aphy: 1.22453 | errAphy: 0.651381
Run_number: 2689 | Aphy: 0.68805 | errAphy: 0.545106
Run_number: 2690 | Aphy: 0.0898522 | errAphy: 0.658958
Run_number: 2691 | Aphy: -0.545718 | errAphy: 0.571652
Run_number: 2692 | Aphy: -0.0476712 | errAphy: 0.491565
Run_number: 2693 | Aphy: -0.163689 | errAphy: 0.543266
Run_number: 2694 | Aphy: -0.291077 | errAphy: 0.494159
Run_number: 2695 | Aphy: 0.338718 | errAphy: 0.508598
Run_number: 2696 | Aphy: -0.0703012 | errAphy: 0.648374
Run_number: 2697 | Aphy: -0.26535 | errAphy: 0.572199
Run_number: 2698 | Aphy: 1.25017 | errAphy: 0.500076
Run_number: 2699 | Aphy: 0.171391 | errAphy: 0.497113
Run_number: 2700 | Aphy: 0.694604 | errAphy: 0.470225
Run_number: 2701 | Aphy: 1.10543 | errAphy: 0.487909
Run_number: 2702 | Aphy: 0.0885452 | errAphy: 0.452769
Run_number: 2703 | Aphy: 0.485699 | errAphy: 0.49175
Run_number: 2704 | Aphy: 0.187345 | errAphy: 0.511655
Run_number: 2705 | Aphy: 0.686949 | errAphy: 0.5451
Run_number: 2706 | Aphy: 0.546464 | errAphy: 0.463274
Run_number: 2707 | Aphy: 0.133309 | errAphy: 0.619027
Run_number: 2709 | Aphy: -0.177518 | errAphy: 0.640276
Run_number: 2710 | Aphy: 1.292 | errAphy: 1.17969
Run_number: 2711 | Aphy: 0.574736 | errAphy: 0.453468
Run_number: 2712 | Aphy: 0.235996 | errAphy: 0.493689
Run_number: 2713 | Aphy: 0.873931 | errAphy: 1.0636
Run_number: 2714 | Aphy: 0.343374 | errAphy: 0.526565
Run_number: 2715 | Aphy: 0.218832 | errAphy: 0.549905
Run_number: 2716 | Aphy: 0.0906588 | errAphy: 0.454834
Run_number: 2717 | Aphy: -0.01693 | errAphy: 0.49447
Run_number: 2718 | Aphy: -0.163158 | errAphy: 0.474201
Run_number: 2719 | Aphy: 0.300886 | errAphy: 0.493979
Run_number: 2720 | Aphy: -0.0567688 | errAphy: 0.55352
Run_number: 2721 | Aphy: 0.670676 | errAphy: 0.488243
Run_number: 2722 | Aphy: 1.20757 | errAphy: 0.504806
Run_number: 2723 | Aphy: 0.645689 | errAphy: 0.545011
Run_number: 2724 | Aphy: 0.521325 | errAphy: 0.506668
Run_number: 2725 | Aphy: 0.582512 | errAphy: 0.503443
Run_number: 2726 | Aphy: 0.630778 | errAphy: 0.471016
Run_number: 2727 | Aphy: 0.304702 | errAphy: 0.518069
Run_number: 2728 | Aphy: 0.569916 | errAphy: 0.538565
Run_number: 2729 | Aphy: 0.658622 | errAphy: 0.498493
Run_number: 2730 | Aphy: 0.212616 | errAphy: 0.979299
Run_number: 2763 | Aphy: 0.3605 | errAphy: 0.5834
Run_number: 2764 | Aphy: 0.925463 | errAphy: 0.593172
Run_number: 2765 | Aphy: 0.0358015 | errAphy: 0.641664
Run_number: 2766 | Aphy: 0.681884 | errAphy: 0.518596
Run_number: 2767 | Aphy: 0.0109013 | errAphy: 0.464812
Run_number: 2768 | Aphy: 0.572484 | errAphy: 0.490245
Run_number: 2769 | Aphy: 0.813404 | errAphy: 0.73713
Run_number: 2770 | Aphy: 1.51891 | errAphy: 1.03132
Run_number: 2959 | Aphy: -2.43399 | errAphy: 1.31075
Run_number: 2964 | Aphy: 1.52796 | errAphy: 1.70089
Run_number: 2966 | Aphy: -0.315538 | errAphy: 0.866262
Run_number: 2967 | Aphy: -0.147653 | errAphy: 1.1179
Run_number: 2968 | Aphy: 1.09292 | errAphy: 0.711939
Run_number: 2970 | Aphy: -0.0198861 | errAphy: 1.77195
Run_number: 2971 | Aphy: 8.92369 | errAphy: 0
Run_number: 2973 | Aphy: -0.818612 | errAphy: 1.86667
Run_number: 2974 | Aphy: -0.419821 | errAphy: 1.32671
Run_number: 2976 | Aphy: -4.43088 | errAphy: 3.82044
Run_number: 2981 | Aphy: -0.0194383 | errAphy: 6.24503
Run_number: 2983 | Aphy: 0.207494 | errAphy: 0.708503
Run_number: 2984 | Aphy: 0.425034 | errAphy: 0.992927
Run_number: 2985 | Aphy: 1.09319 | errAphy: 0.987491
Run_number: 2986 | Aphy: 1.09412 | errAphy: 2.21
Run_number: 2988 | Aphy: -1.28918 | errAphy: 2.35088
Run_number: 2989 | Aphy: -0.796433 | errAphy: 0.917984
Run_number: 2990 | Aphy: 0.358383 | errAphy: 1.80867
Run_number: 2995 | Aphy: -0.634053 | errAphy: 0.871852
Run_number: 2996 | Aphy: -16.0314 | errAphy: 0
Run_number: 2997 | Aphy: 0.174661 | errAphy: 1.74411
Run_number: 2998 | Aphy: 1.28041 | errAphy: 1.28354
Run_number: 2999 | Aphy: 1.41989 | errAphy: 1.47706
Run_number: 3000 | Aphy: -0.831419 | errAphy: 2.33252
Run_number: 3001 | Aphy: -0.0298624 | errAphy: 3.19799
Run_number: 3003 | Aphy: 3.34722 | errAphy: 2.66971
Run_number: 3004 | Aphy: -1.64044 | errAphy: 1.17289
Run_number: 3005 | Aphy: 0.944808 | errAphy: 1.24183
Run_number: 3006 | Aphy: -1.87679 | errAphy: 1.77316
Run_number: 3007 | Aphy: -0.239721 | errAphy: 1.03437
Run_number: 3008 | Aphy: 0.202487 | errAphy: 1.46619
Run_number: 3009 | Aphy: -0.864199 | errAphy: 1.60901
Run_number: 3011 | Aphy: -0.222388 | errAphy: 1.35705
Run_number: 3013 | Aphy: -1.16649 | errAphy: 1.42054
Run_number: 3014 | Aphy: 0.525221 | errAphy: 1.26883
Run_number: 3016 | Aphy: -1.49473 | errAphy: 1.45462
Run_number: 3017 | Aphy: -1.95951 | errAphy: 1.41883
Run_number: 3018 | Aphy: -2.49708 | errAphy: 1.28248
Run_number: 3019 | Aphy: 1.42651 | errAphy: 1.74572
Run_number: 3020 | Aphy: 0.165391 | errAphy: 1.26441
Run_number: 3021 | Aphy: -1.92848 | errAphy: 1.14012
Run_number: 3022 | Aphy: -1.23548 | errAphy: 2.25296
Run_number: 3024 | Aphy: -1.71005 | errAphy: 1.65726
Run_number: 3025 | Aphy: -0.417303 | errAphy: 1.29101
Run_number: 3026 | Aphy: 2.73406 | errAphy: 1.29742
Run_number: 3027 | Aphy: 0.868755 | errAphy: 0.855204
Run_number: 3028 | Aphy: 1.20149 | errAphy: 0.844627
Run_number: 3029 | Aphy: -4.02428 | errAphy: 1.5338
Run_number: 3030 | Aphy: -0.526928 | errAphy: 0.94515
Run_number: 3035 | Aphy: -0.559563 | errAphy: 0.819017
Run_number: 3036 | Aphy: -0.657983 | errAphy: 0.961471
Run_number: 3037 | Aphy: -0.812888 | errAphy: 1.85362
Run_number: 3038 | Aphy: -1.07677 | errAphy: 0.794745
Run_number: 3039 | Aphy: -0.350571 | errAphy: 1.71826
Run_number: 3043 | Aphy: -0.111108 | errAphy: 0.895622
Run_number: 3045 | Aphy: 0.133262 | errAphy: 0.813352
Run_number: 3046 | Aphy: -0.165916 | errAphy: 1.12779
Run_number: 3047 | Aphy: -0.019075 | errAphy: 2.16668
Run_number: 3048 | Aphy: 1.55269 | errAphy: 0.833705
Run_number: 3049 | Aphy: -0.0193538 | errAphy: 0.816445
Run_number: 3050 | Aphy: -0.553093 | errAphy: 0.816238
Run_number: 3051 | Aphy: 0.2264 | errAphy: 0.8468
Run_number: 3052 | Aphy: -0.480252 | errAphy: 1.15849
Run_number: 3054 | Aphy: -2.75751 | errAphy: 1.4714
Run_number: 3055 | Aphy: 0.784032 | errAphy: 1.87654
Run_number: 3058 | Aphy: -1.6122 | errAphy: 1.17262
Run_number: 3059 | Aphy: 1.56968 | errAphy: 1.2955
Run_number: 3061 | Aphy: -0.251806 | errAphy: 1.41582
Run_number: 3062 | Aphy: 1.17525 | errAphy: 0.722842
Run_number: 3063 | Aphy: 0.247239 | errAphy: 0.66524
Run_number: 3064 | Aphy: 1.09788 | errAphy: 0.864183
Run_number: 3065 | Aphy: 0.308832 | errAphy: 1.15454
Run_number: 3068 | Aphy: -1.08339 | errAphy: 1.0563
Run_number: 3075 | Aphy: -0.191702 | errAphy: 1.21102
Run_number: 3076 | Aphy: -1.31691 | errAphy: 1.15638
Run_number: 3077 | Aphy: 1.1632 | errAphy: 0.773412
Run_number: 3079 | Aphy: 0.0643478 | errAphy: 0.818588
Run_number: 3080 | Aphy: 0.502824 | errAphy: 1.18768
Run_number: 3082 | Aphy: 0.616888 | errAphy: 0.519187
Run_number: 3089 | Aphy: -0.0669239 | errAphy: 0.447784
Run_number: 3090 | Aphy: -0.888361 | errAphy: 0.544427
Run_number: 3091 | Aphy: 0.476318 | errAphy: 0.523638
Run_number: 3092 | Aphy: 0.385853 | errAphy: 0.476455
Run_number: 3093 | Aphy: -0.764734 | errAphy: 0.845165
Run_number: 3108 | Aphy: 0.411982 | errAphy: 0.674309
Run_number: 3109 | Aphy: 0.509684 | errAphy: 0.613306
Run_number: 3110 | Aphy: 0.310214 | errAphy: 0.611802
Run_number: 3111 | Aphy: -1.34986 | errAphy: 1.14157
Run_number: 3112 | Aphy: -0.848271 | errAphy: 0.563792
