dx_bin_center, Proton asymmetry, Error
-3.95,0,50
-3.85,100,0
-3.75,-20,43.8178
-3.65,0,50
-3.55,-50,43.3013
-3.45,-50,43.3013
-3.35,-14.2857,37.4088
-3.25,50,43.3013
-3.15,71.4286,26.452
-3.05,11.1111,23.4243
-2.95,50,30.6186
-2.85,0,22.3607
-2.75,-18.1818,20.9647
-2.65,13.3333,18.0944
-2.55,2.7027,16.4339
-2.45,1.69492,13.017
-2.35,2.7027,11.6205
-2.25,6.06061,8.68788
-2.15,-2.95359,6.49286
-2.05,0.552486,5.2558
-1.95,2.40964,3.87963
-1.85,-0.553506,3.03724
-1.75,-0.44501,2.52134
-1.65,-0.184162,2.1457
-1.55,-0.394633,1.98652
-1.45,-2.08254,1.94546
-1.35,-0.99108,2.22596
-1.25,-1.17493,2.5547
-1.15,2.41449,3.17088
-1.05,-7.8341,3.90726
-0.95,-2,4.999
-0.85,6.76692,6.11734
-0.75,9.55414,7.94436
-0.65,8.94309,8.98057
-0.55,1.26582,11.25
-0.45,-17.2414,12.934
-0.35,-6.38298,14.5568
-0.25,21.2121,17.0116
-0.15,11.7647,17.0308
-0.05,24.1379,18.0204
0.05,-18.1818,20.9647
0.15,-18.5185,18.9121
0.25,47.3684,20.2045
0.35,25,24.2061
0.45,-27.2727,29.0081
0.55,-33.3333,31.427
0.65,33.3333,31.427
0.75,-42.8571,34.1494
0.85,-20,43.8178
0.95,66.6667,30.429
1.05,-100,0
1.15,50,30.6186
1.25,50,43.3013
1.35,-33.3333,54.4331
1.45,-60,35.7771
1.55,-50,43.3013
1.65,-100,0
1.75,0,0
1.85,-100,0
1.95,-100,0
2.05,100,0
2.15,0,0
2.25,-100,0
2.35,0,0
2.45,0,0
2.55,0,0
2.65,0,0
2.75,0,0
2.85,0,0
2.95,0,0
3.05,0,0
3.15,0,0
3.25,0,0
3.35,0,0
3.45,0,0
3.55,0,0
3.65,0,0
3.75,0,0
3.85,0,0
3.95,0,0
4.05,0,0
