Run_number: 2628 | Aexp: 1 | errAexp: 0 | pol_He3: 43.3397 | pol_beam: 86.488
Run_number: 2630 | Aexp: -nan | errAexp: -nan | pol_He3: 43.7824 | pol_beam: 86.488
Run_number: 2632 | Aexp: -0.5 | errAexp: 0.433013 | pol_He3: 47.4418 | pol_beam: 86.488
Run_number: 2635 | Aexp: 0 | errAexp: 0.5 | pol_He3: 46.3966 | pol_beam: 86.488
Run_number: 2637 | Aexp: 0.230769 | errAexp: 0.269864 | pol_He3: 46.0641 | pol_beam: 86.488
Run_number: 2638 | Aexp: -0.428571 | errAexp: 0.241473 | pol_He3: 45.3616 | pol_beam: 86.488
Run_number: 2646 | Aexp: -0.239264 | errAexp: 0.076051 | pol_He3: 45.0396 | pol_beam: 86.488
Run_number: 2647 | Aexp: 0.128713 | errAexp: 0.098676 | pol_He3: 44.7415 | pol_beam: 86.488
Run_number: 2648 | Aexp: -0.333333 | errAexp: 0.272166 | pol_He3: 44.4434 | pol_beam: 86.488
Run_number: 2649 | Aexp: 0 | errAexp: 0.353553 | pol_He3: 44.4138 | pol_beam: 86.488
Run_number: 2650 | Aexp: 0.171429 | errAexp: 0.117754 | pol_He3: 45.1022 | pol_beam: 86.488
Run_number: 2651 | Aexp: 0.102439 | errAexp: 0.0694756 | pol_He3: 45.3573 | pol_beam: 86.488
Run_number: 2659 | Aexp: -0.0547945 | errAexp: 0.0826363 | pol_He3: 45.25 | pol_beam: 86.488
Run_number: 2660 | Aexp: -0.428571 | errAexp: 0.341494 | pol_He3: 45.1176 | pol_beam: 86.488
Run_number: 2661 | Aexp: 0.0152284 | errAexp: 0.0712388 | pol_He3: 44.7695 | pol_beam: 86.488
Run_number: 2662 | Aexp: -0.128205 | errAexp: 0.112293 | pol_He3: 44.4638 | pol_beam: 86.488
Run_number: 2667 | Aexp: 0 | errAexp: 0.0637577 | pol_He3: 44.1845 | pol_beam: 86.488
Run_number: 2668 | Aexp: 0 | errAexp: 0.0877058 | pol_He3: 44.3041 | pol_beam: 86.488
Run_number: 2669 | Aexp: 0.0901639 | errAexp: 0.0637577 | pol_He3: 44.4219 | pol_beam: 86.488
Run_number: 2670 | Aexp: 0 | errAexp: 0.0680414 | pol_He3: 44.5321 | pol_beam: 86.488
Run_number: 2671 | Aexp: 0.0722892 | errAexp: 0.077412 | pol_He3: 44.3387 | pol_beam: 86.488
Run_number: 2674 | Aexp: 0.202186 | errAexp: 0.0723954 | pol_He3: 44.1358 | pol_beam: 86.488
Run_number: 2676 | Aexp: 0.0424242 | errAexp: 0.0777798 | pol_He3: 44.3184 | pol_beam: 86.488
Run_number: 2677 | Aexp: 0.0746269 | errAexp: 0.121829 | pol_He3: 44.4927 | pol_beam: 86.488
