Run_number: 2628 | Ap_exp: 1 | errAexp: 0
Run_number: 2630 | Ap_exp: -1 | errAexp: 0
Run_number: 2632 | Ap_exp: 0.230769 | errAexp: 0.269864
Run_number: 2635 | Ap_exp: 0.2 | errAexp: 0.309839
Run_number: 2637 | Ap_exp: -0.12 | errAexp: 0.198555
Run_number: 2638 | Ap_exp: 0.0625 | errAexp: 0.176431
Run_number: 2646 | Ap_exp: 0.00714286 | errAexp: 0.0597599
Run_number: 2647 | Ap_exp: 0.0974359 | errAexp: 0.0712707
Run_number: 2648 | Ap_exp: -0.181818 | errAexp: 0.209647
Run_number: 2649 | Ap_exp: 0.181818 | errAexp: 0.209647
Run_number: 2650 | Ap_exp: 0.0882353 | errAexp: 0.0854148
Run_number: 2651 | Ap_exp: 0.0294118 | errAexp: 0.0458151
Run_number: 2659 | Ap_exp: 0.0165017 | errAexp: 0.0574407
Run_number: 2660 | Ap_exp: -0.0833333 | errAexp: 0.203414
Run_number: 2661 | Ap_exp: -0.0514286 | errAexp: 0.0533815
Run_number: 2662 | Ap_exp: -0.0886076 | errAexp: 0.0792428
Run_number: 2667 | Ap_exp: -0.00429185 | errAexp: 0.0463237
Run_number: 2668 | Ap_exp: -0.0148148 | errAexp: 0.0608514
Run_number: 2669 | Ap_exp: -0.0580645 | errAexp: 0.0462956
Run_number: 2670 | Ap_exp: -0.0210526 | errAexp: 0.0512875
Run_number: 2671 | Ap_exp: 0.00621118 | errAexp: 0.0557267
Run_number: 2674 | Ap_exp: 0.0615385 | errAexp: 0.050541
Run_number: 2676 | Ap_exp: 0.0604982 | errAexp: 0.0595457
Run_number: 2677 | Ap_exp: 0.0948905 | errAexp: 0.0850503
Run_number: 2678 | Ap_exp: 0.130435 | errAexp: 0.206733
Run_number: 2679 | Ap_exp: -0.0722222 | errAexp: 0.052567
Run_number: 2680 | Ap_exp: -0.0021322 | errAexp: 0.0461756
Run_number: 2681 | Ap_exp: -0.00791557 | errAexp: 0.0513649
Run_number: 2683 | Ap_exp: -0.0484581 | errAexp: 0.0662944
Run_number: 2684 | Ap_exp: -0.00890208 | errAexp: 0.0544713
Run_number: 2685 | Ap_exp: -0.285714 | errAexp: 0.114541
Run_number: 2687 | Ap_exp: 0 | errAexp: 0.0496292
Run_number: 2688 | Ap_exp: -0.0731707 | errAexp: 0.0588699
Run_number: 2689 | Ap_exp: -0.0250569 | errAexp: 0.0477124
Run_number: 2690 | Ap_exp: 0.00958466 | errAexp: 0.0565207
Run_number: 2691 | Ap_exp: -0.115294 | errAexp: 0.0481837
Run_number: 2692 | Ap_exp: -0.014433 | errAexp: 0.0454029
Run_number: 2693 | Ap_exp: -0.0637119 | errAexp: 0.0525246
Run_number: 2694 | Ap_exp: 0.046332 | errAexp: 0.0438903
Run_number: 2695 | Ap_exp: -0.064 | errAexp: 0.0446297
Run_number: 2696 | Ap_exp: -0.0410095 | errAexp: 0.0561183
