Run_number: 2613 | Ap_exp: -0.0758123 | errAexp: 0.0599113
Run_number: 2614 | Ap_exp: 0.0977444 | errAexp: 0.0862958
Run_number: 2615 | Ap_exp: -0.0125523 | errAexp: 0.0646795
Run_number: 2616 | Ap_exp: -0.00529101 | errAexp: 0.0727383
Run_number: 2617 | Ap_exp: 0.143969 | errAexp: 0.0617284
Run_number: 2618 | Ap_exp: 0.0267062 | errAexp: 0.054454
Run_number: 2619 | Ap_exp: 0.00813008 | errAexp: 0.0637556
Run_number: 2620 | Ap_exp: -0.0114068 | errAexp: 0.0616586
Run_number: 2621 | Ap_exp: 0.146667 | errAexp: 0.0659457
Run_number: 2622 | Ap_exp: -0.144279 | errAexp: 0.0697966
Run_number: 2623 | Ap_exp: 0.210084 | errAexp: 0.0896241
Run_number: 2624 | Ap_exp: -0.137931 | errAexp: 0.0650257
Run_number: 2625 | Ap_exp: -0.0277778 | errAexp: 0.0589028
Run_number: 2626 | Ap_exp: 0.00398406 | errAexp: 0.0631189
Run_number: 2627 | Ap_exp: -0.106529 | errAexp: 0.0582875
Run_number: 2628 | Ap_exp: 0.0777778 | errAexp: 0.0743098
Run_number: 2629 | Ap_exp: 0.0809249 | errAexp: 0.053584
Run_number: 2630 | Ap_exp: -0.217391 | errAexp: 0.203528
Run_number: 2631 | Ap_exp: 0.0143885 | errAexp: 0.0599698
Run_number: 2632 | Ap_exp: 0.0307692 | errAexp: 0.0876643
Run_number: 2633 | Ap_exp: 0.0403226 | errAexp: 0.0634484
Run_number: 2634 | Ap_exp: -0.0574713 | errAexp: 0.107034
Run_number: 2635 | Ap_exp: 0.019802 | errAexp: 0.0497421
Run_number: 2637 | Ap_exp: 0.004329 | errAexp: 0.0657946
Run_number: 2638 | Ap_exp: -0.0275229 | errAexp: 0.0677029
Run_number: 2646 | Ap_exp: -0.0376569 | errAexp: 0.0646387
Run_number: 2647 | Ap_exp: 0.136187 | errAexp: 0.0617971
Run_number: 2648 | Ap_exp: 0.0222222 | errAexp: 0.0745172
Run_number: 2649 | Ap_exp: -0.027027 | errAexp: 0.164339
Run_number: 2650 | Ap_exp: 0.0166113 | errAexp: 0.0576311
Run_number: 2651 | Ap_exp: 0.11811 | errAexp: 0.0623064
Run_number: 2659 | Ap_exp: 0.0325581 | errAexp: 0.0681633
Run_number: 2660 | Ap_exp: 0.0456432 | errAexp: 0.0643485
Run_number: 2661 | Ap_exp: -0.0319149 | errAexp: 0.0728953
Run_number: 2662 | Ap_exp: 0.0454545 | errAexp: 0.10649
Run_number: 2667 | Ap_exp: -0.00787402 | errAexp: 0.0627436
Run_number: 2668 | Ap_exp: -0.0138889 | errAexp: 0.0589199
Run_number: 2669 | Ap_exp: 0 | errAexp: 0.0650945
Run_number: 2670 | Ap_exp: 0 | errAexp: 0.0622573
Run_number: 2671 | Ap_exp: -0.0592593 | errAexp: 0.0607511
Run_number: 2674 | Ap_exp: 0.0113208 | errAexp: 0.0614256
Run_number: 2676 | Ap_exp: -0.042471 | errAexp: 0.0620809
Run_number: 2677 | Ap_exp: -0.0689655 | errAexp: 0.0654969
Run_number: 2678 | Ap_exp: -0.272727 | errAexp: 0.290081
Run_number: 2679 | Ap_exp: -0.0683761 | errAexp: 0.065219
Run_number: 2680 | Ap_exp: -0.0372881 | errAexp: 0.0581818
Run_number: 2681 | Ap_exp: 0.0294118 | errAexp: 0.0699837
Run_number: 2683 | Ap_exp: -0.162791 | errAexp: 0.0868706
Run_number: 2684 | Ap_exp: -0.0215054 | errAexp: 0.0733066
Run_number: 2685 | Ap_exp: -0.0917031 | errAexp: 0.0658034
Run_number: 2687 | Ap_exp: 0.034188 | errAexp: 0.0653338
Run_number: 2688 | Ap_exp: -0.0168067 | errAexp: 0.0648112
Run_number: 2689 | Ap_exp: -0.0209205 | errAexp: 0.0646705
Run_number: 2690 | Ap_exp: -0.0580645 | errAexp: 0.0801864
Run_number: 2691 | Ap_exp: -0.092511 | errAexp: 0.0660877
Run_number: 2692 | Ap_exp: -0.0526316 | errAexp: 0.061229
Run_number: 2693 | Ap_exp: 0.0212766 | errAexp: 0.072916
Run_number: 2694 | Ap_exp: 0.046595 | errAexp: 0.0598034
Run_number: 2695 | Ap_exp: -0.132203 | errAexp: 0.0577112
Run_number: 2696 | Ap_exp: 0.0243902 | errAexp: 0.0780637
Run_number: 2697 | Ap_exp: 0.0756972 | errAexp: 0.0629383
Run_number: 2698 | Ap_exp: -0.0641509 | errAexp: 0.061303
Run_number: 2699 | Ap_exp: 0.102662 | errAexp: 0.0613368
Run_number: 2700 | Ap_exp: 0.030303 | errAexp: 0.0615175
Run_number: 2701 | Ap_exp: 0.0191571 | errAexp: 0.0618871
Run_number: 2702 | Ap_exp: -0.027972 | errAexp: 0.0591081
Run_number: 2703 | Ap_exp: 0.0218341 | errAexp: 0.0660661
Run_number: 2704 | Ap_exp: -0.0166667 | errAexp: 0.0645408
Run_number: 2705 | Ap_exp: -0.00826446 | errAexp: 0.0642802
Run_number: 2706 | Ap_exp: 0.0684039 | errAexp: 0.0569393
Run_number: 2707 | Ap_exp: 0.0718232 | errAexp: 0.0741374
Run_number: 2709 | Ap_exp: -0.0909091 | errAexp: 0.0802486
Run_number: 2710 | Ap_exp: 0.157895 | errAexp: 0.130792
Run_number: 2711 | Ap_exp: -0.118056 | errAexp: 0.0585135
Run_number: 2712 | Ap_exp: -0.0561798 | errAexp: 0.0611024
Run_number: 2713 | Ap_exp: 0.107692 | errAexp: 0.123313
Run_number: 2714 | Ap_exp: -0.0396476 | errAexp: 0.0663201
Run_number: 2715 | Ap_exp: 0.00444444 | errAexp: 0.066666
Run_number: 2716 | Ap_exp: 0.0983051 | errAexp: 0.0579402
Run_number: 2717 | Ap_exp: 0.0887097 | errAexp: 0.0632497
Run_number: 2718 | Ap_exp: -0.00740741 | errAexp: 0.0608564
Run_number: 2719 | Ap_exp: 0.0126582 | errAexp: 0.0649518
Run_number: 2720 | Ap_exp: -0.0636364 | errAexp: 0.0672833
Run_number: 2721 | Ap_exp: 0.0699588 | errAexp: 0.0639929
Run_number: 2722 | Ap_exp: 0.0184502 | errAexp: 0.0607353
Run_number: 2723 | Ap_exp: -0.0610687 | errAexp: 0.0616649
Run_number: 2724 | Ap_exp: 0.00787402 | errAexp: 0.0627436
Run_number: 2725 | Ap_exp: -0.0106007 | errAexp: 0.0594405
Run_number: 2726 | Ap_exp: -0.0327273 | errAexp: 0.06027
Run_number: 2727 | Ap_exp: 0.0241935 | errAexp: 0.0634815
Run_number: 2728 | Ap_exp: -0.0185185 | errAexp: 0.0680297
Run_number: 2729 | Ap_exp: -0.00371747 | errAexp: 0.0609707
