Run_number: 3510 | pol_He3: 45.2255
Run_number: 3511 | pol_He3: 45.2312
Run_number: 3512 | pol_He3: 45.2384
Run_number: 3514 | pol_He3: 45.2482
Run_number: 3515 | pol_He3: 45.2532
Run_number: 3517 | pol_He3: 45.2648
Run_number: 3518 | pol_He3: 45.2738
Run_number: 3519 | pol_He3: 45.2892
Run_number: 3520 | pol_He3: 45.3021
Run_number: 3521 | pol_He3: 45.3076
Run_number: 3523 | pol_He3: 45.3224
Run_number: 3524 | pol_He3: 45.3372
Run_number: 3525 | pol_He3: 45.3534
Run_number: 3526 | pol_He3: 46.9193
Run_number: 3552 | pol_He3: 47.081
Run_number: 3553 | pol_He3: 44.6961
Run_number: 3554 | pol_He3: 44.3096
Run_number: 3555 | pol_He3: 44.0836
Run_number: 3556 | pol_He3: 43.8502
Run_number: 3557 | pol_He3: 43.6032
Run_number: 3558 | pol_He3: 43.5654
Run_number: 3559 | pol_He3: 43.5264
Run_number: 3560 | pol_He3: 43.5088
Run_number: 3561 | pol_He3: 43.8797
Run_number: 3562 | pol_He3: 44.2564
Run_number: 3563 | pol_He3: 44.1123
Run_number: 3578 | pol_He3: 43.9488
Run_number: 3579 | pol_He3: 43.7496
Run_number: 3580 | pol_He3: 43.5831
Run_number: 3581 | pol_He3: 43.7235
Run_number: 3582 | pol_He3: 44.0781
Run_number: 3583 | pol_He3: 44.7002
Run_number: 3588 | pol_He3: 44.1556
Run_number: 3589 | pol_He3: 43.3137
Run_number: 3590 | pol_He3: 42.5991
Run_number: 3591 | pol_He3: 42.7098
Run_number: 3592 | pol_He3: 42.8281
Run_number: 3593 | pol_He3: 42.9557
Run_number: 3594 | pol_He3: 43.0626
Run_number: 3595 | pol_He3: 43.179
Run_number: 3596 | pol_He3: 47.5152
Run_number: 3671 | pol_He3: 47.6471
Run_number: 3672 | pol_He3: 46.2865
Run_number: 3673 | pol_He3: 50.0382
Run_number: 3694 | pol_He3: 49.51
Run_number: 3695 | pol_He3: 48.5509
Run_number: 3696 | pol_He3: 48.5912
Run_number: 3697 | pol_He3: 48.7238
Run_number: 3698 | pol_He3: 49.0148
Run_number: 3701 | pol_He3: 49.0882
Run_number: 3702 | pol_He3: 47.9611
Run_number: 3703 | pol_He3: 47.0927
Run_number: 3704 | pol_He3: 46.8162
Run_number: 3705 | pol_He3: 46.6395
Run_number: 3706 | pol_He3: 46.9338
Run_number: 3708 | pol_He3: 47.1404
Run_number: 3709 | pol_He3: 47.5662
Run_number: 3710 | pol_He3: 47.9925
Run_number: 3711 | pol_He3: 46.93
Run_number: 3712 | pol_He3: 46.1285
Run_number: 3713 | pol_He3: 46.3447
Run_number: 3714 | pol_He3: 46.5652
Run_number: 3715 | pol_He3: 46.5757
Run_number: 3716 | pol_He3: 46.6057
Run_number: 3717 | pol_He3: 47.0402
Run_number: 3718 | pol_He3: 47.4475
Run_number: 3719 | pol_He3: 47.6794
Run_number: 3720 | pol_He3: 47.7616
Run_number: 3721 | pol_He3: 48.7257
Run_number: 3722 | pol_He3: 49.1575
Run_number: 3723 | pol_He3: 48.0171
Run_number: 3729 | pol_He3: 48.8416
Run_number: 3730 | pol_He3: 48.4902
Run_number: 3731 | pol_He3: 47.7544
Run_number: 3732 | pol_He3: 46.8871
Run_number: 3733 | pol_He3: 46.9695
Run_number: 3734 | pol_He3: 47.1191
Run_number: 3737 | pol_He3: 47.2098
Run_number: 3738 | pol_He3: 47.1319
Run_number: 3739 | pol_He3: 47.0462
Run_number: 3740 | pol_He3: 46.9831
Run_number: 3741 | pol_He3: 47.4401
Run_number: 3742 | pol_He3: 47.7852
Run_number: 3747 | pol_He3: 48.8864
Run_number: 3748 | pol_He3: 48.7267
Run_number: 3749 | pol_He3: 48.5761
Run_number: 3750 | pol_He3: 48.1402
Run_number: 3752 | pol_He3: 47.7551
Run_number: 3753 | pol_He3: 47.5589
Run_number: 3754 | pol_He3: 47.2143
Run_number: 3755 | pol_He3: 46.8799
Run_number: 3756 | pol_He3: 46.5904
Run_number: 3758 | pol_He3: 46.3304
Run_number: 3759 | pol_He3: 46.3073
Run_number: 3761 | pol_He3: 46.2944
Run_number: 3762 | pol_He3: 46.2666
Run_number: 3763 | pol_He3: 46.3377
Run_number: 3764 | pol_He3: 46.3864
Run_number: 3765 | pol_He3: 46.5059
Run_number: 3766 | pol_He3: 46.6104
Run_number: 3767 | pol_He3: 51.3713
Run_number: 3782 | pol_He3: 51.3663
Run_number: 3783 | pol_He3: 51.3616
Run_number: 3784 | pol_He3: 51.2707
Run_number: 3786 | pol_He3: 50.9642
Run_number: 3787 | pol_He3: 50.5556
Run_number: 3788 | pol_He3: 49.6214
Run_number: 3789 | pol_He3: 48.7165
Run_number: 3790 | pol_He3: 48.4678
Run_number: 3791 | pol_He3: 48.7021
Run_number: 3792 | pol_He3: 48.8356
Run_number: 3795 | pol_He3: 39.7362
Run_number: 3796 | pol_He3: 51.2806
Run_number: 3810 | pol_He3: 50.9483
Run_number: 3811 | pol_He3: 50.5699
Run_number: 3812 | pol_He3: 50.2486
Run_number: 3813 | pol_He3: 51.0175
Run_number: 3815 | pol_He3: 50.7433
Run_number: 3822 | pol_He3: 50.877
Run_number: 3823 | pol_He3: 50.9497
Run_number: 3824 | pol_He3: 51.0101
Run_number: 3825 | pol_He3: 50.4779
Run_number: 3826 | pol_He3: 49.9114
Run_number: 3827 | pol_He3: 49.3706
Run_number: 3828 | pol_He3: 48.8404
Run_number: 3829 | pol_He3: 48.8269
Run_number: 3830 | pol_He3: 48.8118
Run_number: 3832 | pol_He3: 48.7983
Run_number: 3833 | pol_He3: 48.8074
Run_number: 3835 | pol_He3: 48.9181
Run_number: 3836 | pol_He3: 49.0105
Run_number: 3837 | pol_He3: 49.1117
Run_number: 3838 | pol_He3: 49.1502
Run_number: 3839 | pol_He3: 49.1801
Run_number: 3840 | pol_He3: 49.2091
Run_number: 3841 | pol_He3: 49.2783
Run_number: 3842 | pol_He3: 49.3369
Run_number: 3843 | pol_He3: 49.4002
Run_number: 3844 | pol_He3: 49.6516
Run_number: 3846 | pol_He3: 49.9109
Run_number: 3847 | pol_He3: 50.1374
Run_number: 3848 | pol_He3: 50.2472
Run_number: 3849 | pol_He3: 49.7296
Run_number: 3850 | pol_He3: 49.1877
Run_number: 3851 | pol_He3: 48.2334
Run_number: 3852 | pol_He3: 46.2037
Run_number: 3853 | pol_He3: 44.4148
Run_number: 3854 | pol_He3: 42.2474
Run_number: 3855 | pol_He3: 37.7063
Run_number: 3856 | pol_He3: 35.3326
Run_number: 3857 | pol_He3: 31.6172
Run_number: 3858 | pol_He3: 29.4842
Run_number: 3859 | pol_He3: 26.9729
Run_number: 3860 | pol_He3: 23.4294
Run_number: 3861 | pol_He3: 44.8408
Run_number: 3864 | pol_He3: 46.534
Run_number: 3866 | pol_He3: 47.6599
Run_number: 3868 | pol_He3: 48.2185
Run_number: 3869 | pol_He3: 53.3483
Run_number: 3878 | pol_He3: 52.8508
Run_number: 3880 | pol_He3: 52.557
Run_number: 3881 | pol_He3: 52.2206
Run_number: 3882 | pol_He3: 51.8747
Run_number: 3883 | pol_He3: 51.4767
