Run_number: 3510 Nplus : 0 Nminus : 0 | Aexp: -nan | errAexp: -nan
Run_number: 3511 Nplus : 1 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 3512 Nplus : 0 Nminus : 0 | Aexp: -nan | errAexp: -nan
Run_number: 3514 Nplus : 1 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 3515 Nplus : 1 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 3517 Nplus : 4 Nminus : 6 | Aexp: -0.2 | errAexp: 0.309839
Run_number: 3518 Nplus : 5 Nminus : 1 | Aexp: 0.666667 | errAexp: 0.30429
Run_number: 3519 Nplus : 5 Nminus : 5 | Aexp: 0 | errAexp: 0.316228
Run_number: 3520 Nplus : 2 Nminus : 5 | Aexp: -0.428571 | errAexp: 0.341494
Run_number: 3521 Nplus : 2 Nminus : 3 | Aexp: -0.2 | errAexp: 0.438178
Run_number: 3523 Nplus : 2 Nminus : 1 | Aexp: 0.333333 | errAexp: 0.544331
Run_number: 3524 Nplus : 5 Nminus : 4 | Aexp: 0.111111 | errAexp: 0.331269
Run_number: 3525 Nplus : 3 Nminus : 3 | Aexp: 0 | errAexp: 0.408248
Run_number: 3526 Nplus : 0 Nminus : 1 | Aexp: -1 | errAexp: 0
Run_number: 3552 Nplus : 3 Nminus : 2 | Aexp: 0.2 | errAexp: 0.438178
Run_number: 3553 Nplus : 3 Nminus : 2 | Aexp: 0.2 | errAexp: 0.438178
Run_number: 3554 Nplus : 1 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 3555 Nplus : 3 Nminus : 4 | Aexp: -0.142857 | errAexp: 0.374088
Run_number: 3556 Nplus : 2 Nminus : 4 | Aexp: -0.333333 | errAexp: 0.3849
Run_number: 3557 Nplus : 4 Nminus : 4 | Aexp: 0 | errAexp: 0.353553
Run_number: 3558 Nplus : 7 Nminus : 1 | Aexp: 0.75 | errAexp: 0.233854
Run_number: 3559 Nplus : 1 Nminus : 2 | Aexp: -0.333333 | errAexp: 0.544331
Run_number: 3560 Nplus : 4 Nminus : 1 | Aexp: 0.6 | errAexp: 0.357771
Run_number: 3561 Nplus : 3 Nminus : 3 | Aexp: 0 | errAexp: 0.408248
Run_number: 3562 Nplus : 6 Nminus : 5 | Aexp: 0.0909091 | errAexp: 0.300263
Run_number: 3563 Nplus : 0 Nminus : 0 | Aexp: -nan | errAexp: -nan
Run_number: 3578 Nplus : 3 Nminus : 3 | Aexp: 0 | errAexp: 0.408248
Run_number: 3579 Nplus : 5 Nminus : 6 | Aexp: -0.0909091 | errAexp: 0.300263
Run_number: 3580 Nplus : 3 Nminus : 6 | Aexp: -0.333333 | errAexp: 0.31427
Run_number: 3581 Nplus : 3 Nminus : 5 | Aexp: -0.25 | errAexp: 0.342327
Run_number: 3582 Nplus : 1 Nminus : 1 | Aexp: 0 | errAexp: 0.707107
Run_number: 3583 Nplus : 1 Nminus : 1 | Aexp: 0 | errAexp: 0.707107
Run_number: 3588 Nplus : 4 Nminus : 1 | Aexp: 0.6 | errAexp: 0.357771
Run_number: 3589 Nplus : 4 Nminus : 9 | Aexp: -0.384615 | errAexp: 0.256015
Run_number: 3590 Nplus : 5 Nminus : 4 | Aexp: 0.111111 | errAexp: 0.331269
Run_number: 3591 Nplus : 6 Nminus : 2 | Aexp: 0.5 | errAexp: 0.306186
Run_number: 3592 Nplus : 5 Nminus : 4 | Aexp: 0.111111 | errAexp: 0.331269
Run_number: 3593 Nplus : 3 Nminus : 3 | Aexp: 0 | errAexp: 0.408248
Run_number: 3594 Nplus : 9 Nminus : 4 | Aexp: 0.384615 | errAexp: 0.256015
Run_number: 3595 Nplus : 2 Nminus : 7 | Aexp: -0.555556 | errAexp: 0.27716
Run_number: 3596 Nplus : 0 Nminus : 3 | Aexp: -1 | errAexp: 0
Run_number: 3671 Nplus : 3 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 3672 Nplus : 2 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 3673 Nplus : 6 Nminus : 3 | Aexp: 0.333333 | errAexp: 0.31427
Run_number: 3694 Nplus : 1 Nminus : 3 | Aexp: -0.5 | errAexp: 0.433013
Run_number: 3695 Nplus : 2 Nminus : 3 | Aexp: -0.2 | errAexp: 0.438178
Run_number: 3696 Nplus : 0 Nminus : 1 | Aexp: -1 | errAexp: 0
Run_number: 3697 Nplus : 3 Nminus : 1 | Aexp: 0.5 | errAexp: 0.433013
Run_number: 3698 Nplus : 3 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 3701 Nplus : 0 Nminus : 3 | Aexp: -1 | errAexp: 0
