Run_number: 3510 | Ap_exp: -1 | errAexp: 0
Run_number: 3511 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 3512 | Ap_exp: -nan | errAexp: -nan
Run_number: 3514 | Ap_exp: -1 | errAexp: 0
Run_number: 3515 | Ap_exp: 1 | errAexp: 0
Run_number: 3517 | Ap_exp: -0.333333 | errAexp: 0.31427
Run_number: 3518 | Ap_exp: -0.111111 | errAexp: 0.331269
Run_number: 3519 | Ap_exp: 0.142857 | errAexp: 0.26452
Run_number: 3520 | Ap_exp: -0.2 | errAexp: 0.252982
Run_number: 3521 | Ap_exp: 0.333333 | errAexp: 0.544331
Run_number: 3523 | Ap_exp: 0.5 | errAexp: 0.25
Run_number: 3524 | Ap_exp: 0.111111 | errAexp: 0.234243
Run_number: 3525 | Ap_exp: -0.176471 | errAexp: 0.238729
Run_number: 3526 | Ap_exp: -0.333333 | errAexp: 0.544331
Run_number: 3552 | Ap_exp: 0 | errAexp: 0.353553
Run_number: 3553 | Ap_exp: -0.272727 | errAexp: 0.290081
Run_number: 3554 | Ap_exp: 0.333333 | errAexp: 0.544331
Run_number: 3555 | Ap_exp: 0.25 | errAexp: 0.242061
Run_number: 3556 | Ap_exp: 0.0526316 | errAexp: 0.229098
Run_number: 3557 | Ap_exp: 0.2 | errAexp: 0.252982
Run_number: 3558 | Ap_exp: 0.166667 | errAexp: 0.284638
Run_number: 3559 | Ap_exp: 0 | errAexp: 0.353553
Run_number: 3560 | Ap_exp: -0.142857 | errAexp: 0.374088
Run_number: 3561 | Ap_exp: 0.272727 | errAexp: 0.290081
Run_number: 3562 | Ap_exp: -0.529412 | errAexp: 0.205759
Run_number: 3563 | Ap_exp: -nan | errAexp: -nan
Run_number: 3578 | Ap_exp: -0.5 | errAexp: 0.25
Run_number: 3579 | Ap_exp: 0 | errAexp: 0.235702
Run_number: 3580 | Ap_exp: 0 | errAexp: 0.213201
Run_number: 3581 | Ap_exp: 0.0666667 | errAexp: 0.257624
Run_number: 3582 | Ap_exp: -0.5 | errAexp: 0.433013
Run_number: 3583 | Ap_exp: -1 | errAexp: 0
Run_number: 3588 | Ap_exp: 0.176471 | errAexp: 0.238729
Run_number: 3589 | Ap_exp: 0.047619 | errAexp: 0.21797
Run_number: 3590 | Ap_exp: -0.142857 | errAexp: 0.26452
Run_number: 3591 | Ap_exp: -0.0666667 | errAexp: 0.257624
Run_number: 3592 | Ap_exp: 0.285714 | errAexp: 0.25612
Run_number: 3593 | Ap_exp: -0.428571 | errAexp: 0.241473
Run_number: 3594 | Ap_exp: 0.0588235 | errAexp: 0.242116
Run_number: 3595 | Ap_exp: 0.428571 | errAexp: 0.241473
Run_number: 3596 | Ap_exp: -0.333333 | errAexp: 0.544331
Run_number: 3671 | Ap_exp: -0.333333 | errAexp: 0.544331
Run_number: 3672 | Ap_exp: -0.2 | errAexp: 0.309839
Run_number: 3673 | Ap_exp: -0.142857 | errAexp: 0.26452
Run_number: 3694 | Ap_exp: -0.25 | errAexp: 0.342327
Run_number: 3695 | Ap_exp: 1 | errAexp: 0
Run_number: 3696 | Ap_exp: 1 | errAexp: 0
Run_number: 3697 | Ap_exp: -0.777778 | errAexp: 0.209513
Run_number: 3698 | Ap_exp: -nan | errAexp: -nan
Run_number: 3701 | Ap_exp: -0.111111 | errAexp: 0.331269
Run_number: 3702 | Ap_exp: -0.0588235 | errAexp: 0.242116
Run_number: 3703 | Ap_exp: 0.307692 | errAexp: 0.186602
Run_number: 3704 | Ap_exp: 0.0714286 | errAexp: 0.1885
Run_number: 3705 | Ap_exp: 0 | errAexp: 0.408248
Run_number: 3706 | Ap_exp: -nan | errAexp: -nan
Run_number: 3708 | Ap_exp: -0.333333 | errAexp: 0.3849
Run_number: 3709 | Ap_exp: 0.230769 | errAexp: 0.269864
Run_number: 3710 | Ap_exp: 0.272727 | errAexp: 0.205119
Run_number: 3711 | Ap_exp: 0.176471 | errAexp: 0.238729
Run_number: 3712 | Ap_exp: 0.25 | errAexp: 0.242061
Run_number: 3713 | Ap_exp: 0 | errAexp: 0.316228
Run_number: 3714 | Ap_exp: -0.0833333 | errAexp: 0.203414
Run_number: 3715 | Ap_exp: 0.241379 | errAexp: 0.180204
Run_number: 3716 | Ap_exp: -0.0769231 | errAexp: 0.276528
Run_number: 3717 | Ap_exp: 0.0526316 | errAexp: 0.229098
Run_number: 3718 | Ap_exp: -0.333333 | errAexp: 0.544331
Run_number: 3719 | Ap_exp: -0.25 | errAexp: 0.242061
Run_number: 3720 | Ap_exp: -1 | errAexp: 0
Run_number: 3721 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 3722 | Ap_exp: 0 | errAexp: 0.235702
Run_number: 3723 | Ap_exp: 0.2 | errAexp: 0.438178
Run_number: 3729 | Ap_exp: 0.428571 | errAexp: 0.241473
Run_number: 3730 | Ap_exp: 0 | errAexp: 0.408248
Run_number: 3731 | Ap_exp: 0.5 | errAexp: 0.25
Run_number: 3732 | Ap_exp: -0.0769231 | errAexp: 0.276528
Run_number: 3733 | Ap_exp: 0.166667 | errAexp: 0.284638
Run_number: 3734 | Ap_exp: 0.153846 | errAexp: 0.193781
Run_number: 3737 | Ap_exp: -0.5 | errAexp: 0.433013
Run_number: 3738 | Ap_exp: -0.0769231 | errAexp: 0.276528
Run_number: 3739 | Ap_exp: -0.0526316 | errAexp: 0.229098
Run_number: 3740 | Ap_exp: 0.217391 | errAexp: 0.203528
