Run_number: 3510 | Ap_exp: 0.333333 | errAexp: 0.31427
Run_number: 3511 | Ap_exp: -0.111111 | errAexp: 0.331269
Run_number: 3512 | Ap_exp: 0.333333 | errAexp: 0.3849
Run_number: 3514 | Ap_exp: 0 | errAexp: 0.25
Run_number: 3515 | Ap_exp: 0 | errAexp: 0.408248
Run_number: 3517 | Ap_exp: -0.272727 | errAexp: 0.145041
Run_number: 3518 | Ap_exp: -0.0857143 | errAexp: 0.168409
Run_number: 3519 | Ap_exp: -0.0769231 | errAexp: 0.123667
Run_number: 3520 | Ap_exp: -0.0909091 | errAexp: 0.134282
Run_number: 3521 | Ap_exp: 0.0666667 | errAexp: 0.257624
Run_number: 3523 | Ap_exp: -0.0454545 | errAexp: 0.1506
Run_number: 3524 | Ap_exp: 0.0588235 | errAexp: 0.139786
Run_number: 3525 | Ap_exp: -0.115385 | errAexp: 0.137749
Run_number: 3526 | Ap_exp: -0.037037 | errAexp: 0.192318
Run_number: 3552 | Ap_exp: 0.0857143 | errAexp: 0.168409
Run_number: 3553 | Ap_exp: -0.0625 | errAexp: 0.124756
Run_number: 3554 | Ap_exp: 0 | errAexp: 0.267261
Run_number: 3555 | Ap_exp: 0.298246 | errAexp: 0.126425
Run_number: 3556 | Ap_exp: -0.0645161 | errAexp: 0.126736
Run_number: 3557 | Ap_exp: -0.111111 | errAexp: 0.13524
Run_number: 3558 | Ap_exp: -0.0447761 | errAexp: 0.122047
Run_number: 3559 | Ap_exp: 0.025641 | errAexp: 0.160076
Run_number: 3560 | Ap_exp: -0.117647 | errAexp: 0.170308
Run_number: 3561 | Ap_exp: 0.025641 | errAexp: 0.160076
Run_number: 3562 | Ap_exp: -0.103448 | errAexp: 0.130602
Run_number: 3563 | Ap_exp: 0.333333 | errAexp: 0.544331
Run_number: 3578 | Ap_exp: -0.0526316 | errAexp: 0.161997
Run_number: 3579 | Ap_exp: -0.0153846 | errAexp: 0.12402
Run_number: 3580 | Ap_exp: -0.0263158 | errAexp: 0.114668
Run_number: 3581 | Ap_exp: 0.2 | errAexp: 0.126491
Run_number: 3582 | Ap_exp: -0.0769231 | errAexp: 0.276528
Run_number: 3583 | Ap_exp: -0.25 | errAexp: 0.342327
Run_number: 3588 | Ap_exp: 0.0588235 | errAexp: 0.139786
Run_number: 3589 | Ap_exp: 0.3 | errAexp: 0.123153
Run_number: 3590 | Ap_exp: 0.0714286 | errAexp: 0.133289
Run_number: 3591 | Ap_exp: -0.0612245 | errAexp: 0.142589
Run_number: 3592 | Ap_exp: -0.04 | errAexp: 0.141308
Run_number: 3593 | Ap_exp: -0.142857 | errAexp: 0.13226
Run_number: 3594 | Ap_exp: 0.0333333 | errAexp: 0.129028
Run_number: 3595 | Ap_exp: 0.283582 | errAexp: 0.117154
Run_number: 3596 | Ap_exp: 0.384615 | errAexp: 0.256015
Run_number: 3671 | Ap_exp: -0.111111 | errAexp: 0.191258
Run_number: 3672 | Ap_exp: -0.0638298 | errAexp: 0.145568
Run_number: 3673 | Ap_exp: -0.107143 | errAexp: 0.132861
Run_number: 3694 | Ap_exp: -0.0344828 | errAexp: 0.185585
Run_number: 3695 | Ap_exp: 0 | errAexp: 0.204124
Run_number: 3696 | Ap_exp: 0.5 | errAexp: 0.433013
Run_number: 3697 | Ap_exp: 0.0666667 | errAexp: 0.14874
Run_number: 3698 | Ap_exp: -0.2 | errAexp: 0.438178
Run_number: 3701 | Ap_exp: -0.25 | errAexp: 0.153093
Run_number: 3702 | Ap_exp: 0.0133333 | errAexp: 0.11546
Run_number: 3703 | Ap_exp: 0.0769231 | errAexp: 0.112892
Run_number: 3704 | Ap_exp: 0 | errAexp: 0.0863868
Run_number: 3705 | Ap_exp: -0.0833333 | errAexp: 0.143836
Run_number: 3706 | Ap_exp: 0.333333 | errAexp: 0.544331
Run_number: 3708 | Ap_exp: -0.263158 | errAexp: 0.221329
Run_number: 3709 | Ap_exp: 0.030303 | errAexp: 0.123035
Run_number: 3710 | Ap_exp: -0.298246 | errAexp: 0.126425
Run_number: 3711 | Ap_exp: 0.118644 | errAexp: 0.129269
Run_number: 3712 | Ap_exp: 0.0819672 | errAexp: 0.127606
Run_number: 3713 | Ap_exp: 0.0526316 | errAexp: 0.13227
Run_number: 3714 | Ap_exp: -0.0149254 | errAexp: 0.122156
Run_number: 3715 | Ap_exp: 0.0943396 | errAexp: 0.0966954
Run_number: 3716 | Ap_exp: 0.0175439 | errAexp: 0.132433
Run_number: 3717 | Ap_exp: 0.0222222 | errAexp: 0.105383
Run_number: 3718 | Ap_exp: -0.16129 | errAexp: 0.177254
Run_number: 3719 | Ap_exp: -0.3 | errAexp: 0.106654
Run_number: 3720 | Ap_exp: -0.454545 | errAexp: 0.268563
