Run_number: 3510 | Aexp: 1 | errAexp: 0 | pol_He3: 45.2255 | pol_beam: 86.185
Run_number: 3511 | Aexp: 0 | errAexp: 0.707107 | pol_He3: 45.2312 | pol_beam: 86.185
Run_number: 3512 | Aexp: -1 | errAexp: 0 | pol_He3: 45.2384 | pol_beam: 86.185
Run_number: 3514 | Aexp: 1 | errAexp: 0 | pol_He3: 45.2482 | pol_beam: 86.185
Run_number: 3515 | Aexp: 1 | errAexp: 0 | pol_He3: 45.2532 | pol_beam: 86.185
Run_number: 3517 | Aexp: -0.333333 | errAexp: 0.272166 | pol_He3: 45.2648 | pol_beam: 86.185
Run_number: 3518 | Aexp: 0.25 | errAexp: 0.342327 | pol_He3: 45.2738 | pol_beam: 86.185
Run_number: 3519 | Aexp: 0.285714 | errAexp: 0.25612 | pol_He3: 45.2892 | pol_beam: 86.185
Run_number: 3520 | Aexp: -0.428571 | errAexp: 0.341494 | pol_He3: 45.3021 | pol_beam: 86.185
Run_number: 3521 | Aexp: 0 | errAexp: 0.408248 | pol_He3: 45.3076 | pol_beam: 86.185
Run_number: 3523 | Aexp: 0.333333 | errAexp: 0.3849 | pol_He3: 45.3224 | pol_beam: 86.185
Run_number: 3524 | Aexp: 0.142857 | errAexp: 0.26452 | pol_He3: 45.3372 | pol_beam: 86.185
Run_number: 3525 | Aexp: -0.333333 | errAexp: 0.272166 | pol_He3: 45.3534 | pol_beam: 86.185
Run_number: 3526 | Aexp: -0.5 | errAexp: 0.433013 | pol_He3: 46.9193 | pol_beam: 86.185
Run_number: 3552 | Aexp: 0 | errAexp: 0.408248 | pol_He3: 47.081 | pol_beam: 86.185
Run_number: 3553 | Aexp: 0.142857 | errAexp: 0.374088 | pol_He3: 44.6961 | pol_beam: 86.185
Run_number: 3554 | Aexp: 1 | errAexp: 0 | pol_He3: 44.3096 | pol_beam: 86.185
Run_number: 3555 | Aexp: 0.230769 | errAexp: 0.269864 | pol_He3: 44.0836 | pol_beam: 86.185
Run_number: 3556 | Aexp: -0.2 | errAexp: 0.309839 | pol_He3: 43.8502 | pol_beam: 86.185
Run_number: 3557 | Aexp: 0.111111 | errAexp: 0.331269 | pol_He3: 43.6032 | pol_beam: 86.185
Run_number: 3558 | Aexp: 0.294118 | errAexp: 0.231808 | pol_He3: 43.5654 | pol_beam: 86.185
Run_number: 3559 | Aexp: -0.111111 | errAexp: 0.331269 | pol_He3: 43.5264 | pol_beam: 86.185
Run_number: 3560 | Aexp: 0.166667 | errAexp: 0.284638 | pol_He3: 43.5088 | pol_beam: 86.185
Run_number: 3561 | Aexp: 0.272727 | errAexp: 0.290081 | pol_He3: 43.8797 | pol_beam: 86.185
Run_number: 3562 | Aexp: 0.285714 | errAexp: 0.25612 | pol_He3: 44.2564 | pol_beam: 86.185
Run_number: 3563 | Aexp: -nan | errAexp: -nan | pol_He3: 44.1123 | pol_beam: 86.185
Run_number: 3578 | Aexp: 0.333333 | errAexp: 0.272166 | pol_He3: 43.9488 | pol_beam: 86.185
Run_number: 3579 | Aexp: 0 | errAexp: 0.267261 | pol_He3: 43.7496 | pol_beam: 86.185
Run_number: 3580 | Aexp: -0.2 | errAexp: 0.252982 | pol_He3: 43.5831 | pol_beam: 86.185
Run_number: 3581 | Aexp: -0.166667 | errAexp: 0.284638 | pol_He3: 43.7235 | pol_beam: 86.185
Run_number: 3582 | Aexp: 0.333333 | errAexp: 0.544331 | pol_He3: 44.0781 | pol_beam: 86.185
Run_number: 3583 | Aexp: 0.333333 | errAexp: 0.544331 | pol_He3: 44.7002 | pol_beam: 86.185
Run_number: 3588 | Aexp: 0.428571 | errAexp: 0.341494 | pol_He3: 44.1556 | pol_beam: 86.185
Run_number: 3589 | Aexp: -0.5 | errAexp: 0.216506 | pol_He3: 43.3137 | pol_beam: 86.185
Run_number: 3590 | Aexp: 0 | errAexp: 0.288675 | pol_He3: 42.5991 | pol_beam: 86.185
Run_number: 3591 | Aexp: 0.375 | errAexp: 0.231756 | pol_He3: 42.7098 | pol_beam: 86.185
Run_number: 3592 | Aexp: 0.0769231 | errAexp: 0.276528 | pol_He3: 42.8281 | pol_beam: 86.185
Run_number: 3593 | Aexp: 0 | errAexp: 0.25 | pol_He3: 42.9557 | pol_beam: 86.185
Run_number: 3594 | Aexp: 0.157895 | errAexp: 0.226538 | pol_He3: 43.0626 | pol_beam: 86.185
Run_number: 3595 | Aexp: -0.285714 | errAexp: 0.25612 | pol_He3: 43.179 | pol_beam: 86.185
Run_number: 3596 | Aexp: -0.2 | errAexp: 0.438178 | pol_He3: 47.5152 | pol_beam: 86.185
Run_number: 3671 | Aexp: 0.5 | errAexp: 0.433013 | pol_He3: 47.6471 | pol_beam: 86.185
Run_number: 3672 | Aexp: 0.2 | errAexp: 0.438178 | pol_He3: 46.2865 | pol_beam: 86.185
Run_number: 3673 | Aexp: 0.5 | errAexp: 0.25 | pol_He3: 50.0382 | pol_beam: 86.185
Run_number: 3694 | Aexp: -0.6 | errAexp: 0.357771 | pol_He3: 49.51 | pol_beam: 86.185
Run_number: 3695 | Aexp: -0.428571 | errAexp: 0.341494 | pol_He3: 48.5509 | pol_beam: 86.185
Run_number: 3696 | Aexp: 0 | errAexp: 0.707107 | pol_He3: 48.5912 | pol_beam: 86.185
Run_number: 3697 | Aexp: 0.142857 | errAexp: 0.374088 | pol_He3: 48.7238 | pol_beam: 86.185
Run_number: 3698 | Aexp: 1 | errAexp: 0 | pol_He3: 49.0148 | pol_beam: 86.185
Run_number: 3701 | Aexp: -0.428571 | errAexp: 0.341494 | pol_He3: 49.0882 | pol_beam: 86.185
Run_number: 3702 | Aexp: -0.12 | errAexp: 0.198555 | pol_He3: 47.9611 | pol_beam: 86.185
Run_number: 3703 | Aexp: -0.375 | errAexp: 0.231756 | pol_He3: 47.0927 | pol_beam: 86.185
Run_number: 3704 | Aexp: 0.111111 | errAexp: 0.234243 | pol_He3: 46.8162 | pol_beam: 86.185
Run_number: 3705 | Aexp: 0 | errAexp: 0.25 | pol_He3: 46.6395 | pol_beam: 86.185
Run_number: 3706 | Aexp: 1 | errAexp: 0 | pol_He3: 46.9338 | pol_beam: 86.185
Run_number: 3708 | Aexp: 0.5 | errAexp: 0.433013 | pol_He3: 47.1404 | pol_beam: 86.185
Run_number: 3709 | Aexp: 0.142857 | errAexp: 0.26452 | pol_He3: 47.5662 | pol_beam: 86.185
Run_number: 3710 | Aexp: 0.333333 | errAexp: 0.205738 | pol_He3: 47.9925 | pol_beam: 86.185
Run_number: 3711 | Aexp: -0.230769 | errAexp: 0.269864 | pol_He3: 46.93 | pol_beam: 86.185
Run_number: 3712 | Aexp: -0.0909091 | errAexp: 0.300263 | pol_He3: 46.1285 | pol_beam: 86.185
Run_number: 3713 | Aexp: 0.0588235 | errAexp: 0.242116 | pol_He3: 46.3447 | pol_beam: 86.185
Run_number: 3714 | Aexp: 0.285714 | errAexp: 0.25612 | pol_He3: 46.5652 | pol_beam: 86.185
