Run_number: 5044 | pol_He3: 40.9789
Run_number: 5045 | pol_He3: 40.9436
Run_number: 5046 | pol_He3: 40.7211
Run_number: 5047 | pol_He3: 40.4259
Run_number: 5048 | pol_He3: 39.8447
Run_number: 5049 | pol_He3: 39.6787
Run_number: 5053 | pol_He3: 39.7287
Run_number: 5054 | pol_He3: 39.9927
Run_number: 5086 | pol_He3: 39.9316
Run_number: 5090 | pol_He3: 39.7453
Run_number: 5091 | pol_He3: 37.7247
Run_number: 5093 | pol_He3: 37.619
Run_number: 5094 | pol_He3: 37.64
Run_number: 5095 | pol_He3: 37.7042
Run_number: 5096 | pol_He3: 37.7555
Run_number: 5099 | pol_He3: 37.8603
Run_number: 5100 | pol_He3: 37.9698
Run_number: 5101 | pol_He3: 38.049
Run_number: 5102 | pol_He3: 38.245
Run_number: 5103 | pol_He3: 39.3837
Run_number: 5104 | pol_He3: 40.4147
Run_number: 5105 | pol_He3: 40.8609
Run_number: 5106 | pol_He3: 35.365
Run_number: 5107 | pol_He3: 35.8925
Run_number: 5108 | pol_He3: 36.5852
Run_number: 5109 | pol_He3: 36.7023
Run_number: 5110 | pol_He3: 36.9425
Run_number: 5112 | pol_He3: 37.145
Run_number: 5113 | pol_He3: 37.1905
Run_number: 5114 | pol_He3: 37.24
Run_number: 5115 | pol_He3: 37.3486
Run_number: 5116 | pol_He3: 36.95
Run_number: 5120 | pol_He3: 36.8185
Run_number: 5121 | pol_He3: 36.1003
Run_number: 5122 | pol_He3: 36.3037
Run_number: 5124 | pol_He3: 36.5162
Run_number: 5126 | pol_He3: 36.7491
Run_number: 5127 | pol_He3: 37.2496
Run_number: 5129 | pol_He3: 37.5812
Run_number: 5135 | pol_He3: 39.0195
Run_number: 5140 | pol_He3: 39.1816
Run_number: 5142 | pol_He3: 39.2495
Run_number: 5143 | pol_He3: 39.3259
Run_number: 5145 | pol_He3: 38.9254
Run_number: 5146 | pol_He3: 39.583
Run_number: 5147 | pol_He3: 39.3174
Run_number: 5148 | pol_He3: 38.9127
Run_number: 5152 | pol_He3: 38.7752
Run_number: 5153 | pol_He3: 38.6196
Run_number: 5154 | pol_He3: 38.4108
Run_number: 5155 | pol_He3: 38.3711
Run_number: 5156 | pol_He3: 38.3671
Run_number: 5164 | pol_He3: 37.9778
Run_number: 5165 | pol_He3: 37.702
Run_number: 5167 | pol_He3: 37.1746
Run_number: 5176 | pol_He3: 36.368
Run_number: 5183 | pol_He3: 35.8653
Run_number: 5185 | pol_He3: 36.3173
Run_number: 5186 | pol_He3: 36.0711
Run_number: 5187 | pol_He3: 30.9165
Run_number: 5188 | pol_He3: 36.2947
Run_number: 5301 | pol_He3: 36.71
Run_number: 5302 | pol_He3: 35.656
Run_number: 5303 | pol_He3: 29.6814
Run_number: 5315 | pol_He3: 30.7496
Run_number: 5316 | pol_He3: 31.6483
Run_number: 5317 | pol_He3: 32.1991
Run_number: 5318 | pol_He3: 32.9683
Run_number: 5320 | pol_He3: 33.5636
Run_number: 5321 | pol_He3: 34.0947
Run_number: 5322 | pol_He3: 34.7571
Run_number: 5323 | pol_He3: 35.4505
Run_number: 5324 | pol_He3: 39.9146
Run_number: 5364 | pol_He3: 40.8104
Run_number: 5378 | pol_He3: 40.0371
Run_number: 5379 | pol_He3: 39.2996
Run_number: 5380 | pol_He3: 39.3477
Run_number: 5385 | pol_He3: 39.3678
Run_number: 5386 | pol_He3: 37.8265
Run_number: 5387 | pol_He3: 25.3193
Run_number: 5388 | pol_He3: 42.5629
Run_number: 5406 | pol_He3: 42.0143
Run_number: 5407 | pol_He3: 41.836
Run_number: 5408 | pol_He3: 41.1963
Run_number: 5409 | pol_He3: 40.5504
Run_number: 5411 | pol_He3: 40.722
Run_number: 5412 | pol_He3: 41.1247
Run_number: 5416 | pol_He3: 41.6345
Run_number: 5445 | pol_He3: 41.5077
Run_number: 5446 | pol_He3: 41.3062
Run_number: 5448 | pol_He3: 40.8435
Run_number: 5449 | pol_He3: 39.9837
Run_number: 5453 | pol_He3: 39.6757
Run_number: 5454 | pol_He3: 39.4881
Run_number: 5455 | pol_He3: 39.5728
