cointime_bin_low_edge, Asymmetry, Error
0,0,0
0,100,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,20,43.8178
0,0,0
0,0,0
0,0,0
0,0,0
0,55.5556,27.716
0,-15.5556,14.7257
0,29.4118,11.5904
0,-2.91262,9.84911
0,3.57143,7.71025
0,6.55738,6.38807
0,1.76471,5.42242
0,6.40669,5.26696
0,-4.0201,5.00849
0,4.80549,4.77812
0,-0.705882,4.85059
0,10.4247,4.36981
0,5.4409,4.32506
0,4.23012,4.10977
0,0.387597,4.40222
0,0.33557,4.09614
0,-4.93274,3.86152
0,-8.07601,3.43497
0,2.64087,1.18796
0,0.622665,1.06399
0,2.65487,3.32478
0,-2.43902,3.90318
0,1.08696,4.25603
0,2.9877,4.19035
0,4.33145,4.33556
0,3.5461,4.20811
0,-1.02669,4.53119
0,4.5208,4.24808
0,4.83559,4.39285
0,6.32911,4.58394
0,-3.82979,4.60927
0,3.61991,4.7534
0,-3.32594,4.70621
