Run_number: 5044 | pol_He3: -1
Run_number: 5045 | pol_He3: -1
Run_number: 5046 | pol_He3: -1
Run_number: 5047 | pol_He3: -1
Run_number: 5048 | pol_He3: -1
Run_number: 5049 | pol_He3: -1
Run_number: 5053 | pol_He3: -1
Run_number: 5054 | pol_He3: -1
Run_number: 5086 | pol_He3: -1
Run_number: 5090 | pol_He3: -1
Run_number: 5091 | pol_He3: -1
Run_number: 5093 | pol_He3: -1
Run_number: 5094 | pol_He3: -1
Run_number: 5095 | pol_He3: -1
Run_number: 5096 | pol_He3: -1
Run_number: 5099 | pol_He3: -1
Run_number: 5100 | pol_He3: -1
Run_number: 5101 | pol_He3: -1
Run_number: 5102 | pol_He3: -1
Run_number: 5103 | pol_He3: -1
Run_number: 5104 | pol_He3: -1
Run_number: 5105 | pol_He3: -1
Run_number: 5106 | pol_He3: -1
Run_number: 5107 | pol_He3: -1
Run_number: 5108 | pol_He3: -1
Run_number: 5109 | pol_He3: -1
Run_number: 5110 | pol_He3: -1
Run_number: 5112 | pol_He3: -1
Run_number: 5113 | pol_He3: -1
Run_number: 5114 | pol_He3: -1
Run_number: 5115 | pol_He3: -1
Run_number: 5116 | pol_He3: -1
Run_number: 5120 | pol_He3: -1
Run_number: 5121 | pol_He3: -1
Run_number: 5122 | pol_He3: -1
Run_number: 5124 | pol_He3: -1
Run_number: 5126 | pol_He3: -1
Run_number: 5127 | pol_He3: -1
Run_number: 5129 | pol_He3: -1
Run_number: 5135 | pol_He3: -1
Run_number: 5140 | pol_He3: -1
Run_number: 5142 | pol_He3: -1
Run_number: 5143 | pol_He3: -1
Run_number: 5145 | pol_He3: -1
Run_number: 5146 | pol_He3: -1
Run_number: 5147 | pol_He3: -1
Run_number: 5148 | pol_He3: -1
Run_number: 5152 | pol_He3: -1
Run_number: 5153 | pol_He3: -1
Run_number: 5154 | pol_He3: -1
Run_number: 5155 | pol_He3: -1
Run_number: 5156 | pol_He3: -1
Run_number: 5164 | pol_He3: -1
Run_number: 5165 | pol_He3: -1
Run_number: 5167 | pol_He3: -1
Run_number: 5176 | pol_He3: -1
Run_number: 5183 | pol_He3: -1
Run_number: 5185 | pol_He3: -1
Run_number: 5186 | pol_He3: -1
Run_number: 5187 | pol_He3: -1
Run_number: 5188 | pol_He3: -1
Run_number: 5301 | pol_He3: -1
Run_number: 5302 | pol_He3: -1
Run_number: 5303 | pol_He3: -1
Run_number: 5315 | pol_He3: -1
Run_number: 5316 | pol_He3: -1
Run_number: 5317 | pol_He3: -1
Run_number: 5318 | pol_He3: -1
Run_number: 5320 | pol_He3: -1
Run_number: 5321 | pol_He3: -1
Run_number: 5322 | pol_He3: -1
Run_number: 5323 | pol_He3: -1
Run_number: 5324 | pol_He3: -1
Run_number: 5364 | pol_He3: -1
Run_number: 5378 | pol_He3: -1
Run_number: 5379 | pol_He3: -1
Run_number: 5380 | pol_He3: -1
Run_number: 5385 | pol_He3: -1
Run_number: 5386 | pol_He3: -1
Run_number: 5387 | pol_He3: -1
Run_number: 5388 | pol_He3: -1
Run_number: 5406 | pol_He3: -1
Run_number: 5407 | pol_He3: -1
Run_number: 5408 | pol_He3: -1
Run_number: 5409 | pol_He3: -1
Run_number: 5411 | pol_He3: -1
Run_number: 5412 | pol_He3: -1
Run_number: 5414 | pol_He3: -1
Run_number: 5416 | pol_He3: -1
Run_number: 5461 | pol_He3: -1
Run_number: 5462 | pol_He3: -1
Run_number: 5463 | pol_He3: -1
Run_number: 5464 | pol_He3: -1
Run_number: 5465 | pol_He3: -1
Run_number: 5466 | pol_He3: -1
Run_number: 5467 | pol_He3: -1
Run_number: 5468 | pol_He3: -1
Run_number: 5469 | pol_He3: -1
Run_number: 5470 | pol_He3: -1
Run_number: 5471 | pol_He3: -1
Run_number: 5472 | pol_He3: -1
Run_number: 5476 | pol_He3: -1
Run_number: 5477 | pol_He3: -1
Run_number: 5478 | pol_He3: -1
Run_number: 5479 | pol_He3: -1
Run_number: 5480 | pol_He3: -1
Run_number: 5481 | pol_He3: -1
Run_number: 5482 | pol_He3: -1
Run_number: 5483 | pol_He3: -1
Run_number: 5484 | pol_He3: -1
Run_number: 5485 | pol_He3: -1
Run_number: 5486 | pol_He3: -1
Run_number: 5494 | pol_He3: -1
Run_number: 5495 | pol_He3: -1
Run_number: 5496 | pol_He3: -1
Run_number: 5497 | pol_He3: -1
Run_number: 5499 | pol_He3: -1
Run_number: 5501 | pol_He3: -1
Run_number: 5502 | pol_He3: -1
Run_number: 5503 | pol_He3: -1
Run_number: 5504 | pol_He3: -1
Run_number: 5505 | pol_He3: -1
Run_number: 5506 | pol_He3: -1
Run_number: 5507 | pol_He3: -1
Run_number: 5508 | pol_He3: -1
Run_number: 5511 | pol_He3: -1
Run_number: 5512 | pol_He3: -1
Run_number: 5513 | pol_He3: -1
Run_number: 5514 | pol_He3: -1
Run_number: 5515 | pol_He3: -1
Run_number: 5517 | pol_He3: -1
Run_number: 5518 | pol_He3: -1
Run_number: 5519 | pol_He3: -1
Run_number: 5523 | pol_He3: -1
Run_number: 5524 | pol_He3: -1
Run_number: 5525 | pol_He3: -1
Run_number: 5526 | pol_He3: -1
Run_number: 5527 | pol_He3: -1
Run_number: 5529 | pol_He3: -1
Run_number: 5531 | pol_He3: -1
Run_number: 5532 | pol_He3: -1
Run_number: 5533 | pol_He3: -1
Run_number: 5537 | pol_He3: -1
Run_number: 5538 | pol_He3: -1
Run_number: 5539 | pol_He3: -1
Run_number: 5541 | pol_He3: -1
Run_number: 5543 | pol_He3: -1
Run_number: 5544 | pol_He3: -1
Run_number: 5545 | pol_He3: -1
Run_number: 5548 | pol_He3: -1
Run_number: 5549 | pol_He3: -1
Run_number: 5550 | pol_He3: -1
Run_number: 5571 | pol_He3: -1
Run_number: 5572 | pol_He3: -1
Run_number: 5573 | pol_He3: -1
Run_number: 5574 | pol_He3: -1
Run_number: 5575 | pol_He3: -1
Run_number: 5576 | pol_He3: -1
Run_number: 5577 | pol_He3: -1
Run_number: 5578 | pol_He3: -1
Run_number: 5579 | pol_He3: -1
Run_number: 5580 | pol_He3: -1
Run_number: 5581 | pol_He3: -1
Run_number: 5582 | pol_He3: -1
Run_number: 5583 | pol_He3: -1
Run_number: 5584 | pol_He3: -1
Run_number: 5586 | pol_He3: -1
Run_number: 5589 | pol_He3: -1
Run_number: 5592 | pol_He3: -1
Run_number: 5593 | pol_He3: -1
Run_number: 5596 | pol_He3: -1
Run_number: 5597 | pol_He3: -1
Run_number: 5598 | pol_He3: -1
Run_number: 5599 | pol_He3: -1
Run_number: 5600 | pol_He3: -1
Run_number: 5601 | pol_He3: -1
Run_number: 5602 | pol_He3: -1
Run_number: 5603 | pol_He3: -1
Run_number: 5604 | pol_He3: -1
Run_number: 5605 | pol_He3: -1
Run_number: 5606 | pol_He3: -1
Run_number: 5608 | pol_He3: -1
Run_number: 5609 | pol_He3: -1
Run_number: 5611 | pol_He3: -1
Run_number: 5612 | pol_He3: -1
Run_number: 5613 | pol_He3: -1
