Run_number: 5044 | Ap_exp: -1 | errAexp: 0
Run_number: 5045 | Ap_exp: -nan | errAexp: -nan
Run_number: 5046 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 5047 | Ap_exp: 0.047619 | errAexp: 0.21797
Run_number: 5048 | Ap_exp: 0 | errAexp: 0.147442
Run_number: 5049 | Ap_exp: 0 | errAexp: 0.408248
Run_number: 5053 | Ap_exp: 0.176471 | errAexp: 0.238729
Run_number: 5054 | Ap_exp: -0.428571 | errAexp: 0.341494
Run_number: 5086 | Ap_exp: 0.4 | errAexp: 0.289828
Run_number: 5090 | Ap_exp: 0.16129 | errAexp: 0.177254
Run_number: 5091 | Ap_exp: 0.25 | errAexp: 0.129387
Run_number: 5093 | Ap_exp: 0.179487 | errAexp: 0.157528
Run_number: 5094 | Ap_exp: 0 | errAexp: 0.353553
Run_number: 5095 | Ap_exp: -0.030303 | errAexp: 0.173998
Run_number: 5096 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 5099 | Ap_exp: 0 | errAexp: 0.25
Run_number: 5100 | Ap_exp: 0.2 | errAexp: 0.219089
Run_number: 5101 | Ap_exp: 0.25 | errAexp: 0.342327
Run_number: 5102 | Ap_exp: 0.6 | errAexp: 0.252982
Run_number: 5103 | Ap_exp: -0.333333 | errAexp: 0.222222
Run_number: 5104 | Ap_exp: -0.1 | errAexp: 0.222486
Run_number: 5105 | Ap_exp: 0 | errAexp: 0.5
Run_number: 5106 | Ap_exp: 0.0909091 | errAexp: 0.300263
Run_number: 5107 | Ap_exp: 0.0909091 | errAexp: 0.173357
Run_number: 5108 | Ap_exp: -0.0697674 | errAexp: 0.152127
Run_number: 5109 | Ap_exp: 0 | errAexp: 0.5
Run_number: 5110 | Ap_exp: 0.185185 | errAexp: 0.189121
Run_number: 5112 | Ap_exp: -0.0909091 | errAexp: 0.212318
Run_number: 5113 | Ap_exp: -0.037037 | errAexp: 0.192318
Run_number: 5114 | Ap_exp: 0.2 | errAexp: 0.178885
Run_number: 5115 | Ap_exp: 0.314286 | errAexp: 0.160466
Run_number: 5116 | Ap_exp: -0.16129 | errAexp: 0.177254
Run_number: 5120 | Ap_exp: -nan | errAexp: -nan
Run_number: 5121 | Ap_exp: -0.0810811 | errAexp: 0.163858
Run_number: 5122 | Ap_exp: 0.0714286 | errAexp: 0.1885
Run_number: 5124 | Ap_exp: 0.0714286 | errAexp: 0.1885
Run_number: 5126 | Ap_exp: 0.304348 | errAexp: 0.198623
Run_number: 5127 | Ap_exp: -0.0833333 | errAexp: 0.203414
Run_number: 5129 | Ap_exp: 0.5 | errAexp: 0.433013
Run_number: 5135 | Ap_exp: 0 | errAexp: 0.353553
Run_number: 5140 | Ap_exp: -0.142857 | errAexp: 0.374088
Run_number: 5142 | Ap_exp: -0.5 | errAexp: 0.433013
Run_number: 5143 | Ap_exp: 0.5 | errAexp: 0.25
Run_number: 5145 | Ap_exp: -0.375 | errAexp: 0.231756
Run_number: 5146 | Ap_exp: 0.222222 | errAexp: 0.229809
Run_number: 5147 | Ap_exp: -0.0967742 | errAexp: 0.178762
Run_number: 5148 | Ap_exp: 0.263158 | errAexp: 0.221329
Run_number: 5152 | Ap_exp: 0.363636 | errAexp: 0.198605
Run_number: 5153 | Ap_exp: 0.04 | errAexp: 0.19984
Run_number: 5154 | Ap_exp: -0.393939 | errAexp: 0.160001
Run_number: 5155 | Ap_exp: 0.428571 | errAexp: 0.341494
Run_number: 5156 | Ap_exp: 0.263158 | errAexp: 0.221329
Run_number: 5164 | Ap_exp: -0.2 | errAexp: 0.252982
Run_number: 5165 | Ap_exp: -0.047619 | errAexp: 0.21797
Run_number: 5167 | Ap_exp: -0.529412 | errAexp: 0.205759
Run_number: 5176 | Ap_exp: 0 | errAexp: 0.204124
Run_number: 5183 | Ap_exp: -0.142857 | errAexp: 0.187044
Run_number: 5185 | Ap_exp: -0.225806 | errAexp: 0.174966
Run_number: 5186 | Ap_exp: 0 | errAexp: 0.188982
Run_number: 5187 | Ap_exp: -0.2 | errAexp: 0.438178
Run_number: 5188 | Ap_exp: 1 | errAexp: 0
Run_number: 5301 | Ap_exp: 0.272727 | errAexp: 0.290081
Run_number: 5302 | Ap_exp: -0.2 | errAexp: 0.219089
Run_number: 5303 | Ap_exp: 0.0666667 | errAexp: 0.257624
Run_number: 5315 | Ap_exp: 0.157895 | errAexp: 0.226538
Run_number: 5316 | Ap_exp: 0.04 | errAexp: 0.19984
Run_number: 5317 | Ap_exp: 0.294118 | errAexp: 0.231808
Run_number: 5318 | Ap_exp: 0.166667 | errAexp: 0.201269
Run_number: 5320 | Ap_exp: -0.130435 | errAexp: 0.206733
Run_number: 5321 | Ap_exp: -0.142857 | errAexp: 0.26452
Run_number: 5322 | Ap_exp: -0.4 | errAexp: 0.204939
Run_number: 5323 | Ap_exp: 0.0666667 | errAexp: 0.257624
Run_number: 5324 | Ap_exp: 0.157895 | errAexp: 0.226538
Run_number: 5364 | Ap_exp: -0.2 | errAexp: 0.438178
Run_number: 5378 | Ap_exp: -0.157895 | errAexp: 0.226538
Run_number: 5379 | Ap_exp: 0 | errAexp: 0.223607
Run_number: 5380 | Ap_exp: 0.1 | errAexp: 0.222486
