Run_number: 5044 | Aexp: -nan | errAexp: -nan | pol_He3: -1 | pol_beam: 80.795
Run_number: 5045 | Aexp: -1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5046 | Aexp: 1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5047 | Aexp: 0 | errAexp: 0.5 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5048 | Aexp: -0.222222 | errAexp: 0.229809 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5049 | Aexp: 0.5 | errAexp: 0.433013 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5053 | Aexp: 0 | errAexp: 0.408248 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5054 | Aexp: 0 | errAexp: 0.707107 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5086 | Aexp: 0 | errAexp: 0.5 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5090 | Aexp: 0.142857 | errAexp: 0.26452 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5091 | Aexp: 0.047619 | errAexp: 0.21797 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5093 | Aexp: -0.333333 | errAexp: 0.272166 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5094 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5095 | Aexp: 0.157895 | errAexp: 0.226538 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5096 | Aexp: -nan | errAexp: -nan | pol_He3: -1 | pol_beam: 80.795
Run_number: 5099 | Aexp: -0.6 | errAexp: 0.357771 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5100 | Aexp: 0.4 | errAexp: 0.289828 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5101 | Aexp: -0.2 | errAexp: 0.438178 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5102 | Aexp: -0.6 | errAexp: 0.357771 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5103 | Aexp: -0.166667 | errAexp: 0.284638 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5104 | Aexp: -0.666667 | errAexp: 0.30429 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5105 | Aexp: -1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5106 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5107 | Aexp: 0.176471 | errAexp: 0.238729 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5108 | Aexp: 0.272727 | errAexp: 0.290081 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5109 | Aexp: 1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5110 | Aexp: 0.166667 | errAexp: 0.284638 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5112 | Aexp: 0.555556 | errAexp: 0.27716 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5113 | Aexp: 0.0666667 | errAexp: 0.257624 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5114 | Aexp: 0.25 | errAexp: 0.342327 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5115 | Aexp: 0 | errAexp: 0.316228 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5116 | Aexp: -0.0769231 | errAexp: 0.276528 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5120 | Aexp: -1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5121 | Aexp: -0.142857 | errAexp: 0.26452 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5122 | Aexp: 0 | errAexp: 0.353553 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5124 | Aexp: -0.272727 | errAexp: 0.290081 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5126 | Aexp: -0.6 | errAexp: 0.357771 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5127 | Aexp: 0.294118 | errAexp: 0.231808 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5129 | Aexp: 0.333333 | errAexp: 0.31427 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5135 | Aexp: 0.5 | errAexp: 0.433013 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5140 | Aexp: 0 | errAexp: 0.707107 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5142 | Aexp: -1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5143 | Aexp: 0.5 | errAexp: 0.433013 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5145 | Aexp: 0.111111 | errAexp: 0.331269 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5146 | Aexp: 0.142857 | errAexp: 0.374088 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5147 | Aexp: -0.142857 | errAexp: 0.26452 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5148 | Aexp: 0.25 | errAexp: 0.342327 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5152 | Aexp: -0.0769231 | errAexp: 0.276528 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5153 | Aexp: -0.142857 | errAexp: 0.26452 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5154 | Aexp: -0.25 | errAexp: 0.242061 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5155 | Aexp: 0 | errAexp: 0.707107 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5156 | Aexp: 0 | errAexp: 0.707107 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5164 | Aexp: 0.0666667 | errAexp: 0.257624 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5165 | Aexp: 0.333333 | errAexp: 0.3849 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5167 | Aexp: -0.142857 | errAexp: 0.374088 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5176 | Aexp: -0.6 | errAexp: 0.252982 | pol_He3: -1 | pol_beam: 80.795
