Run_number: 5044 | Aphy: 3.22543 | errAphy: 5.32124
Run_number: 5045 | Aphy: -1.99 | errAphy: 4.28721
Run_number: 5046 | Aphy: 9.80427 | errAphy: 0
Run_number: 5047 | Aphy: -0.694227 | errAphy: 2.55292
Run_number: 5048 | Aphy: -0.871919 | errAphy: 1.44613
Run_number: 5049 | Aphy: -2.05344 | errAphy: 4.42388
Run_number: 5053 | Aphy: 1.98249 | errAphy: 2.55091
Run_number: 5054 | Aphy: 1.39701 | errAphy: 3.74717
Run_number: 5086 | Aphy: -6.7221 | errAphy: 3.05268
Run_number: 5091 | Aphy: 0.150298 | errAphy: 1.40631
Run_number: 5093 | Aphy: -3.58571 | errAphy: 1.74771
Run_number: 5094 | Aphy: -1.21863 | errAphy: 3.52566
Run_number: 5095 | Aphy: 1.73478 | errAphy: 1.74603
Run_number: 5096 | Aphy: 10.5744 | errAphy: 0
Run_number: 5100 | Aphy: 3.48105 | errAphy: 2.56832
Run_number: 5101 | Aphy: 1.46838 | errAphy: 3.93859
Run_number: 5102 | Aphy: -0.987743 | errAphy: 3.14512
Run_number: 5103 | Aphy: 2.73961 | errAphy: 2.08641
Run_number: 5104 | Aphy: 2.16911 | errAphy: 2.27791
Run_number: 5105 | Aphy: -1.99403 | errAphy: 4.29588
Run_number: 5107 | Aphy: 0.300375 | errAphy: 1.942
Run_number: 5108 | Aphy: 1.3316 | errAphy: 1.92048
Run_number: 5110 | Aphy: 0.60111 | errAphy: 2.62547
Run_number: 5112 | Aphy: 1.86663 | errAphy: 2.57463
Run_number: 5113 | Aphy: 0.43181 | errAphy: 2.24389
Run_number: 5114 | Aphy: -1.23172 | errAphy: 3.56353
Run_number: 5115 | Aphy: -1.46649 | errAphy: 1.94079
Run_number: 5116 | Aphy: 0.312975 | errAphy: 1.94621
Run_number: 5120 | Aphy: -10.9173 | errAphy: 0
Run_number: 5121 | Aphy: 0.815982 | errAphy: 2.16982
Run_number: 5122 | Aphy: 1.53897 | errAphy: 2.91889
Run_number: 5124 | Aphy: -4.15111 | errAphy: 2.54247
Run_number: 5126 | Aphy: -3.30723 | errAphy: 2.32524
Run_number: 5127 | Aphy: 0.635693 | errAphy: 1.89742
Run_number: 5129 | Aphy: 1.74046 | errAphy: 3.03411
Run_number: 5135 | Aphy: 7.29851 | errAphy: 2.71573
Run_number: 5142 | Aphy: -10.2411 | errAphy: 0
Run_number: 5143 | Aphy: 2.51213 | errAphy: 3.48716
Run_number: 5145 | Aphy: 2.53797 | errAphy: 2.49116
Run_number: 5146 | Aphy: 0.40571 | errAphy: 2.10827
Run_number: 5147 | Aphy: -2.07231 | errAphy: 1.82263
Run_number: 5148 | Aphy: -2.84258 | errAphy: 2.11166
Run_number: 5152 | Aphy: -0.974237 | errAphy: 2.19352
Run_number: 5153 | Aphy: 0.853943 | errAphy: 1.7469
Run_number: 5154 | Aphy: -0.394991 | errAphy: 1.93553
Run_number: 5155 | Aphy: 10.4047 | errAphy: 0
Run_number: 5164 | Aphy: 1.91761 | errAphy: 1.99489
Run_number: 5165 | Aphy: -1.71372 | errAphy: 2.40706
Run_number: 5167 | Aphy: -1.6944 | errAphy: 2.08821
Run_number: 5176 | Aphy: -2.24037 | errAphy: 2.15852
Run_number: 5183 | Aphy: 4.42995 | errAphy: 2.28907
Run_number: 5187 | Aphy: 12.9135 | errAphy: 0
Run_number: 5188 | Aphy: 3.64171 | errAphy: 6.008
Run_number: 5301 | Aphy: 4.92324 | errAphy: 2.9307
Run_number: 5302 | Aphy: 2.4586 | errAphy: 2.58193
Run_number: 5303 | Aphy: 2.08529 | errAphy: 3.0575
Run_number: 5315 | Aphy: 3.92081 | errAphy: 2.58762
Run_number: 5316 | Aphy: 0.55984 | errAphy: 2.75903
Run_number: 5317 | Aphy: 1.34019 | errAphy: 4.12142
Run_number: 5318 | Aphy: -2.06637 | errAphy: 1.99685
Run_number: 5320 | Aphy: 1.51634 | errAphy: 2.46747
Run_number: 5321 | Aphy: 1.42887 | errAphy: 2.91436
Run_number: 5322 | Aphy: 1.24155 | errAphy: 2.69981
Run_number: 5323 | Aphy: 0.413699 | errAphy: 2.25824
Run_number: 5324 | Aphy: 1.39974 | errAphy: 1.67906
Run_number: 5364 | Aphy: 1.36902 | errAphy: 3.67208
Run_number: 5378 | Aphy: -0.622492 | errAphy: 2.42254
Run_number: 5379 | Aphy: 0.89212 | errAphy: 2.16426
Run_number: 5380 | Aphy: -0.670829 | errAphy: 1.79624
Run_number: 5385 | Aphy: 10.1413 | errAphy: 0
Run_number: 5386 | Aphy: -3.06174 | errAphy: 2.71242
Run_number: 5387 | Aphy: 1.70434 | errAphy: 5.2413
Run_number: 5388 | Aphy: 1.01386 | errAphy: 3.11788
Run_number: 5406 | Aphy: -6.20192 | errAphy: 1.76317
Run_number: 5408 | Aphy: 1.91186 | errAphy: 2.46003
Run_number: 5409 | Aphy: -1.44478 | errAphy: 2.13367
Run_number: 5412 | Aphy: 0.53998 | errAphy: 2.35847
Run_number: 5416 | Aphy: 4.09101 | errAphy: 2.32341
Run_number: 5449 | Aphy: 9.98509 | errAphy: 0
Run_number: 5454 | Aphy: -10.1792 | errAphy: 0
Run_number: 5461 | Aphy: -1.15635 | errAphy: 3.3455
Run_number: 5462 | Aphy: -1.02065 | errAphy: 1.82155
Run_number: 5463 | Aphy: -2.37827 | errAphy: 2.74091
Run_number: 5464 | Aphy: -2.05983 | errAphy: 1.81165
Run_number: 5465 | Aphy: -1.47955 | errAphy: 3.78455
Run_number: 5466 | Aphy: 3.34968 | errAphy: 3.19057
Run_number: 5467 | Aphy: 0.644332 | errAphy: 2.62334
Run_number: 5468 | Aphy: -2.22834 | errAphy: 1.88966
Run_number: 5469 | Aphy: 3.97888 | errAphy: 1.96822
Run_number: 5470 | Aphy: -2.2686 | errAphy: 2.09132
Run_number: 5471 | Aphy: 0.456065 | errAphy: 2.2476
Run_number: 5476 | Aphy: 0.415265 | errAphy: 2.15792
Run_number: 5477 | Aphy: 3.65802 | errAphy: 1.82532
Run_number: 5478 | Aphy: 3.40939 | errAphy: 2.51545
Run_number: 5479 | Aphy: -3.48561 | errAphy: 2.81734
Run_number: 5480 | Aphy: 1.89277 | errAphy: 1.96905
Run_number: 5481 | Aphy: 1.33033 | errAphy: 2.16477
Run_number: 5482 | Aphy: 1.47099 | errAphy: 3.9456
