dx_bin_center, Proton asymmetry, Error
-3.95,0,0
-3.85,-100,0
-3.75,100,0
-3.65,-100,0
-3.55,0,0
-3.45,-100,0
-3.35,100,0
-3.25,0,0
-3.15,33.3333,54.4331
-3.05,0,0
-2.95,100,0
-2.85,33.3333,54.4331
-2.75,0,70.7107
-2.65,100,0
-2.55,-100,0
-2.45,0,70.7107
-2.35,100,0
-2.25,-100,0
-2.15,25,34.2327
-2.05,9.09091,30.0263
-1.95,23.0769,26.9864
-1.85,-57.1429,21.9328
-1.75,26.3158,22.1329
-1.65,10.3448,18.4699
-1.55,10.6383,14.5037
-1.45,6.66667,10.5175
-1.35,4.14201,7.68571
-1.25,0,5.89256
-1.15,12.3028,5.57389
-1.05,5.04451,5.44041
-0.95,-3.8961,5.6937
-0.85,-5.43478,7.3612
-0.75,2.43902,9.01401
-0.65,0,12.7
-0.55,-15.7895,16.0187
-0.45,-10,22.2486
-0.35,-4.7619,21.797
-0.25,-16.6667,28.4638
-0.15,5.26316,22.9098
-0.05,12.5,24.8039
0.05,0,19.6116
0.15,11.1111,33.1269
0.25,11.1111,33.1269
0.35,25,34.2327
0.45,-25,34.2327
0.55,0,50
0.65,-33.3333,38.49
0.75,100,0
0.85,14.2857,37.4088
0.95,0,35.3553
1.05,66.6667,30.429
1.15,100,0
1.25,20,43.8178
1.35,0,70.7107
1.45,0,70.7107
1.55,0,0
1.65,33.3333,54.4331
1.75,100,0
1.85,100,0
1.95,0,0
2.05,0,0
2.15,0,0
2.25,0,0
2.35,0,0
2.45,0,0
2.55,0,0
2.65,0,0
2.75,0,0
2.85,0,0
2.95,0,0
3.05,0,0
3.15,0,0
3.25,0,0
3.35,0,0
3.45,0,0
3.55,0,0
3.65,0,0
3.75,0,0
3.85,0,0
3.95,0,0
4.05,0,0
