Run_number: 5044 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 5045 | Ap_exp: 0.166667 | errAexp: 0.284638
Run_number: 5046 | Ap_exp: -0.333333 | errAexp: 0.544331
Run_number: 5047 | Ap_exp: -0.0943396 | errAexp: 0.136748
Run_number: 5048 | Ap_exp: -0.026087 | errAexp: 0.0932187
Run_number: 5049 | Ap_exp: 0.384615 | errAexp: 0.256015
Run_number: 5053 | Ap_exp: -0.0243902 | errAexp: 0.156127
Run_number: 5054 | Ap_exp: -0.0555556 | errAexp: 0.166409
Run_number: 5086 | Ap_exp: 0 | errAexp: 0.213201
Run_number: 5090 | Ap_exp: -0.0384615 | errAexp: 0.138572
Run_number: 5091 | Ap_exp: 0.037594 | errAexp: 0.0866497
Run_number: 5093 | Ap_exp: 0.0212766 | errAexp: 0.103119
Run_number: 5094 | Ap_exp: 0.0714286 | errAexp: 0.1885
Run_number: 5095 | Ap_exp: -0.0714286 | errAexp: 0.10883
Run_number: 5096 | Ap_exp: 0.2 | errAexp: 0.438178
Run_number: 5099 | Ap_exp: -0.111111 | errAexp: 0.165635
Run_number: 5100 | Ap_exp: 0.0322581 | errAexp: 0.179512
Run_number: 5101 | Ap_exp: 0.1 | errAexp: 0.222486
Run_number: 5102 | Ap_exp: 0 | errAexp: 0.176777
Run_number: 5103 | Ap_exp: -0.0333333 | errAexp: 0.129028
Run_number: 5104 | Ap_exp: -0.148148 | errAexp: 0.134581
Run_number: 5105 | Ap_exp: -0.555556 | errAexp: 0.27716
Run_number: 5106 | Ap_exp: 0.294118 | errAexp: 0.231808
Run_number: 5107 | Ap_exp: 0.114754 | errAexp: 0.127191
Run_number: 5108 | Ap_exp: 0.0377358 | errAexp: 0.0970594
Run_number: 5109 | Ap_exp: 0.0909091 | errAexp: 0.300263
Run_number: 5110 | Ap_exp: 0.166667 | errAexp: 0.127294
Run_number: 5112 | Ap_exp: 0.148148 | errAexp: 0.134581
Run_number: 5113 | Ap_exp: 0.173333 | errAexp: 0.113722
Run_number: 5114 | Ap_exp: 0.136364 | errAexp: 0.149347
Run_number: 5115 | Ap_exp: 0.113924 | errAexp: 0.111776
Run_number: 5116 | Ap_exp: 0 | errAexp: 0.127
Run_number: 5120 | Ap_exp: -nan | errAexp: -nan
Run_number: 5121 | Ap_exp: -0.0117647 | errAexp: 0.108458
Run_number: 5122 | Ap_exp: 0.0416667 | errAexp: 0.144212
Run_number: 5124 | Ap_exp: 0 | errAexp: 0.136083
Run_number: 5126 | Ap_exp: 0.310345 | errAexp: 0.124823
Run_number: 5127 | Ap_exp: 0.0344828 | errAexp: 0.131228
Run_number: 5129 | Ap_exp: 0.217391 | errAexp: 0.203528
Run_number: 5135 | Ap_exp: -0.25 | errAexp: 0.197642
Run_number: 5140 | Ap_exp: 0.333333 | errAexp: 0.31427
Run_number: 5142 | Ap_exp: 0 | errAexp: 0.288675
Run_number: 5143 | Ap_exp: 0.225806 | errAexp: 0.174966
Run_number: 5145 | Ap_exp: -0.0204082 | errAexp: 0.142827
Run_number: 5146 | Ap_exp: 0.163636 | errAexp: 0.133022
Run_number: 5147 | Ap_exp: -0.0704225 | errAexp: 0.118384
Run_number: 5148 | Ap_exp: 0.0434783 | errAexp: 0.147303
Run_number: 5152 | Ap_exp: 0 | errAexp: 0.116248
Run_number: 5153 | Ap_exp: 0.142857 | errAexp: 0.118297
Run_number: 5154 | Ap_exp: -0.0823529 | errAexp: 0.108097
Run_number: 5155 | Ap_exp: 0.142857 | errAexp: 0.26452
Run_number: 5156 | Ap_exp: 0.116279 | errAexp: 0.151464
Run_number: 5164 | Ap_exp: -0.0769231 | errAexp: 0.138264
Run_number: 5165 | Ap_exp: 0.0333333 | errAexp: 0.129028
Run_number: 5167 | Ap_exp: -0.0909091 | errAexp: 0.150131
Run_number: 5176 | Ap_exp: 0.047619 | errAexp: 0.125845
Run_number: 5183 | Ap_exp: 0.09375 | errAexp: 0.124449
Run_number: 5185 | Ap_exp: 0 | errAexp: 0.116248
Run_number: 5186 | Ap_exp: -0.0933333 | errAexp: 0.114966
Run_number: 5187 | Ap_exp: -0.4 | errAexp: 0.289828
Run_number: 5188 | Ap_exp: 0.2 | errAexp: 0.438178
Run_number: 5301 | Ap_exp: 0.0243902 | errAexp: 0.156127
Run_number: 5302 | Ap_exp: 0 | errAexp: 0.150756
Run_number: 5303 | Ap_exp: 0 | errAexp: 0.136083
Run_number: 5315 | Ap_exp: -0.0740741 | errAexp: 0.135709
Run_number: 5316 | Ap_exp: -0.115385 | errAexp: 0.137749
Run_number: 5317 | Ap_exp: 0.333333 | errAexp: 0.181444
Run_number: 5318 | Ap_exp: 0.111111 | errAexp: 0.125208
Run_number: 5320 | Ap_exp: -0.0175439 | errAexp: 0.132433
Run_number: 5321 | Ap_exp: 0.121951 | errAexp: 0.155008
Run_number: 5322 | Ap_exp: -0.0454545 | errAexp: 0.1506
Run_number: 5323 | Ap_exp: -0.0714286 | errAexp: 0.133289
Run_number: 5324 | Ap_exp: 0 | errAexp: 0.131306
Run_number: 5364 | Ap_exp: -0.0666667 | errAexp: 0.257624
Run_number: 5378 | Ap_exp: 0.0967742 | errAexp: 0.126404
Run_number: 5379 | Ap_exp: 0.0188679 | errAexp: 0.137336
Run_number: 5380 | Ap_exp: -0.0526316 | errAexp: 0.13227
Run_number: 5385 | Ap_exp: 0.428571 | errAexp: 0.341494
Run_number: 5386 | Ap_exp: 0.0857143 | errAexp: 0.168409
Run_number: 5387 | Ap_exp: 0 | errAexp: 0.188982
Run_number: 5388 | Ap_exp: -0.047619 | errAexp: 0.154128
Run_number: 5406 | Ap_exp: -0.0196078 | errAexp: 0.140001
Run_number: 5407 | Ap_exp: -0.142857 | errAexp: 0.374088
Run_number: 5408 | Ap_exp: 0.16129 | errAexp: 0.125337
Run_number: 5409 | Ap_exp: -0.15942 | errAexp: 0.118846
Run_number: 5411 | Ap_exp: -0.142857 | errAexp: 0.374088
Run_number: 5412 | Ap_exp: -0.170732 | errAexp: 0.153881
Run_number: 5416 | Ap_exp: -0.183673 | errAexp: 0.140427
Run_number: 5445 | Ap_exp: -nan | errAexp: -nan
Run_number: 5446 | Ap_exp: -nan | errAexp: -nan
Run_number: 5448 | Ap_exp: -nan | errAexp: -nan
Run_number: 5449 | Ap_exp: -nan | errAexp: -nan
Run_number: 5453 | Ap_exp: -nan | errAexp: -nan
Run_number: 5454 | Ap_exp: -1 | errAexp: 0
Run_number: 5455 | Ap_exp: -nan | errAexp: -nan
Run_number: 5456 | Ap_exp: -nan | errAexp: -nan
Run_number: 5457 | Ap_exp: -nan | errAexp: -nan
Run_number: 5458 | Ap_exp: 0 | errAexp: 0.707107
