Run_number: 5044 | Aexp: -1 | errAexp: 0 | pol_He3: 40.9789 | pol_beam: 80.795
Run_number: 5045 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: 40.9436 | pol_beam: 80.795
Run_number: 5046 | Aexp: 1 | errAexp: 0 | pol_He3: 40.7211 | pol_beam: 80.795
Run_number: 5047 | Aexp: 0.333333 | errAexp: 0.3849 | pol_He3: 40.4259 | pol_beam: 80.795
Run_number: 5048 | Aexp: -0.0714286 | errAexp: 0.1885 | pol_He3: 39.8447 | pol_beam: 80.795
Run_number: 5049 | Aexp: 0.2 | errAexp: 0.438178 | pol_He3: 39.6787 | pol_beam: 80.795
Run_number: 5053 | Aexp: 0.25 | errAexp: 0.342327 | pol_He3: 39.7287 | pol_beam: 80.795
Run_number: 5054 | Aexp: -0.333333 | errAexp: 0.3849 | pol_He3: 39.9927 | pol_beam: 80.795
Run_number: 5086 | Aexp: 0 | errAexp: 0.353553 | pol_He3: 39.9316 | pol_beam: 80.795
Run_number: 5090 | Aexp: 0.2 | errAexp: 0.195959 | pol_He3: 39.7453 | pol_beam: 80.795
Run_number: 5091 | Aexp: 0.0344828 | errAexp: 0.185585 | pol_He3: 37.7247 | pol_beam: 80.795
Run_number: 5093 | Aexp: -0.363636 | errAexp: 0.198605 | pol_He3: 37.619 | pol_beam: 80.795
Run_number: 5094 | Aexp: -0.5 | errAexp: 0.433013 | pol_He3: 37.64 | pol_beam: 80.795
Run_number: 5095 | Aexp: 0.1875 | errAexp: 0.173641 | pol_He3: 37.7042 | pol_beam: 80.795
Run_number: 5096 | Aexp: -nan | errAexp: -nan | pol_He3: 37.7555 | pol_beam: 80.795
Run_number: 5099 | Aexp: -0.25 | errAexp: 0.342327 | pol_He3: 37.8603 | pol_beam: 80.795
Run_number: 5100 | Aexp: 0.0666667 | errAexp: 0.257624 | pol_He3: 37.9698 | pol_beam: 80.795
Run_number: 5101 | Aexp: 0 | errAexp: 0.408248 | pol_He3: 38.049 | pol_beam: 80.795
Run_number: 5102 | Aexp: -0.142857 | errAexp: 0.374088 | pol_He3: 38.245 | pol_beam: 80.795
Run_number: 5103 | Aexp: 0.2 | errAexp: 0.219089 | pol_He3: 39.3837 | pol_beam: 80.795
Run_number: 5104 | Aexp: -0.25 | errAexp: 0.242061 | pol_He3: 40.4147 | pol_beam: 80.795
Run_number: 5105 | Aexp: 0 | errAexp: 0.707107 | pol_He3: 40.8609 | pol_beam: 80.795
Run_number: 5106 | Aexp: -0.666667 | errAexp: 0.30429 | pol_He3: 35.365 | pol_beam: 80.795
Run_number: 5107 | Aexp: 0.333333 | errAexp: 0.19245 | pol_He3: 35.8925 | pol_beam: 80.795
Run_number: 5108 | Aexp: 0.0526316 | errAexp: 0.229098 | pol_He3: 36.5852 | pol_beam: 80.795
Run_number: 5109 | Aexp: 0.5 | errAexp: 0.433013 | pol_He3: 36.7023 | pol_beam: 80.795
Run_number: 5110 | Aexp: -0.166667 | errAexp: 0.201269 | pol_He3: 36.9425 | pol_beam: 80.795
Run_number: 5112 | Aexp: 0.714286 | errAexp: 0.26452 | pol_He3: 37.145 | pol_beam: 80.795
Run_number: 5113 | Aexp: -0.142857 | errAexp: 0.21598 | pol_He3: 37.1905 | pol_beam: 80.795
Run_number: 5114 | Aexp: 0 | errAexp: 0.316228 | pol_He3: 37.24 | pol_beam: 80.795
Run_number: 5115 | Aexp: -0.1 | errAexp: 0.222486 | pol_He3: 37.3486 | pol_beam: 80.795
Run_number: 5116 | Aexp: 0 | errAexp: 0.223607 | pol_He3: 37.0196 | pol_beam: 80.795
Run_number: 5120 | Aexp: -1 | errAexp: 0 | pol_He3: 36.8185 | pol_beam: 80.795
Run_number: 5121 | Aexp: -0.304348 | errAexp: 0.198623 | pol_He3: 36.1003 | pol_beam: 80.795
Run_number: 5122 | Aexp: 0 | errAexp: 0.25 | pol_He3: 36.3037 | pol_beam: 80.795
Run_number: 5124 | Aexp: -0.333333 | errAexp: 0.205738 | pol_He3: 36.5162 | pol_beam: 80.795
Run_number: 5126 | Aexp: -0.333333 | errAexp: 0.272166 | pol_He3: 36.7491 | pol_beam: 80.795
Run_number: 5127 | Aexp: 0.304348 | errAexp: 0.198623 | pol_He3: 37.2496 | pol_beam: 80.795
Run_number: 5129 | Aexp: 0.272727 | errAexp: 0.290081 | pol_He3: 37.5812 | pol_beam: 80.795
Run_number: 5135 | Aexp: -0.142857 | errAexp: 0.374088 | pol_He3: 39.0232 | pol_beam: 80.795
Run_number: 5140 | Aexp: -0.5 | errAexp: 0.433013 | pol_He3: 39.1816 | pol_beam: 80.795
Run_number: 5142 | Aexp: -0.5 | errAexp: 0.433013 | pol_He3: 39.2495 | pol_beam: 80.795
Run_number: 5143 | Aexp: -0.142857 | errAexp: 0.374088 | pol_He3: 39.3259 | pol_beam: 80.795
Run_number: 5145 | Aexp: 0.157895 | errAexp: 0.226538 | pol_He3: 38.9254 | pol_beam: 80.795
Run_number: 5146 | Aexp: 0.230769 | errAexp: 0.269864 | pol_He3: 39.583 | pol_beam: 80.795
Run_number: 5147 | Aexp: -0.142857 | errAexp: 0.26452 | pol_He3: 39.3174 | pol_beam: 80.795
Run_number: 5148 | Aexp: 0.333333 | errAexp: 0.272166 | pol_He3: 38.9127 | pol_beam: 80.795
Run_number: 5152 | Aexp: -0.111111 | errAexp: 0.234243 | pol_He3: 38.7752 | pol_beam: 80.795
Run_number: 5153 | Aexp: -0.0434783 | errAexp: 0.208317 | pol_He3: 38.6196 | pol_beam: 80.795
Run_number: 5154 | Aexp: -0.0909091 | errAexp: 0.212318 | pol_He3: 38.4108 | pol_beam: 80.795
Run_number: 5155 | Aexp: 0.333333 | errAexp: 0.544331 | pol_He3: 38.3711 | pol_beam: 80.795
Run_number: 5156 | Aexp: -0.2 | errAexp: 0.438178 | pol_He3: 38.3671 | pol_beam: 80.795
Run_number: 5164 | Aexp: 0.0526316 | errAexp: 0.229098 | pol_He3: 37.9778 | pol_beam: 80.795
Run_number: 5165 | Aexp: 0.2 | errAexp: 0.309839 | pol_He3: 37.702 | pol_beam: 80.795
Run_number: 5167 | Aexp: 0.2 | errAexp: 0.252982 | pol_He3: 37.1746 | pol_beam: 80.795
Run_number: 5176 | Aexp: -0.444444 | errAexp: 0.211144 | pol_He3: 36.368 | pol_beam: 80.795
Run_number: 5183 | Aexp: -0.111111 | errAexp: 0.234243 | pol_He3: 35.8653 | pol_beam: 80.795
Run_number: 5185 | Aexp: 0.047619 | errAexp: 0.21797 | pol_He3: 36.3173 | pol_beam: 80.795
Run_number: 5186 | Aexp: -0.111111 | errAexp: 0.234243 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5187 | Aexp: 1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5188 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: 36.2947 | pol_beam: 80.795
Run_number: 5301 | Aexp: 0.571429 | errAexp: 0.219328 | pol_He3: 36.71 | pol_beam: 80.795
