Run_number: 2033 | pol_beam: 84.089
Run_number: 2035 | pol_beam: 84.089
Run_number: 2042 | pol_beam: 84.089
Run_number: 2046 | pol_beam: 84.089
Run_number: 2131 | pol_beam: 84.089
Run_number: 2141 | pol_beam: 84.089
Run_number: 2143 | pol_beam: 84.089
Run_number: 2146 | pol_beam: 84.089
Run_number: 2164 | pol_beam: 84.089
Run_number: 2165 | pol_beam: 84.089
Run_number: 2168 | pol_beam: 84.089
Run_number: 2169 | pol_beam: 84.089
Run_number: 2170 | pol_beam: 84.089
Run_number: 2171 | pol_beam: 84.089
Run_number: 2172 | pol_beam: 84.089
Run_number: 2173 | pol_beam: 84.089
Run_number: 2174 | pol_beam: 84.089
Run_number: 2175 | pol_beam: 84.089
Run_number: 2176 | pol_beam: 84.089
Run_number: 2199 | pol_beam: 84.089
Run_number: 2200 | pol_beam: 84.089
Run_number: 2201 | pol_beam: 84.089
Run_number: 2203 | pol_beam: 84.089
Run_number: 2204 | pol_beam: 84.089
Run_number: 2206 | pol_beam: 84.089
Run_number: 2208 | pol_beam: 84.089
Run_number: 2209 | pol_beam: 84.089
Run_number: 2210 | pol_beam: 84.089
Run_number: 2211 | pol_beam: 84.089
Run_number: 2212 | pol_beam: 84.089
Run_number: 2213 | pol_beam: 84.089
Run_number: 2214 | pol_beam: 84.089
Run_number: 2215 | pol_beam: 84.089
Run_number: 2216 | pol_beam: 84.089
Run_number: 2217 | pol_beam: 84.089
Run_number: 2218 | pol_beam: 84.089
Run_number: 2219 | pol_beam: 84.089
Run_number: 2220 | pol_beam: 84.089
Run_number: 2221 | pol_beam: 84.089
Run_number: 2222 | pol_beam: 84.089
Run_number: 2223 | pol_beam: 84.089
Run_number: 2224 | pol_beam: 84.089
Run_number: 2225 | pol_beam: 84.089
Run_number: 2226 | pol_beam: 84.089
Run_number: 2227 | pol_beam: 84.089
Run_number: 2228 | pol_beam: 84.089
Run_number: 2229 | pol_beam: 84.089
Run_number: 2230 | pol_beam: 84.089
Run_number: 2231 | pol_beam: 84.089
Run_number: 2232 | pol_beam: 84.089
Run_number: 2233 | pol_beam: 84.089
Run_number: 2234 | pol_beam: 84.089
Run_number: 2235 | pol_beam: 84.089
Run_number: 2236 | pol_beam: 84.089
Run_number: 2237 | pol_beam: 84.089
Run_number: 2238 | pol_beam: 84.089
Run_number: 2239 | pol_beam: 84.089
Run_number: 2240 | pol_beam: 84.089
Run_number: 2241 | pol_beam: 84.089
Run_number: 2242 | pol_beam: 84.089
Run_number: 2243 | pol_beam: 84.089
Run_number: 2244 | pol_beam: 84.089
Run_number: 2245 | pol_beam: 84.089
Run_number: 2246 | pol_beam: 84.089
Run_number: 2247 | pol_beam: 84.089
Run_number: 2248 | pol_beam: 84.089
Run_number: 2250 | pol_beam: 84.089
Run_number: 2251 | pol_beam: 84.089
Run_number: 2252 | pol_beam: 84.089
Run_number: 2253 | pol_beam: 84.089
Run_number: 2254 | pol_beam: 84.089
Run_number: 2255 | pol_beam: 84.089
Run_number: 2256 | pol_beam: 84.089
Run_number: 2257 | pol_beam: 84.089
Run_number: 2258 | pol_beam: 84.089
Run_number: 2259 | pol_beam: 84.089
Run_number: 2260 | pol_beam: 84.089
Run_number: 2275 | pol_beam: 84.089
Run_number: 2276 | pol_beam: 84.089
Run_number: 2302 | pol_beam: 84.089
Run_number: 2303 | pol_beam: 84.089
Run_number: 2304 | pol_beam: 84.089
Run_number: 2305 | pol_beam: 84.089
Run_number: 2306 | pol_beam: 84.089
Run_number: 2307 | pol_beam: 84.089
Run_number: 2309 | pol_beam: 84.089
Run_number: 2310 | pol_beam: 84.089
Run_number: 2313 | pol_beam: 84.089
Run_number: 2314 | pol_beam: 84.089
Run_number: 2316 | pol_beam: 84.089
Run_number: 2318 | pol_beam: 84.089
Run_number: 2319 | pol_beam: 84.089
Run_number: 2320 | pol_beam: 84.089
Run_number: 2321 | pol_beam: 84.089
Run_number: 2322 | pol_beam: 84.089
